what's to like about the world of extremely violent trash pornography--ie . 	Translation	Positive	Negative	EmotionRationale
after seeing " 8mm " , i may not be interested in ever watching any kind of porn again . 	after seeing " 8m " , i may not be interested in ever watching any kind of porn again .	2	-2	 after[0] seeing[0] 8mm/8m[0] i[0] may[0] not[0] be[0] interested[1][NegatedDueToPreviousWord] in[0] ever[0] watching[0] any[0] kind[1] of[0] porn[0] again[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is that a positive ? 	is that a positive ?	3	-1	 is[0] that[0] a[0] positive[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , if making me almost ill at the thought of glimpsing a dirty movie again is their motive , they've done a swell job here . 	well , if making me almost ill at the thought of glimpsing a dirty movie again is their motive , they've done a swell job here .	1	-2	 well[0] if[0] making[0] me[0] almost[0] ill[-1] at[0] the[0] thought[0] of[0] glimpsing[0] a[0] dirty[-1] movie[0] again[0] is[0] their[0] motive[0] they've[0] done[0] a[0] swell[0] job[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it'll be a long time before i give a schumacher film another chance--unless i lose my mind and become seriously depraved . 	it'll be a long time before i give a schumacher film another chance-unless i lose my mind and become seriously depraved .	1	-4	 it'll[0] be[0] a[0] long[0] time[0] before[0] i[0] give[0] a[0] schumacher[0] film[0] another[0] chance[0] unless[0] i[0] lose[-1] my[0] mind[0] and[0] become[0] seriously[0] depraved[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but today i'm not depraved , so i ask , why does this film preach that this garbage is out there and that society should be worried about it ? 	but today i'm not depraved , so i ask , why does this film preach that this garbage is out there and that society should be worried about it ?	4	-4	 but[0] today[0] i'm[0] not[0] depraved[-3][NegatedDueToPreviousWord] so[0] i[0] ask[0] why[0] does[0] this[0] film[0] preach[0] that[0] this[0] garbage[-2] is[0] out[0] there[0] and[0] that[0] society[0] should[0] be[0] worried[-3] about[0] it[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
i'm sure that somewhere right now there's some pretty sick crap going on , but that doesn't mean i need to know about it . 	i'm sure that somewhere right now there's some pretty sick crap going on , but that doesn't mean i need to know about it .	2	-3	 i'm[0] sure[0] that[0] somewhere[0] right[0] now[0] there's[0] some[0] pretty[2][-1 LastWordBoosterStrength] sick[-1] crap[-2] going[0] on[0] but[0] that[0] doesn't[0] mean[0] i[0] need[0] to[0] know[0] about[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yes , mr . walker , your script tells us that there are some screwed-up folks out there . 	yes , mr .<br> walker , your script tells us that there are some screwed-up folks out there .	1	-1	 yes[0] mr[0] [[Sentence=-1,1=word max, 1-5]] walker[0] your[0] script[0] tells[0] us[0] that[0] there[0] are[0] some[0] screwed[0] up[0] folks[0] out[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , mr . walker , the proverbial monster doesn't look like we expect him to . 	yes , mr .<br> walker , the proverbial monster doesn't look like we expect him to .	2	-2	 yes[0] mr[0] [[Sentence=-1,1=word max, 1-5]] walker[0] the[0] proverbial[0] monster[-1] doesn't[0] look[0] like[1] we[0] expect[0] him[0] to[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you said all that in 1995 . 	you said all that in 1995 .	1	-1	 you[0] said[0] all[0] that[0] in[0] 1995[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
move on . 	move on .	1	-1	 move[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film serves no purpose . 	this film serves no purpose .	1	-1	 this[0] film[0] serves[0] no[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't entertain , it doesn't teach us anything , it doesn't make a statement beyond the obvious " this stuff is bad " approach . 	it doesn't entertain , it doesn't teach us anything , it doesn't make a statement beyond the obvious " this stuff is bad " approach .	1	-2	 it[0] doesn't[0] entertain[0] it[0] doesn't[0] teach[0] us[0] anything[0] it[0] doesn't[0] make[0] a[0] statement[0] beyond[0] the[0] obvious[0] this[0] stuff[0] is[0] bad[-1] approach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only if this film awakens the authorities to find a way to abolish these types of horrors would it ever do someting truly worthwhile . 	only if this film awakens the authorities to find a way to abolish these types of horrors would it ever do someting truly worthwhile .	2	-4	 only[0] if[0] this[0] film[0] awakens[0] the[0] authorities[0] to[0] find[0] a[0] way[0] to[0] abolish[-1] these[0] types[0] of[0] horrors[-3] would[0] it[0] ever[0] do[0] someting[0] truly[1] worthwhile[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that's not likely to happen , though , so " 8mm " is indeed a scummy waste of money . 	that's not likely to happen , though , so " 8m " is indeed a scummy waste of money .	1	-2	 that's[0] not[0] likely[0] to[0] happen[0] though[0] so[0] 8mm/8m[0] is[0] indeed[0] a[0] scummy[-1] waste[-1] of[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
orson welles said years ago in a tribute to film , " to movies . . . to 	orson welles said years ago in a tribute to film , " to movies .<br> .<br> .<br> to	2	-1	 orson[0] welles[1] said[0] years[0] ago[0] in[0] a[0] tribute[0] to[0] film[0] to[0] movies[0] [[Sentence=-1,2=word max, 1-5]] to[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
good movies " . 	good movies " .	2	-1	 good[1] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if only joel schumacher and the producers had listened and told andrew kevin walker to bury this crud deep in a hole . 	if only joel schumacher and the producers had listened and told andrew kevin walker to bury this crud deep in a hole .	1	-3	 if[0] only[0] joel[0] schumacher[0] and[0] the[0] producers[0] had[0] listened[0] and[0] told[0] andrew[0] kevin[0] walker[0] to[0] bury[-2] this[0] crud[0] deep[0] in[0] a[0] hole[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like " snuff " films , " 8mm " should never have been made . 	like " snuff " films , " 8m " should never have been made .	2	-1	 like[1] snuff[0] films[0] 8mm/8m[0] should[0] never[0] have[0] been[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , excuse me while i go try to forget i ever saw it . 	now , excuse me while i go try to forget i ever saw it .	1	-1	 now[0] excuse[0] me[0] while[0] i[0] go[0] try[0] to[0] forget[0] i[0] ever[0] saw[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
useless trivia--joel schumacher loves the vigilante theme . 	useless trivia-joel schumacher loves the vigilante theme .	3	-3	 useless[-2] trivia[-1] joel[0] schumacher[0] loves[2] the[0] vigilante[0] theme[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he used it in " batman forever " , in " batman & robin " , in " a time to kill " , in " falling down " , and it's rumoured that joel himself will play the vigilante at his breakfast table tomorrow . . . 	he used it in " batman forever " , in " batman & robin " , in " a time to kill " , in " falling down " , and it's rumoured that joel himself will play the vigilante at his breakfast table tomorrow .<br> .<br> .	1	-2	 he[0] used[0] it[0] in[0] batman[0] forever[0] in[0] batman[0] &[0] robin[0] in[0] a[0] time[0] to[0] kill[-1] in[0] falling[0] down[0] and[0] it's[0] rumoured[0] that[0] joel[0] himself[0] will[0] play[0] the[0] vigilante[0] at[0] his[0] breakfast[0] table[0] tomorrow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
