the following review encompasses two versions of dune : 	Translation	Positive	Negative	EmotionRationale
as a piece of editing , however , it is at times surprisingly inept . 	as a piece of editing , however , it is at times surprisingly inept .	1	-1	 as[0] a[0] piece[0] of[0] editing[0] however[0] it[0] is[0] at[0] times[0] surprisingly[0] inept[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the use of painted stills in the new prologue works well enough , but their occasional appearance once the action begins is inappropriate . 	the use of painted stills in the new prologue works well enough , but their occasional appearance once the action begins is inappropriate .	1	-1	 the[0] use[0] of[0] painted[0] stills[0] in[0] the[0] new[0] prologue[0] works[0] well[0] enough[0] but[0] their[0] occasional[0] appearance[0] once[0] the[0] action[0] begins[0] is[0] inappropriate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's some sloppy cutting , too , and in a few instances shots even appear out of order . 	there's some sloppy cutting , too , and in a few instances shots even appear out of order .	1	-1	 there's[0] some[0] sloppy[-1][--1 LastWordBoosterStrength] cutting[0] too[0] and[0] in[0] a[0] few[0] instances[0] shots[0] even[0] appear[0] out[0] of[0] order[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the use of repeated footage to fabricate certain scenes ( eg . 	and the use of repeated footage to fabricate certain scenes ( eg .	1	-2	 and[0] the[0] use[0] of[0] repeated[0] footage[0] to[0] fabricate[-1] certain[0] scenes[0] eg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ships coming and going , soldiers coming and going ) is at times clearly out-of-context . 	ships coming and going , soldiers coming and going ) is at times clearly out-of-context .	1	-1	 ships[0] coming[0] and[0] going[0] soldiers[0] coming[0] and[0] going[0] is[0] at[0] times[0] clearly[0] out[0] of[0] context[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the kind of thing to which lynch objected , and rightly so . 	this is the kind of thing to which lynch objected , and rightly so .	2	-1	 this[0] is[0] the[0] kind[1] of[0] thing[0] to[0] which[0] lynch[0] objected[0] and[0] rightly[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it should also be noted that several questionable scenes and shots from the theatrical version were deleted to satisfy the censorship demands of u . s . television . 	it should also be noted that several questionable scenes and shots from the theatrical version were deleted to satisfy the censorship demands of you .<br> s .<br> television .	2	-2	 it[0] should[0] also[0] be[0] noted[0] that[0] several[0] questionable[-1] scenes[0] and[0] shots[0] from[0] the[0] theatrical[0] version[0] were[0] deleted[0] to[0] satisfy[1] the[0] censorship[-1] demands[0] of[0] u[0] [[Sentence=-2,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] television[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
but the most notable omission is a gratuitous piece of nonsense from lynch that wasn't even in herbert's book . 	but the most notable omission is a gratuitous piece of nonsense from lynch that wasn't even in herbert's book .	1	-2	 but[0] the[0] most[0] notable[0] omission[0] is[0] a[0] gratuitous[-1] piece[0] of[0] nonsense[-1] from[0] lynch[0] that[0] wasn't[0] even[0] in[0] herbert's[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scene features baron harkonnen killing a beautiful young man in front of his slobbering henchmen by pulling out his " heart plug " . 	the scene features baron harkonnen killing a beautiful young man in front of his slobbering henchmen by pulling out his " heart plug " .	3	-2	 the[0] scene[0] features[0] baron[0] harkonnen[0] killing[-1] a[0] beautiful[2] young[0] man[0] in[0] front[0] of[0] his[0] slobbering[0] henchmen[0] by[0] pulling[0] out[0] his[0] heart[0] plug[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
its a surreal and disturbing episode that's very lynch-esque but adds nothing to what we already know : the baron is a nasty piece of work . 	its a surreal and disturbing episode that's very lynch-esque but adds nothing to what we already know : the baron is a nasty piece of work .	1	-3	 its[0] a[0] surreal[0] and[0] disturbing[-1] episode[0] that's[0] very[0] lynch[0] esque[0] but[0] adds[0] nothing[0] to[0] what[0] we[0] already[0] know[0] the[0] baron[0] is[0] a[0] nasty[-2] piece[0] of[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite its own peculiar flaws , then , the extended version of dune is a generally superior film . 	despite its own peculiar flaws , then , the extended version of dune is a generally superior film .	3	-1	 despite[0] its[0] own[0] peculiar[0] flaws[0] then[0] the[0] extended[0] version[0] of[0] dune[0] is[0] a[0] generally[0] superior[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all up , it contains 35 minutes of restored footage and approximately another 15 minutes of either altered , fabricated or newly created sequences . 	all up , it contains 35 minutes of restored footage and approximately another 15 minutes of either altered , fabricated or newly created sequences .	1	-2	 all[0] up[0] it[0] contains[0] 35[0] minutes[0] of[0] restored[0] footage[0] and[0] approximately[0] another[0] 15[0] minutes[0] of[0] either[0] altered[0] fabricated[-1] or[0] newly[0] created[0] sequences[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unless the idiosyncratic lynch has a sudden change of heart , the " alan smithee " version remains the closest we'll get to what the movie should have been . 	unless the idiosyncratic lynch has a sudden change of heart , the " alan smithee " version remains the closest we'll get to what the movie should have been .	1	-1	 unless[0] the[0] idiosyncratic[0] lynch[0] has[0] a[0] sudden[0] change[0] of[0] heart[0] the[0] alan[0] smithee[0] version[0] remains[0] the[0] closest[0] we'll[0] get[0] to[0] what[0] the[0] movie[0] should[0] have[0] been[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on repeated viewings , one suspects it is closer than what lynch would be prepared to admit . 	on repeated viewings , one suspects it is closer than what lynch would be prepared to admit .	1	-1	 on[0] repeated[0] viewings[0] one[0] suspects[0] it[0] is[0] closer[0] than[0] what[0] lynch[0] would[0] be[0] prepared[0] to[0] admit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , as one of this century's great science-fiction novels , some fans and perhaps the late herbert himself would argue that dune deserved a better fate in its transfer to the screen . 	still , as one of this century's great science-fiction novels , some fans and perhaps the late herbert himself would argue that dune deserved a better fate in its transfer to the screen .	3	-1	 still[0] as[0] one[0] of[0] this[0] century's[0] great[2] science[0] fiction[0] novels[0] some[0] fans[0] and[0] perhaps[0] the[0] late[0] herbert[0] himself[0] would[0] argue[-1][--1 LastWordBoosterStrength] that[0] dune[0] deserved[0] a[0] better[0] fate[0] in[0] its[0] transfer[0] to[0] the[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with rumours circulating of a new six hour mini-series planned by production company new amsterdam entertainment in 1998 , it is unlikely that we have heard the last of the dune saga . 	with rumours circulating of a new six hour mini-series planned by production company new amsterdam entertainment in 1998 , it is unlikely that we have heard the last of the dune saga .	1	-2	 with[0] rumours[0] circulating[0] of[0] a[0] new[0] six[0] hour[0] mini[0] series[0] planned[0] by[0] production[0] company[0] new[0] amsterdam[0] entertainment[0] in[0] 1998[0] it[0] is[0] unlikely[0] that[0] we[0] have[0] heard[0] the[0] last[0] of[0] the[0] dune[0] saga[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
