i think that saying that the x-files is one of this summer's most anticipated films is safe . 	Translation	Positive	Negative	EmotionRationale
&nbsp ; why bring superintendent skinner into the picture in the first place , and then have him sat silently on an fbi internal affairs committee ? &nbsp ; 	&nbsp ; why bring superintendent skinner into the picture in the first place , and then have him sat silently on an fbi internal affairs committee ?<br> &nbsp ;	1	-1	 &nbsp[0] why[0] bring[0] superintendent[0] skinner[0] into[0] the[0] picture[0] in[0] the[0] first[0] place[0] and[0] then[0] have[0] him[0] sat[0] silently[0] on[0] an[0] fbi[0] internal[0] affairs[0] committee[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why bring in " the lone gunmen , " three computer geek conspiracy theorists , for an even briefer appearance ? &nbsp ; 	why bring in " the lone gunmen , " three computer geek conspiracy theorists , for an even briefer appearance ?<br> &nbsp ;	1	-2	 why[0] bring[0] in[0] the[0] lone[-1] gunmen[-1] three[0] computer[0] geek[0] conspiracy[-1] theorists[0] for[0] an[0] even[0] briefer[0] appearance[0] [[Sentence=-2,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
these characters are recurrent on the series , and their appearance in the film was met with whoops from the audience ( suggesting their popularity among fans - actually most of the audience could pass for " the lone gunmen " ) . &nbsp ; 	these characters are recurrent on the series , and their appearance in the film was met with whoops from the audience ( suggesting their popularity among fans - actually most of the audience could pass for " the lone gunmen " ) .<br> &nbsp ;	2	-2	 these[0] characters[0] are[0] recurrent[0] on[0] the[0] series[0] and[0] their[0] appearance[0] in[0] the[0] film[0] was[0] met[0] with[0] whoops[0] from[0] the[0] audience[0] suggesting[0] their[0] popularity[1] among[0] fans[0] actually[0] most[0] of[0] the[0] audience[0] could[0] pass[0] for[0] the[0] lone[-1] gunmen[-1] [[Sentence=-2,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
still , then they vanish just as quickly . 	still , then they vanish just as quickly .	1	-2	 still[0] then[0] they[0] vanish[-1] just[0] as[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
&nbsp ; 2 . &nbsp ; 	&nbsp ; 2 .<br> &nbsp ;	1	-1	 &nbsp[0] 2[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the television show never gives us any answers . &nbsp ; 	the television show never gives us any answers .<br> &nbsp ;	1	-1	 the[0] television[0] show[0] never[0] gives[0] us[0] any[0] answers[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will the movie actually explain some things ? &nbsp ; 	will the movie actually explain some things ?<br> &nbsp ;	1	-1	 will[0] the[0] movie[0] actually[0] explain[0] some[0] things[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes . &nbsp ; 	yes .<br> &nbsp ;	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the x-files we get a fairly complete history of " the black ooze , " what it is and what it wants . &nbsp ; 	in the x-files we get a fairly complete history of " the black ooze , " what it is and what it wants .<br> &nbsp ;	2	-1	 in[0] the[0] x[1] files[0] we[0] get[0] a[0] fairly[0] complete[0] history[0] of[0] the[0] black[0] ooze[0] what[0] it[0] is[0] and[0] what[0] it[0] wants[0] [[Sentence=-1,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
we finally get some understanding of the motivations behind the " shadow government . " &nbsp ; 	we finally get some understanding of the motivations behind the " shadow government .<br> " &nbsp ;	1	-1	 we[0] finally[0] get[0] some[0] understanding[0] of[0] the[0] motivations[0] behind[0] the[0] shadow[0] government[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are even some subtle tie-ins with contemporary ufo-ology , including the " greys " and the roswell crash of 1947 . 	there are even some subtle tie-ins with contemporary ufo-ology , including the " greys " and the roswell crash of 1947 .	1	-1	 there[0] are[0] even[0] some[0] subtle[0] tie[0] ins[0] with[0] contemporary[0] ufo[0] ology[0] including[0] the[0] greys[0] and[0] the[0] roswell[0] crash[0] of[0] 1947[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
&nbsp ; 3 . &nbsp ; 	&nbsp ; 3 .<br> &nbsp ;	1	-1	 &nbsp[0] 3[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is the movie any good ? &nbsp ; 	is the movie any good ?<br> &nbsp ;	2	-1	 is[0] the[0] movie[0] any[0] good[1] [[Sentence=-1,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
no . &nbsp ; the x-files is a dreadful movie and shows some fundamental problems with writer/creator chris carter's talents and the relationship between cinema and television . 	no .<br> &nbsp ; the x-files is a dreadful movie and shows some fundamental problems with writer/creator chris carter's talents and the relationship between cinema and television .	2	-4	 no[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] the[0] x[1] files[0] is[0] a[0] dreadful[-3] movie[0] and[0] shows[0] some[0] fundamental[0] problems[-1] with[0] writer/creator[0] chris[0] carter's[0] talents[1] and[0] the[0] relationship[0] between[0] cinema[0] and[0] television[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
&nbsp ; first off , the screenplay by series creator chris carter is sloppy and cliched . &nbsp ; 	&nbsp ; first off , the screenplay by series creator chris carter is sloppy and cliched .<br> &nbsp ;	1	-2	 &nbsp[0] first[0] off[0] the[0] screenplay[0] by[0] series[0] creator[0] chris[0] carter[0] is[0] sloppy[-1] and[0] cliched[0] [[Sentence=-2,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
after approximately forty-five minutes ( the length of a television episode minus the commercials ) , the pace drops to a snail's crawl . &nbsp ; 	after approximately forty-five minutes ( the length of a television episode minus the commercials ) , the pace drops to a snail's crawl .<br> &nbsp ;	1	-1	 after[0] approximately[0] forty[0] five[0] minutes[0] the[0] length[0] of[0] a[0] television[0] episode[0] minus[0] the[0] commercials[0] the[0] pace[0] drops[0] to[0] a[0] snail's[0] crawl[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not long after that point , when carter attempts to answer some questions we have had about the series , we wish he had not . &nbsp ; 	not long after that point , when carter attempts to answer some questions we have had about the series , we wish he had not .<br> &nbsp ;	1	-1	 not[0] long[0] after[0] that[0] point[0] when[0] carter[0] attempts[0] to[0] answer[0] some[0] questions[0] we[0] have[0] had[0] about[0] the[0] series[0] we[0] wish[0] he[0] had[0] not[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the explanations are so trite and ridiculous that one would have preferred it had carter not explained quite so much . &nbsp ; 	the explanations are so trite and ridiculous that one would have preferred it had carter not explained quite so much .<br> &nbsp ;	1	-3	 the[0] explanations[0] are[0] so[0] trite[-2] and[0] ridiculous[-2] that[0] one[0] would[0] have[0] preferred[0] it[0] had[0] carter[0] not[0] explained[0] quite[0] so[0] much[0] [[Sentence=-3,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
i am willing to suspend my disbelief a fair bit , but the absurdity carter wants me to swallow was just too much . &nbsp ; 	i am willing to suspend my disbelief a fair bit , but the absurdity carter wants me to swallow was just too much .<br> &nbsp ;	1	-2	 i[0] am[0] willing[0] to[0] suspend[-1] my[0] disbelief[-1] a[0] fair[0] bit[0] but[0] the[0] absurdity[-1] carter[0] wants[0] me[0] to[0] swallow[0] was[0] just[0] too[0] much[0] [[Sentence=-2,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
breaking the suspension of disbelief destroys the movie - and listening to other fans leave the cinema , maybe the series too . 	breaking the suspension of disbelief destroys the movie - and listening to other fans leave the cinema , maybe the series too .	1	-3	 breaking[0] the[0] suspension[-1] of[0] disbelief[-1] destroys[-2] the[0] movie[0] and[0] listening[0] to[0] other[0] fans[0] leave[0] the[0] cinema[0] maybe[0] the[0] series[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
&nbsp ; the explanations are not only absurd , they are tired and unoriginal . &nbsp ; 	&nbsp ; the explanations are not only absurd , they are tired and unoriginal .<br> &nbsp ;	2	-2	 &nbsp[0] the[0] explanations[0] are[0] not[0] only[0] absurd[-1][NegatedDueToPreviousWord] they[0] are[0] tired[-1] and[0] unoriginal[0] [[Sentence=-2,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
the extraterrestrials breed and gestate like those from the alien series , and their craft looks like a leftover set piece from independence day . &nbsp ; 	the extraterrestrials breed and gestate like those from the alien series , and their craft looks like a leftover set piece from independence day .<br> &nbsp ;	2	-2	 the[0] extraterrestrials[0] breed[0] and[0] gestate[0] like[1] those[0] from[0] the[0] alien[-1] series[0] and[0] their[0] craft[0] looks[0] like[1] a[0] leftover[0] set[0] piece[0] from[0] independence[0] day[0] [[Sentence=-2,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
note that the alien movies , id4 , and the x-files are all from 20thcentury fox - a studio that is beginning to cannibalize itself i think . 	note that the alien movies , id4 , and the x-files are all from 20thcentury fox - a studio that is beginning to cannibalize itself i think .	2	-2	 note[0] that[0] the[0] alien[-1] movies[0] id4[0] and[0] the[0] x[1] files[0] are[0] all[0] from[0] 20thcentury[0] fox[0] a[0] studio[0] that[0] is[0] beginning[0] to[0] cannibalize[-1] itself[0] i[0] think[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
&nbsp ; the x-files is noteworthy for being the only movie based on a television series to be produced while the series was still running . &nbsp ; 	&nbsp ; the x-files is noteworthy for being the only movie based on a television series to be produced while the series was still running .<br> &nbsp ;	2	-1	 &nbsp[0] the[0] x[1] files[0] is[0] noteworthy[0] for[0] being[0] the[0] only[0] movie[0] based[0] on[0] a[0] television[0] series[0] to[0] be[0] produced[0] while[0] the[0] series[0] was[0] still[0] running[0] [[Sentence=-1,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
in comparing the movie and television series certain aspects of the respective media emerge . 	in comparing the movie and television series certain aspects of the respective media emerge .	3	-1	 in[0] comparing[0] the[0] movie[0] and[0] television[0] series[0] certain[0] aspects[0] of[0] the[0] respective[2] media[0] emerge[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
&nbsp ; the avoidance of the series to answer the questions it raised annoyed and frustrated many people . &nbsp ; 	&nbsp ; the avoidance of the series to answer the questions it raised annoyed and frustrated many people .<br> &nbsp ;	1	-3	 &nbsp[0] the[0] avoidance[-1] of[0] the[0] series[0] to[0] answer[0] the[0] questions[0] it[0] raised[0] annoyed[-2] and[0] frustrated[-2] many[0] people[0] [[Sentence=-3,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , i rather liked that about the series . &nbsp ; 	however , i rather liked that about the series .<br> &nbsp ;	3	-1	 however[0] i[0] rather[0] liked[2] that[0] about[0] the[0] series[0] [[Sentence=-1,3=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
television allows you to impose as much , or as little , meaning on a show as you want . &nbsp ; 	television allows you to impose as much , or as little , meaning on a show as you want .<br> &nbsp ;	1	-2	 television[0] allows[0] you[0] to[0] impose[-1] as[0] much[0] or[0] as[0] little[0] meaning[0] on[0] a[0] show[0] as[0] you[0] want[0] [[Sentence=-2,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is the proverbial " blank screen " which we project our minds on . &nbsp ; 	it is the proverbial " blank screen " which we project our minds on .<br> &nbsp ;	1	-1	 it[0] is[0] the[0] proverbial[0] blank[0] screen[0] which[0] we[0] project[0] our[0] minds[0] on[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meaning on television is open and ambiguous ; it is the nature of the medium . 	meaning on television is open and ambiguous ; it is the nature of the medium .	1	-2	 meaning[0] on[0] television[0] is[0] open[0] and[0] ambiguous[-1] it[0] is[0] the[0] nature[0] of[0] the[0] medium[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
&nbsp ; cinema , on the other hand , is the opposite . &nbsp ; 	&nbsp ; cinema , on the other hand , is the opposite .<br> &nbsp ;	1	-1	 &nbsp[0] cinema[0] on[0] the[0] other[0] hand[0] is[0] the[0] opposite[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it projects onto us the filmmakers mind . &nbsp ; 	it projects onto us the filmmakers mind .<br> &nbsp ;	1	-1	 it[0] projects[0] onto[0] us[0] the[0] filmmakers[0] mind[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can , in some films , fill the textual gaps ourselves , but that almost never happens in an american film . &nbsp ; 	we can , in some films , fill the textual gaps ourselves , but that almost never happens in an american film .<br> &nbsp ;	1	-1	 we[0] can[0] in[0] some[0] films[0] fill[0] the[0] textual[0] gaps[0] ourselves[0] but[0] that[0] almost[0] never[0] happens[0] in[0] an[0] american[0] film[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meaning , in cinema , needs to be self-contained and determined . 	meaning , in cinema , needs to be self-contained and determined .	1	-1	 meaning[0] in[0] cinema[0] needs[0] to[0] be[0] self[0] contained[0] and[0] determined[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
&nbsp ; so , when the x-files made that jump from small to big screen , carter needed to take into consideration the differences in the medium as well . &nbsp ; 	&nbsp ; so , when the x-files made that jump from small to big screen , carter needed to take into consideration the differences in the medium as well .<br> &nbsp ;	2	-1	 &nbsp[0] so[0] when[0] the[0] x[1] files[0] made[0] that[0] jump[0] from[0] small[0] to[0] big[0] screen[0] carter[0] needed[0] to[0] take[0] into[0] consideration[0] the[0] differences[0] in[0] the[0] medium[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
he did not . &nbsp ; 	he did not .<br> &nbsp ;	1	-1	 he[0] did[0] not[0] [[Sentence=-1,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by making explicit , what the television show left implicit , carter reveals the limits of his creativity and skill . 	by making explicit , what the television show left implicit , carter reveals the limits of his creativity and skill .	1	-1	 by[0] making[0] explicit[0] what[0] the[0] television[0] show[0] left[0] implicit[0] carter[0] reveals[0] the[0] limits[0] of[0] his[0] creativity[0] and[0] skill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
&nbsp ; when they say that " fans " make a tv show , it is not far from the truth . &nbsp ; 	&nbsp ; when they say that " fans " make a tv show , it is not far from the truth .<br> &nbsp ;	2	-1	 &nbsp[0] when[0] they[0] say[0] that[0] fans[0] make[0] a[0] tv[0] show[0] it[0] is[0] not[0] far[0] from[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
on television , fan culture must impose its meanings on the text because there is nothing there . &nbsp ; 	on television , fan culture must impose its meanings on the text because there is nothing there .<br> &nbsp ;	1	-2	 on[0] television[0] fan[0] culture[0] must[0] impose[-1] its[0] meanings[0] on[0] the[0] text[0] because[0] there[0] is[0] nothing[0] there[0] [[Sentence=-2,1=word max, 1-5]] &nbsp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
how true that is when we see the " explicit " x-files - there is nothing there . 	how true that is when we see the " explicit " x-files - there is nothing there .	2	-1	 how[0] true[1] that[0] is[0] when[0] we[0] see[0] the[0] explicit[0] x[1] files[0] there[0] is[0] nothing[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
