 * * * the following review contains spoilers * * * 	Translation	Positive	Negative	EmotionRationale
the new thx approved audio is loud and clear in all the right places , however you'll be hearing absurd dialogue and a mediocre jerry goldsmith score ( which is completely unrelated to john williams' classic superman theme and sounds better suited for a cannon films' golan-globus production ) . 	the new thanks approved audio is loud and clear in all the right places , however you'll be hearing absurd dialogue and a mediocre jerry goldsmith score ( which is completely unrelated to john williams' classic superman theme and sounds better suited for a cannon films' golan-globus production ) .	1	-2	 the[0] new[0] thx[0] approved[0] audio[0] is[0] loud[0] and[0] clear[0] in[0] all[0] the[0] right[0] places[0] however[0] you'll[0] be[0] hearing[0] absurd[-1] dialogue[0] and[0] a[0] mediocre[-1] jerry[0] goldsmith[0] score[0] which[0] is[0] completely[0] unrelated[0] to[0] john[0] williams'[0] classic[0] superman[0] theme[0] and[0] sounds[0] better[0] suited[0] for[0] a[0] cannon[-1] films'[0] golan[0] globus[0] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the commentary track featuring director szwarc and project consultant bosco is a step in the right direction in the evolution of audio commentaries . 	the commentary track featuring director szwarc and project consultant bosco is a step in the right direction in the evolution of audio commentaries .	1	-1	 the[0] commentary[0] track[0] featuring[0] director[0] szwarc[0] and[0] project[0] consultant[0] bosco[0] is[0] a[0] step[0] in[0] the[0] right[0] direction[0] in[0] the[0] evolution[0] of[0] audio[0] commentaries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bosco seems to be an expert in all things supergirl and is there with szwarc to ensure that there's no dead air on the track . 	bosco seems to be an expert in all things supergirl and is there with szwarc to ensure that there's no dead air on the track .	1	-3	 bosco[0] seems[0] to[0] be[0] an[0] expert[0] in[0] all[0] things[0] supergirl[0] and[0] is[0] there[0] with[0] szwarc[0] to[0] ensure[0] that[0] there's[0] no[0] dead[-2] air[0] on[0] the[0] track[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bosco probes szwarc for information on virtually everyone and everything that comes onscreen , and we learn a great deal more about the film as a result of his participation . 	bosco probes szwarc for information on virtually everyone and everything that comes onscreen , and we learn a great deal more about the film as a result of his participation .	3	-1	 bosco[0] probes[0] szwarc[0] for[0] information[0] on[0] virtually[0] everyone[0] and[0] everything[0] that[0] comes[0] onscreen[0] and[0] we[0] learn[0] a[0] great[2] deal[0] more[0] about[0] the[0] film[0] as[0] a[0] result[0] of[0] his[0] participation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although , at times you can tell that bosco is looking for a specific response from szwarc , and is surprised when he doesn't get that response . 	although , at times you can tell that bosco is looking for a specific response from szwarc , and is surprised when he doesn't get that response .	1	-1	 although[0] at[0] times[0] you[0] can[0] tell[0] that[0] bosco[0] is[0] looking[0] for[0] a[0] specific[0] response[0] from[0] szwarc[0] and[0] is[0] surprised[0] when[0] he[0] doesn't[0] get[0] that[0] response[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we learn some fascinating tidbits on the track , most notably the " almost " appearance in the film by christopher reeve . 	we learn some fascinating tidbits on the track , most notably the " almost " appearance in the film by christopher reeve .	1	-1	 we[0] learn[0] some[0] fascinating[0] tidbits[0] on[0] the[0] track[0] most[0] notably[0] the[0] almost[0] appearance[0] in[0] the[0] film[0] by[0] christopher[0] reeve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great detail is given about superman's proposed role in the original script before reeve ( wisely ) dropped out . 	great detail is given about superman's proposed role in the original script before reeve ( wisely ) dropped out .	3	-1	 great[2] detail[0] is[0] given[0] about[0] superman's[0] proposed[0] role[0] in[0] the[0] original[0] script[0] before[0] reeve[0] wisely[0] dropped[0] out[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as it stands , superman is written off early on in the film when we hear a radio broadcast mention that he is billions of light years away on some sort of peace mission . 	as it stands , superman is written off early on in the film when we hear a radio broadcast mention that he is billions of light years away on some sort of peace mission .	1	-1	 as[0] it[0] stands[0] superman[0] is[0] written[0] off[0] early[0] on[0] in[0] the[0] film[0] when[0] we[0] hear[0] a[0] radio[0] broadcast[0] mention[0] that[0] he[0] is[0] billions[0] of[0] light[0] years[0] away[0] on[0] some[0] sort[0] of[0] peace[0] mission[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the sake of brevity , i won't even get into that one . 	for the sake of brevity , i won't even get into that one .	1	-1	 for[0] the[0] sake[0] of[0] brevity[0] i[0] won't[0] even[0] get[0] into[0] that[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
szwarc also reveals that is was the conscious decision of the salkinds ( and everyone else agreed ) that supergirl needed to stand on its own , replacing the science fiction of the superman films with cutsy " whimsical fantasy " nonsense . 	szwarc also reveals that is was the conscious decision of the salkinds ( and everyone else agreed ) that supergirl needed to stand on its own , replacing the science fiction of the superman films with cutsy " whimsical fantasy " nonsense .	1	-2	 szwarc[0] also[0] reveals[0] that[0] is[0] was[0] the[0] conscious[0] decision[0] of[0] the[0] salkinds[0] and[0] everyone[0] else[0] agreed[0] that[0] supergirl[0] needed[0] to[0] stand[0] on[0] its[0] own[0] replacing[0] the[0] science[0] fiction[0] of[0] the[0] superman[0] films[0] with[0] cutsy[0] whimsical[0] fantasy[0] nonsense[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bosco also points out scenes not in the american release as they come along , claiming that had they been in the original release it would have been a hit at the box office . 	bosco also points out scenes not in the american release as they come along , claiming that had they been in the original release it would have been a hit at the box office .	1	-1	 bosco[0] also[0] points[0] out[0] scenes[0] not[0] in[0] the[0] american[0] release[0] as[0] they[0] come[0] along[0] claiming[0] that[0] had[0] they[0] been[0] in[0] the[0] original[0] release[0] it[0] would[0] have[0] been[0] a[0] hit[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again , for the sake of brevity , i won't even get into that one . 	again , for the sake of brevity , i won't even get into that one .	1	-1	 again[0] for[0] the[0] sake[0] of[0] brevity[0] i[0] won't[0] even[0] get[0] into[0] that[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anchor bay has also released a limited edition ( only 50 , 000 copies pressed ) two-disc set . 	anchor bay has also released a limited edition ( only 50 , 00 copies pressed ) two-disc set .	1	-1	 anchor[0] bay[0] has[0] also[0] released[0] a[0] limited[0] edition[0] only[0] 50[0] 000/00[0] copies[0] pressed[0] two[0] disc[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disc one contains everything mentioned for the regular release . 	disc one contains everything mentioned for the regular release .	1	-1	 disc[0] one[0] contains[0] everything[0] mentioned[0] for[0] the[0] regular[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disc two features the never before seen director's cut of the film , which runs 138 minutes long . 	disc two features the never before seen director's cut of the film , which runs 138 minutes long .	1	-1	 disc[0] two[0] features[0] the[0] never[0] before[0] seen[0] director's[0] cut[0] of[0] the[0] film[0] which[0] runs[0] 138[0] minutes[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the additions mainly consist of scene extensions which don't add much of note , except for a few moments which lengthen peter o'toole's screen time ( particularly during his latter appearances ) . 	the additions mainly consist of scene extensions which don't add much of note , except for a few moments which lengthen peter o'toole's screen time ( particularly during his latter appearances ) .	1	-1	 the[0] additions[0] mainly[0] consist[0] of[0] scene[0] extensions[0] which[0] don't[0] add[0] much[0] of[0] note[0] except[0] for[0] a[0] few[0] moments[0] which[0] lengthen[0] peter[0] o'toole's[0] screen[0] time[0] particularly[0] during[0] his[0] latter[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the print is rough in spots and the sound is only in mono , but fans of the film won't care . 	the print is rough in spots and the sound is only in mono , but fans of the film won't care .	1	-2	 the[0] print[0] is[0] rough[-1] in[0] spots[0] and[0] the[0] sound[0] is[0] only[0] in[0] mono[0] but[0] fans[0] of[0] the[0] film[0] won't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one question though . . . 	one question though .<br> .<br> .	1	-1	 one[0] question[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shouldn't the director's commentary be on the director's cut of the film ? 	shouldn't the director's commentary be on the director's cut of the film ?	1	-1	 shouldn't[0] the[0] director's[0] commentary[0] be[0] on[0] the[0] director's[0] cut[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd never seen supergirl before i sat down to watch this dvd . 	i'd never seen supergirl before i sat down to watch this dvd .	1	-1	 i'd[0] never[0] seen[0] supergirl[0] before[0] i[0] sat[0] down[0] to[0] watch[0] this[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was nine when it was released to theaters , and even then i was smart enough to inform my parents not to take me to see it . 	i was nine when it was released to theaters , and even then i was smart enough to inform my parents not to take me to see it .	2	-1	 i[0] was[0] nine[0] when[0] it[0] was[0] released[0] to[0] theaters[0] and[0] even[0] then[0] i[0] was[0] smart[1] enough[0] to[0] inform[0] my[0] parents[0] not[0] to[0] take[0] me[0] to[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so when i popped the dvd into my player and sat down in my easy chair i had no idea what to expect . 	so when i popped the dvd into my player and sat down in my easy chair i had no idea what to expect .	1	-1	 so[0] when[0] i[0] popped[0] the[0] dvd[0] into[0] my[0] player[0] and[0] sat[0] down[0] in[0] my[0] easy[0] chair[0] i[0] had[0] no[0] idea[0] what[0] to[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i knew the film wasn't beloved and i never had any interest in it before , but i was willing to give it a shot because of the impressive amount of work put into the disc . 	i knew the film wasn't beloved and i never had any interest in it before , but i was willing to give it a shot because of the impressive amount of work put into the disc .	3	-2	 i[0] knew[0] the[0] film[0] wasn't[0] beloved[2] and[0] i[0] never[0] had[0] any[0] interest[1] in[0] it[0] before[0] but[0] i[0] was[0] willing[0] to[0] give[0] it[0] a[0] shot[-1] because[0] of[0] the[0] impressive[1] amount[0] of[0] work[0] put[0] into[0] the[0] disc[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as the disc began to spin i was rather impressed with the opening sequence , which made me sit up and wonder if my assumptions all this time could have been wrong . 	as the disc began to spin i was rather impressed with the opening sequence , which made me sit up and wonder if my assumptions all this time could have been wrong .	2	-2	 as[0] the[0] disc[0] began[0] to[0] spin[0] i[0] was[0] rather[0] impressed[1] with[0] the[0] opening[0] sequence[0] which[0] made[0] me[0] sit[0] up[0] and[0] wonder[0] if[0] my[0] assumptions[0] all[0] this[0] time[0] could[0] have[0] been[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
come to find out however it was just the chase digital stereo logo . . . 	come to find out however it was just the chase digital stereo logo .<br> .<br> .	1	-2	 come[0] to[0] find[0] out[0] however[0] it[0] was[0] just[0] the[0] chase[-1] digital[0] stereo[0] logo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so i slunk back into my seat as the nightmare started . 	so i slunk back into my seat as the nightmare started .	1	-3	 so[0] i[0] slunk[0] back[0] into[0] my[0] seat[0] as[0] the[0] nightmare[-2] started[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at the end of the film , supergirl flies back into the lake with the omegahedron , and flies back to argo city . 	at the end of the film , supergirl flies back into the lake with the omegahedron , and flies back to argo city .	1	-1	 at[0] the[0] end[0] of[0] the[0] film[0] supergirl[0] flies[0] back[0] into[0] the[0] lake[0] with[0] the[0] omegahedron[0] and[0] flies[0] back[0] to[0] argo[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ugh , i give up . 	ugh , i give up .	1	-3	 ugh[-2] i[0] give[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm surprised i even made it to the end of the film not once , not twice , but three times to review these discs . 	i'm surprised i even made it to the end of the film not once , not twice , but three times to review these discs .	1	-1	 i'm[0] surprised[0] i[0] even[0] made[0] it[0] to[0] the[0] end[0] of[0] the[0] film[0] not[0] once[0] not[0] twice[0] but[0] three[0] times[0] to[0] review[0] these[0] discs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
supergirl is definitely a terrific dvd package , but a very lousy movie . 	supergirl is definitely a terrific dvd package , but a very lousy movie .	4	-4	 supergirl[0] is[0] definitely[0] a[0] terrific[3] dvd[0] package[0] but[0] a[0] very[0] lousy[-2][-1 LastWordBoosterStrength] movie[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
[pg] 	[pg]	1	-1	 [pg][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
