let's get this one over with as quickly as possible . 	Translation	Positive	Negative	EmotionRationale
the performances in the film are singularly bland . 	the performances in the film are singularly bland .	1	-2	 the[0] performances[0] in[0] the[0] film[0] are[0] singularly[0] bland[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not one performance belays any awe or fear in the face of this two hundred foot tall terror . 	not one performance belays any awe or fear in the face of this two hundred foot tall terror .	1	-4	 not[0] one[0] performance[0] belays[0] any[0] awe[0] or[0] fear[-3] in[0] the[0] face[0] of[0] this[0] two[0] hundred[0] foot[0] tall[0] terror[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters , in the midst of the onslaught , have time to stop and discuss the lack of good coffee , failed relationships , career choices . 	the characters , in the midst of the onslaught , have time to stop and discuss the lack of good coffee , failed relationships , career choices .	2	-3	 the[0] characters[0] in[0] the[0] midst[0] of[0] the[0] onslaught[0] have[0] time[0] to[0] stop[0] and[0] discuss[0] the[0] lack[-1] of[0] good[1] coffee[0] failed[-2] relationships[0] career[0] choices[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only common occurrence that doesn't take place here is having one of the characters have a bowel movement , but then that would have made them believable . 	the only common occurrence that doesn't take place here is having one of the characters have a bowel movement , but then that would have made them believable .	1	-1	 the[0] only[0] common[0] occurrence[0] that[0] doesn't[0] take[0] place[0] here[0] is[0] having[0] one[0] of[0] the[0] characters[0] have[0] a[0] bowel[0] movement[0] but[0] then[0] that[0] would[0] have[0] made[0] them[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla for the most part is okay . 	godzilla for the most part is okay .	1	-1	 godzilla[0] for[0] the[0] most[0] part[0] is[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the design of the beast is funky , if not very memorable . 	the design of the beast is funky , if not very memorable .	1	-1	 the[0] design[0] of[0] the[0] beast[0] is[0] funky[0] if[0] not[0] very[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing that comes to mind-- the major redirection of godzilla in this film is to remove his most familiar trademark , namely his atomic breath . 	one thing that comes to mind- the major redirection of godzilla in this film is to remove his most familiar trademark , namely his atomic breath .	1	-1	 one[0] thing[0] that[0] comes[0] to[0] mind[0] the[0] major[0] redirection[0] of[0] godzilla[0] in[0] this[0] film[0] is[0] to[0] remove[0] his[0] most[0] familiar[0] trademark[0] namely[0] his[0] atomic[0] breath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , i for one can't quite fathom how you can call this monster godzilla without that little trait . 	now , i for one can't quite fathom how you can call this monster godzilla without that little trait .	1	-2	 now[0] i[0] for[0] one[0] can't[0] quite[0] fathom[0] how[0] you[0] can[0] call[0] this[0] monster[-1] godzilla[0] without[0] that[0] little[0] trait[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a good comparison would be to make a superman film and eliminate his ability to fly . 	a good comparison would be to make a superman film and eliminate his ability to fly .	2	-2	 a[0] good[1] comparison[0] would[0] be[0] to[0] make[0] a[0] superman[0] film[0] and[0] eliminate[-1] his[0] ability[0] to[0] fly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is so much wrong with this film that i can't really recall anything recently that has left me this cold hearted ( except for my divorce ) . 	there is so much wrong with this film that i can't really recall anything recently that has left me this cold hearted ( except for my divorce ) .	1	-2	 there[0] is[0] so[0] much[0] wrong[-1] with[0] this[0] film[0] that[0] i[0] can't[0] really[0] recall[0] anything[0] recently[0] that[0] has[0] left[0] me[0] this[0] cold[-1] hearted[0] except[0] for[0] my[0] divorce[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
any film that can have a two ton lizard slipping on gum balls has got to be envisioned under the influence of prozac . 	any film that can have a two ton lizard slipping on gum balls has got to be envisioned under the influence of prozac .	1	-1	 any[0] film[0] that[0] can[0] have[0] a[0] two[0] ton[0] lizard[0] slipping[0] on[0] gum[0] balls[0] has[0] got[0] to[0] be[0] envisioned[0] under[0] the[0] influence[0] of[0] prozac[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the addition of the baby raptors ( ah , i meant godzillas ) , are nothing but a direct rip off of 'jurassic park " , but with none of that film's suspense or tension . 	the addition of the baby raptors ( ah , i meant godzillas ) , are nothing but a direct rip off of 'jurassic park " , but with none of that film's suspense or tension .	2	-3	 the[0] addition[0] of[0] the[0] baby[1] raptors[0] ah[0] i[0] meant[0] godzillas[0] are[0] nothing[0] but[0] a[0] direct[0] rip[-1] off[0] of[0] 'jurassic[0] park[0] but[0] with[0] none[0] of[0] that[0] film's[0] suspense[0] or[0] tension[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
suffice to say that , " godzilla " is without a doubt the most brain dead motion picture of the decade . 	suffice to say that , " godzilla " is without a doubt the most brain dead motion picture of the decade .	1	-3	 suffice[0] to[0] say[0] that[0] godzilla[0] is[0] without[0] a[0] doubt[-1] the[0] most[0] brain[0] dead[-2] motion[0] picture[0] of[0] the[0] decade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a film that needed the hype . 	this is a film that needed the hype .	1	-1	 this[0] is[0] a[0] film[0] that[0] needed[0] the[0] hype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the current level of writing and directing , nothing else about the film succeeds . 	with the current level of writing and directing , nothing else about the film succeeds .	3	-1	 with[0] the[0] current[0] level[0] of[0] writing[0] and[0] directing[0] nothing[0] else[0] about[0] the[0] film[0] succeeds[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you've seen the trailers , you've seen the best parts . 	if you've seen the trailers , you've seen the best parts .	2	-1	 if[0] you've[0] seen[0] the[0] trailers[0] you've[0] seen[0] the[0] best[1] parts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my only suggestion for mr . d and mr . e . is that they could always go back to selling shoes . 	my only suggestion for mr .<br> d and mr .<br> e .<br> is that they could always go back to selling shoes .	1	-1	 my[0] only[0] suggestion[0] for[0] mr[0] [[Sentence=-1,1=word max, 1-5]] d[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] is[0] that[0] they[0] could[0] always[0] go[0] back[0] to[0] selling[0] shoes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . this film could be the next " rocky horror " . 	 .<br> this film could be the next " rocky horror " .	1	-4	 this[0] film[0] could[0] be[0] the[0] next[0] rocky[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only it's not funny ! 	only it's not funny !	1	-2	 only[0] it's[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
