and i thought " stigmata " would be the worst religiously-oriented thriller released this year . 	Translation	Positive	Negative	EmotionRationale
scenes aren't connected through any reasonable means , so a lot of the time , stuff gets blown up , or people get killed , and i had no idea why . 	scenes aren't connected through any reasonable means , so a lot of the time , stuff gets blown up , or people get killed , and i had no idea why .	1	-4	 scenes[0] aren't[0] connected[0] through[0] any[0] reasonable[0] means[0] so[0] a[0] lot[0] of[0] the[0] time[0] stuff[0] gets[0] blown[0] up[0] or[0] people[0] get[0] killed[-3] and[0] i[0] had[0] no[0] idea[0] why[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
reasons ? 	reasons ?	1	-1	 reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to hell with reasons ! 	to hell with reasons !	1	-2	 to[0] hell[-1] with[0] reasons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's just blow stuff up ! 	let's just blow stuff up !	1	-1	 let's[0] just[0] blow[0] stuff[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
isn't it cool ? 	isn't it cool ?	1	-2	 isn't[0] it[0] cool[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nope , not by a long shot . 	nope , not by a long shot .	1	-2	 nope[0] not[0] by[0] a[0] long[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film is thoroughly unwatchable . 	this film is thoroughly unwatchable .	1	-1	 this[0] film[0] is[0] thoroughly[0] unwatchable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's dull , interminable , and unrelenting in its stupidity . 	it's dull , interminable , and unrelenting in its stupidity .	1	-2	 it's[0] dull[-1] interminable[0] and[0] unrelenting[0] in[0] its[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps arnold needs to make some movies with james cameron to revive his career , because it's not happening with hack peter hyams here . 	perhaps arnold needs to make some movies with james cameron to revive his career , because it's not happening with hack peter hyams here .	1	-2	 perhaps[0] arnold[0] needs[0] to[0] make[0] some[0] movies[0] with[0] james[0] cameron[0] to[0] revive[0] his[0] career[0] because[0] it's[0] not[0] happening[0] with[0] hack[-1] peter[0] hyams[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " end of days " might have had camp value , if only it didn't top itself off with an overly pious ending that nobody's going to buy . 	 " end of days " might have had camp value , if only it didn't top itself off with an overly pious ending that nobody's going to buy .	2	-1	 end[0] of[0] days[0] might[0] have[0] had[0] camp[0] value[1] if[0] only[0] it[0] didn't[0] top[0] itself[0] off[0] with[0] an[0] overly[0] pious[0] ending[0] that[0] nobody's[0] going[0] to[0] buy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the movie is going to be serious , the filmmakers should have come up with a decent script . 	if the movie is going to be serious , the filmmakers should have come up with a decent script .	1	-2	 if[0] the[0] movie[0] is[0] going[0] to[0] be[0] serious[-1] the[0] filmmakers[0] should[0] have[0] come[0] up[0] with[0] a[0] decent[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if it's going to be campy , arnold shouldn't be taking himself so damn seriously ( i didn't actually see him put up on a cross , did i ? ) , and his character shouldn't be such a sad sack . 	if it's going to be campy , arnold shouldn't be taking himself so damn seriously ( i didn't actually see him put up on a cross , did i ?<br> ) , and his character shouldn't be such a sad sack .	1	-4	 if[0] it's[0] going[0] to[0] be[0] campy[0] arnold[0] shouldn't[0] be[0] taking[0] himself[0] so[0] damn[-1] seriously[0] i[0] didn't[0] actually[0] see[0] him[0] put[0] up[0] on[0] a[0] cross[-1] did[0] i[0] [[Sentence=-2,1=word max, 1-5]] and[0] his[0] character[0] shouldn't[0] be[0] such[0] a[0] sad[-3] sack[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as it stands , " end of days " is just a bad movie , and an awfully gloomy one at that . 	as it stands , " end of days " is just a bad movie , and an awfully gloomy one at that .	1	-4	 as[0] it[0] stands[0] end[0] of[0] days[0] is[0] just[0] a[0] bad[-1] movie[0] and[0] an[0] awfully[-3] gloomy[-2][-1 MultiplePositiveWords] one[0] at[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
