the above is dialogue from this film , taken almost completely in context , and not jazzed up a bit to make it more inept than it is . 	Translation	Positive	Negative	EmotionRationale
not only does it have bad fallacy , but it can't even express this in an intelligent and coherent manner . 	not only does it have bad fallacy , but it can't even express this in an intelligent and coherent manner .	2	-2	 not[0] only[0] does[0] it[0] have[0] bad[-1] fallacy[-1] but[0] it[0] can't[0] even[0] express[0] this[0] in[0] an[0] intelligent[1] and[0] coherent[0] manner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everything's overly surreal , and all we get are scenes of graphic violence and graphic sex . 	everything's overly surreal , and all we get are scenes of graphic violence and graphic sex .	1	-4	 everything's[0] overly[0] surreal[0] and[0] all[0] we[0] get[0] are[0] scenes[0] of[0] graphic[0] violence[-3] and[0] graphic[0] sex[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
how does xavier licking semen off his hand express teen angst ? 	how does xavier licking semen off his hand express teen angst ?	1	-1	 how[0] does[0] xavier[0] licking[0] semen[0] off[0] his[0] hand[0] express[0] teen[0] angst[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how does a talking decapitated head show that teens are dispondent because the world makes them this way ? 	how does a talking decapitated head show that teens are dispondent because the world makes them this way ?	1	-1	 how[0] does[0] a[0] talking[0] decapitated[0] head[0] show[0] that[0] teens[0] are[0] dispondent[0] because[0] the[0] world[0] makes[0] them[0] this[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and why does the film constantly go back to the teen angst issue of the film ? 	and why does the film constantly go back to the teen angst issue of the film ?	1	-1	 and[0] why[0] does[0] the[0] film[0] constantly[0] go[0] back[0] to[0] the[0] teen[0] angst[0] issue[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if araki had any kind of competence in writing or direction , he'd show them for what they really are . 	if araki had any kind of competence in writing or direction , he'd show them for what they really are .	2	-1	 if[0] araki[0] had[0] any[0] kind[1] of[0] competence[0] in[0] writing[0] or[0] direction[0] he'd[0] show[0] them[0] for[0] what[0] they[0] really[0] are[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if he didn't want the satirical approach , he'd show the real problems with the world . 	and if he didn't want the satirical approach , he'd show the real problems with the world .	1	-2	 and[0] if[0] he[0] didn't[0] want[0] the[0] satirical[0] approach[0] he'd[0] show[0] the[0] real[0] problems[-1] with[0] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and if you still don't think that " the doom generation " is incompetent on every single possible level it could be , take the acting . 	and if you still don't think that " the doom generation " is incompetent on every single possible level it could be , take the acting .	1	-3	 and[0] if[0] you[0] still[0] don't[0] think[0] that[0] the[0] doom[-1] generation[0] is[0] incompetent[-2] on[0] every[0] single[0] possible[0] level[0] it[0] could[0] be[0] take[0] the[0] acting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rose macgowan is horrible . 	rose macgowan is horrible .	1	-4	 rose[0] macgowan[0] is[0] horrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yes , she proved herself talented in " scream , " but she's so bad in " the doom generation " that if i had not seen her in " scream , " i would have christened her one of the worst actresses working in films today . 	yes , she proved herself talented in " scream , " but she's so bad in " the doom generation " that if i had not seen her in " scream , " i would have christened her one of the worst actresses working in films today .	2	-4	 yes[0] she[0] proved[0] herself[0] talented[1] in[0] scream[-3] but[0] she's[0] so[0] bad[-1] in[0] the[0] doom[-1] generation[0] that[0] if[0] i[0] had[0] not[0] seen[0] her[0] in[0] scream[-3] i[0] would[0] have[0] christened[0] her[0] one[0] of[0] the[0] worst[-2] actresses[0] working[0] in[0] films[0] today[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
her entire performance is one-note ( bitchy ) , and the one scene where she cries over a dead animal is so forced that it's laughable . 	her entire performance is one-note ( bitchy ) , and the one scene where she cries over a dead animal is so forced that it's laughable .	1	-3	 her[0] entire[0] performance[0] is[0] one[0] note[0] bitchy[-1] and[0] the[0] one[0] scene[0] where[0] she[0] cries[-2] over[0] a[0] dead[-2] animal[0] is[0] so[0] forced[0] that[0] it's[0] laughable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
equally bad is jonathan schaech , who wants to be the slacker serial killer : someone who doesn't have any remorse because emotions cause some kind of strain . 	equally bad is jonathan schaech , who wants to be the slacker serial killer : someone who doesn't have any remorse because emotions cause some kind of strain .	1	-3	 equally[0] bad[-1] is[0] jonathan[0] schaech[0] who[0] wants[0] to[0] be[0] the[0] slacker[0] serial[0] killer[-1] someone[0] who[0] doesn't[0] have[0] any[0] remorse[-2] because[0] emotions[0] cause[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] strain[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his performance is annoying as hell , and granted , he was better in " that thing you do ! " 	his performance is annoying as hell , and granted , he was better in " that thing you do !<br> "	1	-3	 his[0] performance[0] is[0] annoying[-2] as[0] hell[-1] and[0] granted[0] he[0] was[0] better[0] in[0] that[0] thing[0] you[0] do[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and then there's james duval . 	and then there's james duval .	1	-1	 and[0] then[0] there's[0] james[0] duval[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just say he makes keanu reeves look like brando . 	let's just say he makes keanu reeves look like brando .	2	-1	 let's[0] just[0] say[0] he[0] makes[0] keanu[0] reeves[0] look[0] like[1] brando[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has the same kind of slacker stuttering , only much much much worse , and every line he says is so bad that i have now deemed him " least talented actor in the world . " 	he has the same kind of slacker stuttering , only much much much worse , and every line he says is so bad that i have now deemed him " least talented actor in the world .<br> "	2	-3	 he[0] has[0] the[0] same[0] kind[1] of[0] slacker[0] stuttering[-1] only[0] much[0] much[0] much[0] worse[-2] and[0] every[0] line[0] he[0] says[0] is[0] so[0] bad[-1] that[0] i[0] have[0] now[0] deemed[0] him[0] least[0] talented[1] actor[0] in[0] the[0] world[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i have seen lots of bad actors , but james duval has got to be the worst . 	i have seen lots of bad actors , but james duval has got to be the worst .	1	-3	 i[0] have[0] seen[0] lots[0] of[0] bad[-1] actors[0] but[0] james[0] duval[0] has[0] got[0] to[0] be[0] the[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or at least somewhere up there . 	or at least somewhere up there .	1	-1	 or[0] at[0] least[0] somewhere[0] up[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's another example of a bad scene , if you're still not convinced : the film opens up in a club where they're playing nine inch nail's most banal song , " heresy " ( example of the lines : " god is dead/and no one cares/if there is a hell/i'll see you there " ) , and as the song plays , and red strobe lights show the patrons dancing , the film pans over to amy , just standing there , looking dispondent . 	here's another example of a bad scene , if you're still not convinced : the film opens up in a club where they're playing nine inch nail's most banal song , " heresy " ( example of the lines : " god is dead/and no one cares/if there is a hell/i'll see you there " ) , and as the song plays , and red strobe lights show the patrons dancing , the film pans over to amy , just standing there , looking dispondent .	2	-2	 here's[0] another[0] example[0] of[0] a[0] bad[-1] scene[0] if[0] you're[0] still[0] not[0] convinced[0] the[0] film[0] opens[0] up[0] in[0] a[0] club[0] where[0] they're[0] playing[1] nine[0] inch[0] nail's[0] most[0] banal[-1] song[0] heresy[0] example[0] of[0] the[0] lines[0] god[0] is[0] dead/and[0] no[0] one[0] cares/if[0] there[0] is[0] a[0] hell/i'll[0] see[0] you[0] there[0] and[0] as[0] the[0] song[0] plays[1] and[0] red[0] strobe[0] lights[0] show[0] the[0] patrons[0] dancing[0] the[0] film[0] pans[0] over[0] to[0] amy[0] just[0] standing[0] there[0] looking[0] dispondent[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film closes in on her , she looks right at the camera and says " fuck . " 	the film closes in on her , she looks right at the camera and says " fuck .<br> "	1	-3	 the[0] film[0] closes[0] in[0] on[0] her[0] she[0] looks[0] right[0] at[0] the[0] camera[0] and[0] says[0] fuck[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no explanation of this should be necessary . 	no explanation of this should be necessary .	1	-1	 no[0] explanation[0] of[0] this[0] should[0] be[0] necessary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and finally , a note to gregg : grow up . 	and finally , a note to gregg : grow up .	1	-1	 and[0] finally[0] a[0] note[0] to[0] gregg[0] grow[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
really . 	really .	1	-1	 really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
move out of your parent's basement , read something other than salinger , and get a day job . 	move out of your parent's basement , read something other than salinger , and get a day job .	1	-1	 move[0] out[0] of[0] your[0] parent's[0] basement[0] read[0] something[0] other[0] than[0] salinger[0] and[0] get[0] a[0] day[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and don't quit it . 	and don't quit it .	2	-1	 and[0] don't[0] quit[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
