star wars : ? episode i -- the phantom menace ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
what was lost in the sixteen years between the phantom menace and return of the jedi ? 	what was lost in the sixteen years between the phantom menace and return of the jedi ?	1	-3	 what[0] was[0] lost[0] in[0] the[0] sixteen[0] years[0] between[0] the[0] phantom[0] menace[-2] and[0] return[0] of[0] the[0] jedi[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i have a feeling that lucas was so focused on how his movie looked that he forgot entirely the way it should feel . 	i have a feeling that lucas was so focused on how his movie looked that he forgot entirely the way it should feel .	1	-1	 i[0] have[0] a[0] feeling[0] that[0] lucas[0] was[0] so[0] focused[0] on[0] how[0] his[0] movie[0] looked[0] that[0] he[0] forgot[0] entirely[0] the[0] way[0] it[0] should[0] feel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john williams' familiar score is no help , nor is lucas' direction . 	john williams' familiar score is no help , nor is lucas' direction .	1	-1	 john[0] williams'[0] familiar[0] score[0] is[0] no[0] help[0] nor[0] is[0] lucas'[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think it comes right down to characters : there are none here . 	i think it comes right down to characters : there are none here .	1	-1	 i[0] think[0] it[0] comes[0] right[0] down[0] to[0] characters[0] there[0] are[0] none[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i longed for the magnetic presence of han , luke , and leia , but i got no such thing . 	i longed for the magnetic presence of han , luke , and leia , but i got no such thing .	1	-1	 i[0] longed[0] for[0] the[0] magnetic[0] presence[0] of[0] han[0] luke[0] and[0] leia[0] but[0] i[0] got[0] no[0] such[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what about the ridiculous expectations ? 	and what about the ridiculous expectations ?	1	-3	 and[0] what[0] about[0] the[0] ridiculous[-2] expectations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mine weren't that high ; i simply wanted a film that showed me the roots of the films that i grew up loving , a story that had a few characters and a few great special effects . 	mine weren't that high ; i simply wanted a film that showed me the roots of the films that i grew up loving , a story that had a few characters and a few great special effects .	4	-1	 mine[0] weren't[0] that[0] high[0] i[0] simply[0] wanted[0] a[0] film[0] that[0] showed[0] me[0] the[0] roots[0] of[0] the[0] films[0] that[0] i[0] grew[0] up[0] loving[3] a[0] story[0] that[0] had[0] a[0] few[0] characters[0] and[0] a[0] few[0] great[2] special[1] effects[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
instead , i got two hours and fifteen minutes of a lifeless and imaginative computer graphics show . 	instead , i got two hours and fifteen minutes of a lifeless and imaginative computer graphics show .	2	-2	 instead[0] i[0] got[0] two[0] hours[0] and[0] fifteen[0] minutes[0] of[0] a[0] lifeless[-1] and[0] imaginative[1] computer[0] graphics[0] show[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i don't hate the phantom menace as much as i resent it : i'd like to forget that it exists , and yet i can't . 	i don't hate the phantom menace as much as i resent it : i'd like to forget that it exists , and yet i can't .	4	-3	 i[0] don't[0] hate[-3][NegatedDueToPreviousWord] the[0] phantom[0] menace[-2] as[0] much[0] as[0] i[0] resent[-2] it[0] i'd[0] like[1] to[0] forget[0] that[0] it[0] exists[0] and[0] yet[0] i[0] can't[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's here to stay . 	it's here to stay .	1	-1	 it's[0] here[0] to[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can only hope that episodes ii and iii have something of substance in them , because if they don't , then lucas will have pulled off the impossible task of destroying his own indestructible series . 	i can only hope that episodes i and i have something of substance in them , because if they don't , then lucas will have pulled off the impossible task of destroying his own indestructible series .	3	-3	 i[0] can[0] only[0] hope[2] that[0] episodes[0] ii/i[0] and[0] iii/i[0][+0.6 MultipleLetters] have[0] something[0] of[0] substance[0] in[0] them[0] because[0] if[0] they[0] don't[0] then[0] lucas[0] will[0] have[0] pulled[0] off[0] the[0] impossible[0] task[0] of[0] destroying[-2] his[0] own[0] indestructible[0] series[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
