warning : spoilers are included in this review . . . 	Translation	Positive	Negative	EmotionRationale
leder likes to flaunt people's fears via their faces , but instead of coming off as sympathetic , leder seems more of a sadist . 	leder likes to flaunt people's fears via their faces , but instead of coming off as sympathetic , leder seems more of a sadist .	3	-3	 leder[0] likes[2] to[0] flaunt[0] people's[0] fears[-2] via[0] their[0] faces[0] but[0] instead[0] of[0] coming[0] off[0] as[0] sympathetic[0] leder[0] seems[0] more[0] of[0] a[0] sadist[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one moment has an astronaut flying off into space . 	one moment has an astronaut flying off into space .	1	-1	 one[0] moment[0] has[0] an[0] astronaut[0] flying[0] off[0] into[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this should be enough to warrant a response from the audience , but leder wants to go farther and shows us the person's face while drifting into space . 	this should be enough to warrant a response from the audience , but leder wants to go farther and shows us the person's face while drifting into space .	1	-1	 this[0] should[0] be[0] enough[0] to[0] warrant[0] a[0] response[0] from[0] the[0] audience[0] but[0] leder[0] wants[0] to[0] go[0] farther[0] and[0] shows[0] us[0] the[0] person's[0] face[0] while[0] drifting[0] into[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is one of the cheapest ways to ellicit an emotional response from an audience , and i , for one , am not going to be fooled . 	this is one of the cheapest ways to elicit an emotional response from an audience , and i , for one , am not going to be fooled .	1	-2	 this[0] is[0] one[0] of[0] the[0] cheapest[-1] ways[0] to[0] ellicit/elicit[0] an[0] emotional[-1] response[0] from[0] an[0] audience[0] and[0] i[0] for[0] one[0] am[0] not[0] going[0] to[0] be[0] fooled[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on another note , leder's film only picks up its pace during the last fifteen minutes when the comet actually impacts . 	on another note , leder's film only picks up its pace during the last fifteen minutes when the comet actually impacts .	1	-1	 on[0] another[0] note[0] leder's[0] film[0] only[0] picks[0] up[0] its[0] pace[0] during[0] the[0] last[0] fifteen[0] minutes[0] when[0] the[0] comet[0] actually[0] impacts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pace does pick up , and some very emotional moments are shown . 	the pace does pick up , and some very emotional moments are shown .	1	-3	 the[0] pace[0] does[0] pick[0] up[0] and[0] some[0] very[0] emotional[-1][-1 LastWordBoosterStrength] moments[0] are[0] shown[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then again , when you watch people cry for their loved ones , it's obvious it will be emotional . 	then again , when you watch people cry for their loved ones , it's obvious it will be emotional .	4	-4	 then[0] again[0] when[0] you[0] watch[0] people[0] cry[-3] for[0] their[0] loved[3] ones[0] it's[0] obvious[0] it[0] will[0] be[0] emotional[-1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
it's mostly just a big trick to rope viewers into " feeling " for the characters , but it didn't work for me . 	it's mostly just a big trick to rope viewers into " feeling " for the characters , but it didn't work for me .	1	-2	 it's[0] mostly[0] just[0] a[0] big[0] trick[-1] to[0] rope[0] viewers[0] into[0] feeling[0] for[0] the[0] characters[0] but[0] it[0] didn't[0] work[0] for[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but anyway , the actors do as much as they can with what they are given . 	but anyway , the actors do as much as they can with what they are given .	1	-1	 but[0] anyway[0] the[0] actors[0] do[0] as[0] much[0] as[0] they[0] can[0] with[0] what[0] they[0] are[0] given[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
t ? a leoni ( bad boys , tv's " the naked truth " ) is the best of the film , and she is given the meatiest role . 	t ?<br> a leoni ( bad boys , tv's " the naked truth " ) is the best of the film , and she is given the meatiest role .	2	-2	 t[0] [[Sentence=-1,1=word max, 1-5]] a[0] leoni[0] bad[-1] boys[0] tv's[0] the[0] naked[0] truth[1] is[0] the[0] best[1] of[0] the[0] film[0] and[0] she[0] is[0] given[0] the[0] meatiest[0] role[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her character is made stronger by leoni's presence , and we grow to care for her . 	her character is made stronger by leoni's presence , and we grow to care for her .	2	-1	 her[0] character[0] is[0] made[0] stronger[0] by[0] leoni's[0] presence[0] and[0] we[0] grow[0] to[0] care[1] for[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert duvall is energetic and fun to watch , but his character is turned into shreds by the plot . 	robert duvall is energetic and fun to watch , but his character is turned into shreds by the plot .	2	-2	 robert[0] duvall[0] is[0] energetic[0] and[0] fun[1] to[0] watch[0] but[0] his[0] character[0] is[0] turned[0] into[0] shreds[-1] by[0] the[0] plot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
elijah wood also comes off rather successfully , but he still hasn't had many good roles ( wood , stick to drama ! 	elijah wood also comes off rather successfully , but he still hasn't had many good roles ( wood , stick to drama !	3	-1	 elijah[0] wood[0] also[0] comes[0] off[0] rather[0] successfully[2] but[0] he[0] still[0] hasn't[0] had[0] many[0] good[1] roles[0] wood[0] stick[0] to[0] drama[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you are too talented for this stuff ) . 	you are too talented for this stuff ) .	2	-1	 you[0] are[0] too[0] talented[1] for[0] this[0] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
vanessa redgrave is barely acknowledgeable , and her performance is only enhanced by her strong presence on screen . 	vanessa redgrave is barely acknowledgeable , and her performance is only enhanced by her strong presence on screen .	1	-1	 vanessa[0] redgrave[0] is[0] barely[0] acknowledgeable[0] and[0] her[0] performance[0] is[0] only[0] enhanced[0] by[0] her[0] strong[0] presence[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maximilian schell is distracting , but he does provide some nice humor . 	maximilian schell is distracting , but he does provide some nice humor .	3	-2	 maximilian[0] schell[0] is[0] distracting[-1] but[0] he[0] does[0] provide[0] some[0] nice[1][-1 LastWordBoosterStrength] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
morgan freeman has been infinitely better than this , and gives one of his most shallow performances to date ( which is quite remarkable for him ) . 	morgan freeman has been infinitely better than this , and gives one of his most shallow performances to date ( which is quite remarkable for him ) .	1	-2	 morgan[0] freeman[0] has[0] been[0] infinitely[0] better[0] than[0] this[0] and[0] gives[0] one[0] of[0] his[0] most[0] shallow[-1] performances[0] to[0] date[0] which[0] is[0] quite[0] remarkable[0] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leelee sobieski could have been better , but i think she just suffered from a poorly written character . 	leelee sobieski could have been better , but i think she just suffered from a poorly written character .	1	-3	 leelee[0] sobieski[0] could[0] have[0] been[0] better[0] but[0] i[0] think[0] she[0] just[0] suffered[-3][--1 LastWordBoosterStrength] from[0] a[0] poorly[-1] written[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a special note should go to ron eldard and denise crosby . 	a special note should go to ron eldard and denise crosby .	2	-1	 a[0] special[1] note[0] should[0] go[0] to[0] ron[0] eldard[0] and[0] denise[0] crosby[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eldard is good in his role , but is limited by the plot . 	eldard is good in his role , but is limited by the plot .	2	-1	 eldard[0] is[0] good[1] in[0] his[0] role[0] but[0] is[0] limited[0] by[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crosby is special to me personally because she was tasha yar from tv's " star trek : the next generation . " 	crosby is special to me personally because she was tasha yar from tv's " star trek : the next generation .<br> "	2	-1	 crosby[0] is[0] special[1] to[0] me[0] personally[0] because[0] she[0] was[0] tasha[0] yar[0] from[0] tv's[0] star[0] trek[0] the[0] next[0] generation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
seeing her was one of the highlights of the film . 	seeing her was one of the highlights of the film .	1	-1	 seeing[0] her[0] was[0] one[0] of[0] the[0] highlights[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , a very talented cast virtually wasted . 	overall , a very talented cast virtually wasted .	3	-2	 overall[0] a[0] very[0] talented[1][1 LastWordBoosterStrength] cast[0] virtually[0] wasted[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
deep impact is rated pg-13 for disaster related elements and brief language . 	deep impact is rated pg-13 for disaster related elements and brief language .	1	-2	 deep[0] impact[0] is[0] rated[0] pg[0] -13[0] for[0] disaster[-1] related[0] elements[0] and[0] brief[0] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is one of the worst films of the year , and if it is any omen of things to come , this summer could be one of the worst ever . 	this is one of the worst films of the year , and if it is any omen of things to come , this summer could be one of the worst ever .	1	-3	 this[0] is[0] one[0] of[0] the[0] worst[-2] films[0] of[0] the[0] year[0] and[0] if[0] it[0] is[0] any[0] omen[0] of[0] things[0] to[0] come[0] this[0] summer[0] could[0] be[0] one[0] of[0] the[0] worst[-2] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
luckily , the x-files movie is coming up , and hopefully armageddon will be more successful . 	luckily , the x-files movie is coming up , and hopefully armageddon will be more successful .	3	-1	 luckily[2] the[0] x[1] files[0] movie[0] is[0] coming[0] up[0] and[0] hopefully[0] armageddon[0] will[0] be[0] more[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a shame that this film will do so successfully because it just isn't worth much . 	it's a shame that this film will do so successfully because it just isn't worth much .	3	-3	 it's[0] a[0] shame[-2] that[0] this[0] film[0] will[0] do[0] so[0] successfully[2] because[0] it[0] just[0] isn't[0] worth[0] much[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
costing nearly  75 million , with special effects done by the illustrious ilm ( which is a huge shocker ) , and with a score composed by oscar-winner james horner ( titanic ) , one might have expected this to be more fun to witness and experience . 	costing nearly  75 million , with special effects done by the illustrious ilm ( which is a huge shocker ) , and with a score composed by oscar-winner james horner ( titanic ) , one might have expected this to be more fun to witness and experience .	2	-3	 costing[0] nearly[0] 75[0] million[0] with[0] special[1] effects[0] done[0] by[0] the[0] illustrious[0] ilm[0] which[0] is[0] a[0] huge[0] shocker[-2] and[0] with[0] a[0] score[0] composed[0] by[0] oscar[0] winner[1] james[0] horner[0] titanic[0] one[0] might[0] have[0] expected[0] this[0] to[0] be[0] more[0] fun[1] to[0] witness[0] and[0] experience[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well , it's not . 	well , it's not .	1	-1	 well[0] it's[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the comet does hit the earth , you almost wish it could just take this film along with it . 	when the comet does hit the earth , you almost wish it could just take this film along with it .	1	-1	 when[0] the[0] comet[0] does[0] hit[0] the[0] earth[0] you[0] almost[0] wish[0] it[0] could[0] just[0] take[0] this[0] film[0] along[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
