i went to blair witch project 2 : book of shadows with the highest of hopes . 	Translation	Positive	Negative	EmotionRationale
this is the hallmark of a truly creepy and disturbing horror movie . 	this is the hallmark of a truly creepy and disturbing horror movie .	2	-4	 this[0] is[0] the[0] hallmark[0] of[0] a[0] truly[1] creepy[0] and[0] disturbing[-1] horror[-3] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
blair witch 2 dispensed with such niceties and went straight for the gross-out . 	blair witch 2 dispensed with such niceties and went straight for the gross-out .	2	-2	 blair[0] witch[0] 2[0] dispensed[-1] with[0] such[0] niceties[1] and[0] went[0] straight[0] for[0] the[0] gross[-1] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this was evident from the opening scenes of the mad doctors forcing white goo down jeffrey's throat , and continued throughout the film as the audience is treated to occasional confusing and disorienting footage of what appears to be a ritual massacre of some sort . 	this was evident from the opening scenes of the mad doctors forcing white goo down jeffrey's throat , and continued throughout the film as the audience is treated to occasional confusing and disorienting footage of what appears to be a ritual massacre of some sort .	1	-2	 this[0] was[0] evident[0] from[0] the[0] opening[0] scenes[0] of[0] the[0] mad[-1] doctors[0] forcing[0] white[0] goo[0] down[0] jeffrey's[0] throat[0] and[0] continued[0] throughout[0] the[0] film[0] as[0] the[0] audience[0] is[0] treated[0] to[0] occasional[0] confusing[-1] and[0] disorienting[0] footage[0] of[0] what[0] appears[0] to[0] be[0] a[0] ritual[0] massacre[-1] of[0] some[0] sort[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
knives plunge into flesh , bloody fingers trail off into the darkness , and none of it is explained until the very end , when it was too late for me to care . 	knives plunge into flesh , bloody fingers trail off into the darkness , and none of it is explained until the very end , when it was too late for me to care .	2	-2	 knives[0] plunge[0] into[0] flesh[0] bloody[-1] fingers[0] trail[0] off[0] into[0] the[0] darkness[0] and[0] none[0] of[0] it[0] is[0] explained[0] until[0] the[0] very[0] end[0] when[0] it[0] was[0] too[0] late[0] for[0] me[0] to[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this movie didn't stop with showing us the gore , either ; it went for broke and showed us everything . 	this movie didn't stop with showing us the gore , either ; it went for broke and showed us everything .	1	-2	 this[0] movie[0] didn't[0] stop[0] with[0] showing[0] us[0] the[0] gore[0] either[0] it[0] went[0] for[0] broke[-1] and[0] showed[0] us[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the end of the movie , there are no questions remaining about the missing five hours . 	by the end of the movie , there are no questions remaining about the missing five hours .	1	-1	 by[0] the[0] end[0] of[0] the[0] movie[0] there[0] are[0] no[0] questions[0] remaining[0] about[0] the[0] missing[0] five[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is all explained ; in fact , it is all shown on-screen in loving detail . 	it is all explained ; in fact , it is all shown on-screen in loving detail .	4	-1	 it[0] is[0] all[0] explained[0] in[0] fact[0] it[0] is[0] all[0] shown[0] on[0] screen[0] in[0] loving[3] detail[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i confess to being someone who prefers horror movies in which you never see the monster , or see only brief glimpses , mere suggestions of what the monster is ; it is not because i find the monster so terrifying , but because i find the absence of the monster to be infinitely more terrifying . 	i confess to being someone who prefers horror movies in which you never see the monster , or see only brief glimpses , mere suggestions of what the monster is ; it is not because i find the monster so terrifying , but because i find the absence of the monster to be infinitely more terrifying .	1	-4	 i[0] confess[-1] to[0] being[0] someone[0] who[0] prefers[0] horror[-3] movies[0] in[0] which[0] you[0] never[0] see[0] the[0] monster[-1] or[0] see[0] only[0] brief[0] glimpses[0] mere[0] suggestions[0] of[0] what[0] the[0] monster[-1] is[0] it[0] is[0] not[0] because[0] i[0] find[0] the[0] monster[-1] so[0] terrifying[-3] but[0] because[0] i[0] find[0] the[0] absence[-1] of[0] the[0] monster[-1] to[0] be[0] infinitely[0] more[0] terrifying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i have seen interviews with the director in which he suggested that there is no " monster , " that all of the evil was perpetrated only by the human mind . 	i have seen interviews with the director in which he suggested that there is no " monster , " that all of the evil was perpetrated only by the human mind .	1	-3	 i[0] have[0] seen[0] interviews[0] with[0] the[0] director[0] in[0] which[0] he[0] suggested[0] that[0] there[0] is[0] no[0] monster[-1] that[0] all[0] of[0] the[0] evil[-2] was[0] perpetrated[0] only[0] by[0] the[0] human[0] mind[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i found this to be a miserably poor explanation ; if it was in fact the director's intent , then he needs to have some words with the writer , because it was not made clear at all . 	i found this to be a miserably poor explanation ; if it was in fact the director's intent , then he needs to have some words with the writer , because it was not made clear at all .	1	-3	 i[0] found[0] this[0] to[0] be[0] a[0] miserably[-2] poor[-1] explanation[0] if[0] it[0] was[0] in[0] fact[0] the[0] director's[0] intent[0] then[0] he[0] needs[0] to[0] have[0] some[0] words[0] with[0] the[0] writer[0] because[0] it[0] was[0] not[0] made[0] clear[0] at[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( i know a lot of people who like to go to parties and get drunk and stoned out of their minds ; none of them has ever gone on a murderous rampage and then experienced mass hallucinations with a group of other people for the next week or so . 	 ( i know a lot of people who like to go to parties and get drunk and stoned out of their minds ; none of them has ever gone on a murderous rampage and then experienced mass hallucinations with a group of other people for the next week or so .	2	-4	 i[0] know[0] a[0] lot[0] of[0] people[0] who[0] like[1] to[0] go[0] to[0] parties[0] and[0] get[0] drunk[-1] and[0] stoned[0] out[0] of[0] their[0] minds[0] none[0] of[0] them[0] has[0] ever[0] gone[0] on[0] a[0] murderous[-3] rampage[0] and[0] then[0] experienced[0] mass[0] hallucinations[0] with[0] a[0] group[0] of[0] other[0] people[0] for[0] the[0] next[0] week[0] or[0] so[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and if there was no witch , then what about the vanishing tree ? 	and if there was no witch , then what about the vanishing tree ?	1	-2	 and[0] if[0] there[0] was[0] no[0] witch[0] then[0] what[0] about[0] the[0] vanishing[-1] tree[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the snowfall of manuscript paper ? 	the snowfall of manuscript paper ?	1	-1	 the[0] snowfall[0] of[0] manuscript[0] paper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hm ? ) 	hm ?<br> )	1	-1	 hm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blair witch 2 : book of shadows was a horrible movie . 	blair witch 2 : book of shadows was a horrible movie .	1	-4	 blair[0] witch[0] 2[0] book[0] of[0] shadows[0] was[0] a[0] horrible[-3] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from the poorly-written characters to the implausible story to the plot inconsistencies to the gross-out shots , it was a bad effort through and through . 	from the poorly-written characters to the implausible story to the plot inconsistencies to the gross-out shots , it was a bad effort through and through .	1	-2	 from[0] the[0] poorly[-1] written[0] characters[0] to[0] the[0] implausible[0] story[0] to[0] the[0] plot[0] inconsistencies[-1] to[0] the[0] gross[-1] out[0] shots[0] it[0] was[0] a[0] bad[-1] effort[0] through[0] and[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
