the last line ( or near to that honor ) is the great butler , alfred ( the ubergod , michael gough ) saying , " i think we need a bigger bat cave , " or something to that note . 	Translation	Positive	Negative	EmotionRationale
when they show the asylum at one point , they show the patient's belongings in a room and we see the riddler's costume . 	when they show the asylum at one point , they show the patient's belongings in a room and we see the riddler's costume .	1	-1	 when[0] they[0] show[0] the[0] asylum[0] at[0] one[0] point[0] they[0] show[0] the[0] patient's[0] belongings[0] in[0] a[0] room[0] and[0] we[0] see[0] the[0] riddler's[0] costume[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i laughed . 	i laughed .	2	-1	 i[0] laughed[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and during a biker scene ( involving robin and batgirl - another subplot never handled past initiation period ) , we not only see coolio but a bunch of bad-asses dressed as " droogs " from " a clockwork orange . " 	and during a biker scene ( involving robin and batgirl - another subplot never handled past initiation period ) , we not only see coolio but a bunch of bad-asses dressed as " droogs " from " a clockwork orange .<br> "	1	-2	 and[0] during[0] a[0] biker[0] scene[0] involving[0] robin[0] and[0] batgirl[0] another[0] subplot[0] never[0] handled[0] past[0] initiation[0] period[0] we[0] not[0] only[0] see[0] coolio[0] but[0] a[0] bunch[0] of[0] bad[-1] asses[0] dressed[0] as[0] droogs[0] from[0] a[0] clockwork[0] orange[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i laughed at all these . 	i laughed at all these .	2	-1	 i[0] laughed[1] at[0] all[0] these[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film falls apart around the five-minute mark during an enormously long action sequence which must last around 20 minutes . . . or 	the film falls apart around the five-minute mark during an enormously long action sequence which must last around 20 minutes .<br> .<br> .<br> or	1	-1	 the[0] film[0] falls[0] apart[0] around[0] the[0] five[0] minute[0] mark[0] during[0] an[0] enormously[0] long[0] action[0] sequence[0] which[0] must[0] last[0] around[0] 20[0] minutes[0] [[Sentence=-1,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did it just feel like that ? 	did it just feel like that ?	2	-1	 did[0] it[0] just[0] feel[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film should serve as another in the long-line of films which demonstrate that we need more intelligent films nowadays . 	the film should serve as another in the long-line of films which demonstrate that we need more intelligent films nowadays .	2	-1	 the[0] film[0] should[0] serve[0] as[0] another[0] in[0] the[0] long[0] line[0] of[0] films[0] which[0] demonstrate[0] that[0] we[0] need[0] more[0] intelligent[1] films[0] nowadays[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
people are fed up with stupid films . 	people are fed up with stupid films .	1	-2	 people[0] are[0] fed[0] up[0] with[0] stupid[-1] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's why the word of mouth killed " the lost world ! " 	that's why the word of mouth killed " the lost world !<br> "	1	-4	 that's[0] why[0] the[0] word[0] of[0] mouth[0] killed[-3] the[0] lost[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's why last year , indy films grossed more than ever . 	that's why last year , indy films grossed more than ever .	1	-2	 that's[0] why[0] last[0] year[0] indy[0] films[0] grossed[-1] more[0] than[0] ever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's why this will have a strong box-office initative from people who just want to see it , like me , but will die after a week or two when the word around the grapevine kills it . 	that's why this will have a strong box-office initative from people who just want to see it , like me , but will die after a week or two when the word around the grapevine kills it .	2	-1	 that's[0] why[0] this[0] will[0] have[0] a[0] strong[0] box[0] office[0] initative[0] from[0] people[0] who[0] just[0] want[0] to[0] see[0] it[0] like[1] me[0] but[0] will[0] die[0] after[0] a[0] week[0] or[0] two[0] when[0] the[0] word[0] around[0] the[0] grapevine[0] kills[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's why the next two big-budget aciton pics are john woo's " face/off " and barry sonnenfeld's " men in black , " both which are the first two to catch on to the wave early on . 	that's why the next two big-budget aciton pics are john woo's " face/off " and barry sonnenfeld's " men in black , " both which are the first two to catch on to the wave early on .	1	-1	 that's[0] why[0] the[0] next[0] two[0] big[0] budget[0] aciton[0] pics[0] are[0] john[0] woo's[0] face/off[0] and[0] barry[0] sonnenfeld's[0] men[0] in[0] black[0] both[0] which[0] are[0] the[0] first[0] two[0] to[0] catch[0] on[0] to[0] the[0] wave[0] early[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i like joel schumacher more as a person than an artiste . 	i like joel schumacher more as a person than an artiste .	2	-1	 i[0] like[1] joel[0] schumacher[0] more[0] as[0] a[0] person[0] than[0] an[0] artiste[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i like some of his films ( " flatliners , " " a time to kill " ) but a lot of them suck . 	i like some of his films ( " flatliners , " " a time to kill " ) but a lot of them suck .	2	-2	 i[0] like[1] some[0] of[0] his[0] films[0] flatliners[0] a[0] time[0] to[0] kill[-1] but[0] a[0] lot[0] of[0] them[0] suck[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's a really eccentric person and i loved one of his quotes about how he admits to being a mediocre director and that's what makes him great . 	he's a really eccentric person and i loved one of his quotes about how he admits to being a mediocre director and that's what makes him great .	4	-3	 he's[0] a[0] really[0] eccentric[-1][-1 LastWordBoosterStrength] person[0] and[0] i[0] loved[3] one[0] of[0] his[0] quotes[0] about[0] how[0] he[0] admits[0] to[0] being[0] a[0] mediocre[-1] director[0] and[0] that's[0] what[0] makes[0] him[0] great[2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
but his costuming for woody allen's " sleeper " was more interesting than this one ( and his costuming was cool - look for the nazi number ) . 	but his costuming for woody allen's " sleeper " was more interesting than this one ( and his costuming was cool - look for the nazi number ) .	2	-2	 but[0] his[0] costuming[0] for[0] woody[0] allen's[0] sleeper[0] was[0] more[0] interesting[1] than[0] this[0] one[0] and[0] his[0] costuming[0] was[0] cool[1] look[0] for[0] the[0] nazi[-1] number[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i love the " batman " series . 	i love the " batman " series .	3	-1	 i[0] love[2] the[0] batman[0] series[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first two rocked and i did like the last one . 	the first two rocked and i did like the last one .	1	-1	 the[0] first[0] two[0] rocked[0] and[0] i[0] did[0] like[1][-1 LastWordBoosterStrength] the[0] last[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this one is not going to be one that i watch repeatedly like the other three . 	but this one is not going to be one that i watch repeatedly like the other three .	2	-1	 but[0] this[0] one[0] is[0] not[0] going[0] to[0] be[0] one[0] that[0] i[0] watch[0] repeatedly[0] like[1] the[0] other[0] three[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hopefully , this will also serve as a springboard to a better batman next time . 	hopefully , this will also serve as a springboard to a better batman next time .	1	-1	 hopefully[0] this[0] will[0] also[0] serve[0] as[0] a[0] springboard[0] to[0] a[0] better[0] batman[0] next[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and maybe they'll get smart and bring back catwoman . 	and maybe they'll get smart and bring back catwoman .	2	-1	 and[0] maybe[0] they'll[0] get[0] smart[1] and[0] bring[0] back[0] catwoman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and michael keaton . 	and michael keaton .	1	-1	 and[0] michael[0] keaton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but we can only hope . 	but we can only hope .	3	-1	 but[0] we[0] can[0] only[0] hope[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
