as much as i wanted to like this film as i went into it , the more pleased i was when i left . 	Translation	Positive	Negative	EmotionRationale
and then there is bill murray . 	and then there is bill murray .	1	-1	 and[0] then[0] there[0] is[0] bill[0] murray[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his performance is the comic relief , and he nearly steals the film . 	his performance is the comic relief , and he nearly steals the film .	2	-3	 his[0] performance[0] is[0] the[0] comic[0] relief[1] and[0] he[0] nearly[0] steals[-2] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as a whole , the entire cast works wondrously together , and they seem at home , even when doing the menage a troi . 	as a whole , the entire cast works wondrously together , and they seem at home , even when doing the menage a troi .	1	-1	 as[0] a[0] whole[0] the[0] entire[0] cast[0] works[0] wondrously[0] together[0] and[0] they[0] seem[0] at[0] home[0] even[0] when[0] doing[0] the[0] menage[0] a[0] troi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director john mcnaughton , who has previously done the critically acclaimed henry : portrait of a serial killer , has constructed a wonderfully twisty plot that works . 	director john mcnaughton , who has previously done the critically acclaimed henry : portrait of a serial killer , has constructed a wonderfully twisty plot that works .	3	-2	 director[0] john[0] mcnaughton[0] who[0] has[0] previously[0] done[0] the[0] critically[-1] acclaimed[0] henry[0] portrait[0] of[0] a[0] serial[0] killer[-1] has[0] constructed[0] a[0] wonderfully[2] twisty[0] plot[0] that[0] works[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his direction is smooth and stylish . 	his direction is smooth and stylish .	1	-1	 his[0] direction[0] is[0] smooth[0] and[0] stylish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visuals are striking , filled with rich colors , and almost so realistic that we can actually breathe the humidity in the air . 	the visuals are striking , filled with rich colors , and almost so realistic that we can actually breathe the humidity in the air .	1	-1	 the[0] visuals[0] are[0] striking[0] filled[0] with[0] rich[0] colors[0] and[0] almost[0] so[0] realistic[0] that[0] we[0] can[0] actually[0] breathe[0] the[0] humidity[0] in[0] the[0] air[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , he seems more at home when the actors aren't talking . 	however , he seems more at home when the actors aren't talking .	1	-1	 however[0] he[0] seems[0] more[0] at[0] home[0] when[0] the[0] actors[0] aren't[0] talking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his fly-by shots of the swampy areas are brilliant , and his photography of denise richards' climbing out of the pool is a highlight . 	his fly-by shots of the swampy areas are brilliant , and his photography of denise richards' climbing out of the pool is a highlight .	2	-1	 his[0] fly[0] by[0] shots[0] of[0] the[0] swampy[0] areas[0] are[0] brilliant[1] and[0] his[0] photography[0] of[0] denise[0] richards'[0] climbing[0] out[0] of[0] the[0] pool[0] is[0] a[0] highlight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cinematography is gorgeous in its details . its not often that you see a film like this , and we should watch it just to see how the camera can take pictures . 	the cinematography is gorgeous in its details .<br> its not often that you see a film like this , and we should watch it just to see how the camera can take pictures .	3	-1	 the[0] cinematography[0] is[0] gorgeous[2] in[0] its[0] details[0] [[Sentence=-1,3=word max, 1-5]] its[0] not[0] often[0] that[0] you[0] see[0] a[0] film[0] like[1] this[0] and[0] we[0] should[0] watch[0] it[0] just[0] to[0] see[0] how[0] the[0] camera[0] can[0] take[0] pictures[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
then , there is the music . 	then , there is the music .	1	-1	 then[0] there[0] is[0] the[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was probably the most obvious thing to me , as it set the perfect mood for the film . 	this was probably the most obvious thing to me , as it set the perfect mood for the film .	2	-1	 this[0] was[0] probably[0] the[0] most[0] obvious[0] thing[0] to[0] me[0] as[0] it[0] set[0] the[0] perfect[1] mood[0] for[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's hard to describe in words , so just see the film and listen to it . 	it's hard to describe in words , so just see the film and listen to it .	1	-1	 it's[0] hard[0] to[0] describe[0] in[0] words[0] so[0] just[0] see[0] the[0] film[0] and[0] listen[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's wonderfully composed and presented . 	it's wonderfully composed and presented .	3	-1	 it's[0] wonderfully[2] composed[0] and[0] presented[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and be sure to stick around during the closing credits ! 	and be sure to stick around during the closing credits !	1	-1	 and[0] be[0] sure[0] to[0] stick[0] around[0] during[0] the[0] closing[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mcnaughton has finally put the ending credits to good use ( while most comedies use it for outtakes ) . 	mcnaughton has finally put the ending credits to good use ( while most comedies use it for outtakes ) .	2	-1	 mcnaughton[0] has[0] finally[0] put[0] the[0] ending[0] credits[0] to[0] good[1] use[0] while[0] most[0] comedies[0] use[0] it[0] for[0] outtakes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has included some small scenes which help explain the preceding events . 	he has included some small scenes which help explain the preceding events .	1	-1	 he[0] has[0] included[0] some[0] small[0] scenes[0] which[0] help[0] explain[0] the[0] preceding[0] events[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some may say that these are lame attempts to explain the convoluted plot , but it's an entertaining way to finish the film . 	some may say that these are lame attempts to explain the convoluted plot , but it's an entertaining way to finish the film .	1	-3	 some[0] may[0] say[0] that[0] these[0] are[0] lame[-2] attempts[0] to[0] explain[0] the[0] convoluted[0] plot[0] but[0] it's[0] an[0] entertaining[0] way[0] to[0] finish[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plus , there are some shocking moments in these ending credits which just add to the fun . 	plus , there are some shocking moments in these ending credits which just add to the fun .	2	-2	 plus[0] there[0] are[0] some[0] shocking[-2][--1 LastWordBoosterStrength] moments[0] in[0] these[0] ending[0] credits[0] which[0] just[0] add[0] to[0] the[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wild things is appropriately rated r for strong sexuality , nudity , language and violence . 	wild things is appropriately rated are for strong sexuality , nudity , language and violence .	1	-4	 wild[0] things[0] is[0] appropriately[0] rated[0] r[0] for[0] strong[0] sexuality[0] nudity[0] language[0] and[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
again , the nudity is rather unnecessary , but let's face it--people want to see it . 	again , the nudity is rather unnecessary , but let's face it-people want to see it .	1	-2	 again[0] the[0] nudity[0] is[0] rather[0] unnecessary[-1] but[0] let's[0] face[0] it[0] people[0] want[0] to[0] see[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so why not give it to them ? 	so why not give it to them ?	1	-1	 so[0] why[0] not[0] give[0] it[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neve campbell , admirably , has a no-nudity clause in her contract , and the most you see of her is from behind as she takes her top off ( way to go , neve ! ) . 	neve campbell , admirably , has a no-nudity clause in her contract , and the most you see of her is from behind as she takes her top off ( way to go , neve !<br> ) .	3	-1	 neve[0] campbell[0] admirably[2] has[0] a[0] no[0] nudity[0] clause[0] in[0] her[0] contract[0] and[0] the[0] most[0] you[0] see[0] of[0] her[0] is[0] from[0] behind[0] as[0] she[0] takes[0] her[0] top[0] off[0] way[0] to[0] go[0] neve[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the sex scenes are graphic , especially the first one we see , between the mother and one of her deck hands . 	the sex scenes are graphic , especially the first one we see , between the mother and one of her deck hands .	1	-1	 the[0] sex[0] scenes[0] are[0] graphic[0] especially[0] the[0] first[0] one[0] we[0] see[0] between[0] the[0] mother[0] and[0] one[0] of[0] her[0] deck[0] hands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one almost wonders how they got away with the r rating . 	one almost wonders how they got away with the are rating .	1	-1	 one[0] almost[0] wonders[0] how[0] they[0] got[0] away[0] with[0] the[0] r[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the language is quite harsh too , ranging from sexual innuendo to your average , everyday profanity . 	the language is quite harsh too , ranging from sexual innuendo to your average , everyday profanity .	1	-2	 the[0] language[0] is[0] quite[0] harsh[-1] too[0] ranging[0] from[0] sexual[0] innuendo[0] to[0] your[0] average[0] everyday[0] profanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i can't stress it enough : don't allow kids under 18 to see this film . 	and i can't stress it enough : don't allow kids under 18 to see this film .	2	-1	 and[0] i[0] can't[0] stress[-1][NegatedDueToPreviousWord] it[0] enough[0] don't[0] allow[0] kids[0] under[0] 18[0] to[0] see[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the target age for the movie is the 18-24 range , and that's who should see it . 	the target age for the movie is the 18-24 range , and that's who should see it .	1	-1	 the[0] target[0] age[0] for[0] the[0] movie[0] is[0] the[0] 18[0] -24[0] range[0] and[0] that's[0] who[0] should[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's definitely not for those under 18 ! 	it's definitely not for those under 18 !	1	-1	 it's[0] definitely[0] not[0] for[0] those[0] under[0] 18[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did i mention that this film is rated r ? however , for those that do get a chance to watch it , you will probably more likely be pleased , and may even take friends to see it the next time . 	did i mention that this film is rated are ?<br> however , for those that do get a chance to watch it , you will probably more likely be pleased , and may even take friends to see it the next time .	2	-1	 did[0] i[0] mention[0] that[0] this[0] film[0] is[0] rated[0] r[0] [[Sentence=-1,1=word max, 1-5]] however[0] for[0] those[0] that[0] do[0] get[0] a[0] chance[0] to[0] watch[0] it[0] you[0] will[0] probably[0] more[0] likely[0] be[0] pleased[1] and[0] may[0] even[0] take[0] friends[1] to[0] see[0] it[0] the[0] next[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
