ladies and gentlemen , 1997's independence day is here ! 	Translation	Positive	Negative	EmotionRationale
writer edward neumeier adapted the screenplay from the book by robert heinlein . 	writer edward neumeier adapted the screenplay from the book by robert heinlein .	1	-1	 writer[0] edward[0] neumeier[0] adapted[0] the[0] screenplay[0] from[0] the[0] book[0] by[0] robert[0] heinlein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the writing is usually very funny , and sometimes very corny . 	the writing is usually very funny , and sometimes very corny .	3	-1	 the[0] writing[0] is[0] usually[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] sometimes[0] very[0] corny[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the dialogue is smart but not too smart . 	the dialogue is smart but not too smart .	2	-2	 the[0] dialogue[0] is[0] smart[1] but[0] not[0] too[0] smart[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we aren't required to know everything , but some plot holes are left unanswered . 	we aren't required to know everything , but some plot holes are left unanswered .	1	-1	 we[0] aren't[0] required[0] to[0] know[0] everything[0] but[0] some[0] plot[0] holes[0] are[0] left[0] unanswered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully we are not intended to notice , and we really don't ( except for one which lingered in my mind for quite a while ) . 	thankfully we are not intended to notice , and we really don't ( except for one which lingered in my mind for quite a while ) .	2	-1	 thankfully[1] we[0] are[0] not[0] intended[0] to[0] notice[0] and[0] we[0] really[0] don't[0] except[0] for[0] one[0] which[0] lingered[0] in[0] my[0] mind[0] for[0] quite[0] a[0] while[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
amazingly , with all the wars and romance going on , the screenplay manages to include some surprising governmental issues . 	amazingly , with all the wars and romance going on , the screenplay manages to include some surprising governmental issues .	4	-3	 amazingly[2] with[0] all[0] the[0] wars[-2] and[0] romance[3] going[0] on[0] the[0] screenplay[0] manages[0] to[0] include[0] some[0] surprising[0] governmental[0] issues[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
in fact , these governmental changes seem fairly plausible , and this adds another layer to the story . 	in fact , these governmental changes seem fairly plausible , and this adds another layer to the story .	1	-1	 in[0] fact[0] these[0] governmental[0] changes[0] seem[0] fairly[0] plausible[0] and[0] this[0] adds[0] another[0] layer[0] to[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the moral debate of the characters is quite surprising to find in a film of this genre , but what is even more surprising is the amount of humor included into all the carnage . 	the moral debate of the characters is quite surprising to find in a film of this genre , but what is even more surprising is the amount of humor included into all the carnage .	3	-1	 the[0] moral[0] debate[0] of[0] the[0] characters[0] is[0] quite[0] surprising[0] to[0] find[0] in[0] a[0] film[0] of[0] this[0] genre[0] but[0] what[0] is[0] even[0] more[0] surprising[0] is[0] the[0] amount[0] of[0] humor[2] included[0] into[0] all[0] the[0] carnage[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i haven't laughed this loud , even in some comedies . 	i haven't laughed this loud , even in some comedies .	2	-1	 i[0] haven't[0] laughed[1] this[0] loud[0] even[0] in[0] some[0] comedies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh , and the special effects are first rate . 	oh , and the special effects are first rate .	2	-1	 oh[0] and[0] the[0] special[1] effects[0] are[0] first[0] rate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
starship troopers is rated r for graphic sci-fi violence and gore , and for some language and nudity . 	starship troopers is rated are for graphic sci-fi violence and gore , and for some language and nudity .	1	-4	 starship[0] troopers[0] is[0] rated[0] r[0] for[0] graphic[0] sci[0] fi[0] violence[-3] and[0] gore[0] and[0] for[0] some[0] language[0] and[0] nudity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
believe me when i say this : don't take young kids to see this film . 	believe me when i say this : don't take young kids to see this film .	1	-1	 believe[0] me[0] when[0] i[0] say[0] this[0] don't[0] take[0] young[0] kids[0] to[0] see[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is extremely violent . 	it is extremely violent .	1	-5	 it[0] is[0] extremely[0] violent[-2][-2 LastWordBoosterStrength] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
in fact , it is probably the most violent film out this year . 	in fact , it is probably the most violent film out this year .	1	-3	 in[0] fact[0] it[0] is[0] probably[0] the[0] most[0] violent[-2] film[0] out[0] this[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , if you are old enough ( over 17 ) to see it , starship troopers is guaranteed to entertain . 	however , if you are old enough ( over 17 ) to see it , starship troopers is guaranteed to entertain .	1	-1	 however[0] if[0] you[0] are[0] old[0] enough[0] over[0] 17[0] to[0] see[0] it[0] starship[0] troopers[0] is[0] guaranteed[0] to[0] entertain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's been a long time since i have cheered for the heros , while also cheering for the bad guys . 	it's been a long time since i have cheered for the heros , while also cheering for the bad guys .	3	-2	 it's[0] been[0] a[0] long[0] time[0] since[0] i[0] have[0] cheered[1] for[0] the[0] heros[2] while[0] also[0] cheering[2] for[0] the[0] bad[-1] guys[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and still , it is my dream to see a sci-fi film in which the alien race destroys mankind , and take over the world . 	and still , it is my dream to see a sci-fi film in which the alien race destroys mankind , and take over the world .	1	-3	 and[0] still[0] it[0] is[0] my[0] dream[0] to[0] see[0] a[0] sci[0] fi[0] film[0] in[0] which[0] the[0] alien[-1] race[0] destroys[-2] mankind[0] and[0] take[0] over[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now that would be entertaining ! 	now that would be entertaining !	1	-1	 now[0] that[0] would[0] be[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
