when i initially set out to review this film , my tag line was going to be " you too can believe whales can fly " . 	Translation	Positive	Negative	EmotionRationale
some amazing animation is present here , and well worth the ten dollars a ticket alone ( although brush strokes are evident in one scene due to the enlargement of the film ) . 	some amazing animation is present here , and well worth the ten dollars a ticket alone ( although brush strokes are evident in one scene due to the enlargement of the film ) .	2	-1	 some[0] amazing[2][-1 LastWordBoosterStrength] animation[0] is[0] present[0] here[0] and[0] well[0] worth[0] the[0] ten[0] dollars[0] a[0] ticket[0] alone[0] although[0] brush[0] strokes[0] are[0] evident[0] in[0] one[0] scene[0] due[0] to[0] the[0] enlargement[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the host segments are largely ( no pun intended ) throwaways , although steve martin's clip is pretty funny . 	the host segments are largely ( no pun intended ) throwaways , although steve martin's clip is pretty funny .	3	-1	 the[0] host[0] segments[0] are[0] largely[0] no[0] pun[0] intended[0] throwaways[0] although[0] steve[0] martin's[0] clip[0] is[0] pretty[2] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
be sure to stay through the credits for a little more humor from martin . 	be sure to stay through the credits for a little more humor from martin .	3	-1	 be[0] sure[0] to[0] stay[0] through[0] the[0] credits[0] for[0] a[0] little[0] more[0] humor[2] from[0] martin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
penn and teller are usually funny , but here their gags seem routine and therefore uninteresting . 	pen and teller are usually funny , but here their gags seem routine and therefore uninteresting .	2	-1	 penn/pen[0] and[0] teller[0] are[0] usually[0] funny[1] but[0] here[0] their[0] gags[0] seem[0] routine[0] and[0] therefore[0] uninteresting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the best segment comes from , of all people , bette midler , who gets to tell us about some of the abandoned segments that never made it off of the drawing board . 	the best segment comes from , of all people , bette midler , who gets to tell us about some of the abandoned segments that never made it off of the drawing board .	2	-2	 the[0] best[1] segment[0] comes[0] from[0] of[0] all[0] people[0] bette[0] midler[0] who[0] gets[0] to[0] tell[0] us[0] about[0] some[0] of[0] the[0] abandoned[-1] segments[0] that[0] never[0] made[0] it[0] off[0] of[0] the[0] drawing[0] board[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
pieces like flight of the bumblebee , a take on the four horsemen set to wagner's " ride of the valkyries " , and a strange segment prepared in the '40s by salvador dali that never was shown are all previewed here and teased that they may appear in future installments . 	pieces like flight of the bumblebee , a take on the four horsemen set to wagner's " ride of the valkyries " , and a strange segment prepared in the '40s by salvador dali that never was shown are all previewed here and teased that they may appear in future instalments .	2	-2	 pieces[0] like[1] flight[0] of[0] the[0] bumblebee[0] a[0] take[0] on[0] the[0] four[0] horsemen[0] set[0] to[0] wagner's[0] ride[0] of[0] the[0] valkyries[0] and[0] a[0] strange[0] segment[0] prepared[0] in[0] the[0] '40s[0] by[0] salvador[0] dali[0] that[0] never[0] was[0] shown[0] are[0] all[0] previewed[0] here[0] and[0] teased[-1] that[0] they[0] may[0] appear[0] in[0] future[0] installments/instalments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for fans of visual stimulation or classical music , fantasia 2000 is a perfect way to spend the afternoon . 	for fans of visual stimulation or classical music , fantasia 200 is a perfect way to spend the afternoon .	2	-1	 for[0] fans[0] of[0] visual[0] stimulation[0] or[0] classical[0] music[0] fantasia[0] 2000/200[0] is[0] a[0] perfect[1] way[0] to[0] spend[0] the[0] afternoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is also decent family entertainment and contains little to no objectionable material . 	the film is also decent family entertainment and contains little to no objectionable material .	1	-2	 the[0] film[0] is[0] also[0] decent[0] family[0] entertainment[0] and[0] contains[0] little[0] to[0] no[0] objectionable[-1] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i mentioned earlier in the review , if ten dollars seems like too much for you to spend on this film , fear not because after its run in imax theaters it is going to be brought out in regular theaters . 	as i mentioned earlier in the review , if ten dollars seems like too much for you to spend on this film , fear not because after its run in imax theaters it is going to be brought out in regular theaters .	2	-4	 as[0] i[0] mentioned[0] earlier[0] in[0] the[0] review[0] if[0] ten[0] dollars[0] seems[0] like[1] too[0] much[0] for[0] you[0] to[0] spend[0] on[0] this[0] film[0] fear[-3] not[0] because[0] after[0] its[0] run[0] in[0] imax[0] theaters[0] it[0] is[0] going[0] to[0] be[0] brought[0] out[0] in[0] regular[0] theaters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i must stress that the best way to see this film is on an imax screen though . 	i must stress that the best way to see this film is on an imax screen though .	2	-2	 i[0] must[0] stress[-1] that[0] the[0] best[1] way[0] to[0] see[0] this[0] film[0] is[0] on[0] an[0] imax[0] screen[0] though[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then you too can believe that whales/triangle things/sprites can fly . 	then you too can believe that whales/triangle things/sprites can fly .	1	-1	 then[0] you[0] too[0] can[0] believe[0] that[0] whales/triangle[0] things/sprites[0] can[0] fly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[g] 	[g]	1	-1	 [g][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
