many people will not find much to like in what dreams may come , the new film by visionary director vincent ward . 	Translation	Positive	Negative	EmotionRationale
overall , it's williams and sciorra's film . 	overall , it's williams and sciorra's film .	1	-1	 overall[0] it's[0] williams[0] and[0] sciorra's[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what dreams may come is rated pg-13 for thematic elements involving death , some disturbing images , language , and some partial nudity . 	what dreams may come is rated pg-13 for thematic elements involving death , some disturbing images , language , and some partial nudity .	1	-3	 what[0] dreams[0] may[0] come[0] is[0] rated[0] pg[0] -13[0] for[0] thematic[0] elements[0] involving[0] death[-2] some[0] disturbing[-1][--1 LastWordBoosterStrength] images[0] language[0] and[0] some[0] partial[0] nudity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is definitely aimed at a more adult audience . 	the film is definitely aimed at a more adult audience .	1	-1	 the[0] film[0] is[0] definitely[0] aimed[0] at[0] a[0] more[0] adult[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some will find the plot distracting . 	some will find the plot distracting .	1	-2	 some[0] will[0] find[0] the[0] plot[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some will find the visuals absolutely glorious . 	some will find the visuals absolutely glorious .	3	-1	 some[0] will[0] find[0] the[0] visuals[0] absolutely[0] glorious[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and some will find both . 	and some will find both .	1	-1	 and[0] some[0] will[0] find[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only real problem with the film , that i could see , was that it slows down considerably during the midsection , just after we have been immersed in the visuals and before the search for annie begins . 	the only real problem with the film , that i could see , was that it slows down considerably during the midsection , just after we have been immersed in the visuals and before the search for annie begins .	1	-2	 the[0] only[0] real[0] problem[-1] with[0] the[0] film[0] that[0] i[0] could[0] see[0] was[0] that[0] it[0] slows[0] down[0] considerably[0] during[0] the[0] midsection[0] just[0] after[0] we[0] have[0] been[0] immersed[0] in[0] the[0] visuals[0] and[0] before[0] the[0] search[0] for[0] annie[0] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the way , some controversy even surrounded the title , which was mistaken for a sexual term ( " what " becomes " wet " and you should understand ) . 	by the way , some controversy even surrounded the title , which was mistaken for a sexual term ( " what " becomes " wet " and you should understand ) .	1	-2	 by[0] the[0] way[0] some[0] controversy[-1][--1 LastWordBoosterStrength] even[0] surrounded[0] the[0] title[0] which[0] was[0] mistaken[-1] for[0] a[0] sexual[0] term[0] what[0] becomes[0] wet[0] and[0] you[0] should[0] understand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in actuality , the title is from a soliloquy in hamlet . 	in actuality , the title is from a soliloquy in hamlet .	1	-1	 in[0] actuality[0] the[0] title[0] is[0] from[0] a[0] soliloquy[0] in[0] hamlet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just thought i should let you know . 	just thought i should let you know .	1	-1	 just[0] thought[0] i[0] should[0] let[0] you[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
