i remember seeing the trailer of the black cauldron on the pinocchio video . 	Translation	Positive	Negative	EmotionRationale
finally , the studio locked the film in the film vault and denied that it ever even was released . 	finally , the studio locked the film in the film vault and denied that it ever even was released .	1	-2	 finally[0] the[0] studio[0] locked[0] the[0] film[0] in[0] the[0] film[0] vault[0] and[0] denied[-1] that[0] it[0] ever[0] even[0] was[0] released[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because of all this , you might ask yourself , was the black cauldron really such a bad movie ? 	because of all this , you might ask yourself , was the black cauldron really such a bad movie ?	1	-2	 because[0] of[0] all[0] this[0] you[0] might[0] ask[0] yourself[0] was[0] the[0] black[0] cauldron[0] really[0] such[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the people who had seen the film didn't think so . 	the people who had seen the film didn't think so .	1	-1	 the[0] people[0] who[0] had[0] seen[0] the[0] film[0] didn't[0] think[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , many people had calls to buena vista home video requesting for the film , but of course , they denied it . 	in fact , many people had calls to buena vista home video requesting for the film , but of course , they denied it .	1	-2	 in[0] fact[0] many[0] people[0] had[0] calls[0] to[0] buena[0] vista[0] home[0] video[0] requesting[0] for[0] the[0] film[0] but[0] of[0] course[0] they[0] denied[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for a while , it seemed like the black cauldron would never be released to video ? until september 1997 , disney released the black cauldron to video in the united kingdom . 	for a while , it seemed like the black cauldron would never be released to video ?<br> until september 1997 , disney released the black cauldron to video in the united kingdom .	2	-1	 for[0] a[0] while[0] it[0] seemed[0] like[1] the[0] black[0] cauldron[0] would[0] never[0] be[0] released[0] to[0] video[0] [[Sentence=-1,2=word max, 1-5]] until[0] september[0] 1997[0] disney[0] released[0] the[0] black[0] cauldron[0] to[0] video[0] in[0] the[0] united[0] kingdom[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
few people imported the video from england and converted to ntsc ( including me ) and for those who hadn't seen the film yet ( i am included here ) , they got quite a treat . 	few people imported the video from england and converted to ntsc ( including me ) and for those who hadn't seen the film yet ( i am included here ) , they got quite a treat .	2	-1	 few[0] people[0] imported[0] the[0] video[0] from[0] england[0] and[0] converted[0] to[0] ntsc[0] including[0] me[0] and[0] for[0] those[0] who[0] hadn't[0] seen[0] the[0] film[0] yet[0] i[0] am[0] included[0] here[0] they[0] got[0] quite[0] a[0] treat[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but people who had bootleg copies of the black cauldron noticed that in the scene where the horned king raises his army of deathless warriors , about 12 seconds of ghoulish looking skeletons were slightly trimmed so that the film would get a u rating ( in the uk , the u rating means universal : suitable for all ages , kinda like their own version of g ) . 	but people who had bootleg copies of the black cauldron noticed that in the scene where the horned king raises his army of deathless warriors , about 12 seconds of ghoulish looking skeletons were slightly trimmed so that the film would get a you rating ( in the uk , the you rating means universal : suitable for all ages , kinda like their own version of grin� ) .	2	-3	 but[0] people[0] who[0] had[0] bootleg[0] copies[0] of[0] the[0] black[0] cauldron[0] noticed[0] that[0] in[0] the[0] scene[0] where[0] the[0] horned[0] king[0] raises[0] his[0] army[0] of[0] deathless[-2] warriors[0] about[0] 12[0] seconds[0] of[0] ghoulish[0] looking[0] skeletons[0] were[0] slightly[0] trimmed[0] so[0] that[0] the[0] film[0] would[0] get[0] a[0] u[0] rating[0] in[0] the[0] uk[0] the[0] u[0] rating[0] means[0] universal[0] suitable[0] for[0] all[0] ages[0] kinda[0] like[1] their[0] own[0] version[0] of[0] g[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
somewhere online , a team of diehard the black cauldron fans signed a petition that said ,  bring back the black cauldron ! ' , and because of that , disney finally decided to release the video to the united states . 	somewhere online , a team of diehard the black cauldron fans signed a petition that said ,  bring back the black cauldron !<br> ' , and because of that , disney finally decided to release the video to the united states .	1	-1	 somewhere[0] online[0] a[0] team[0] of[0] diehard[0] the[0] black[0] cauldron[0] fans[0] signed[0] a[0] petition[0] that[0] said[0] bring[0] back[0] the[0] black[0] cauldron[0] [[Sentence=-1,1=word max, 1-5]] '[0] and[0] because[0] of[0] that[0] disney[0] finally[0] decided[0] to[0] release[0] the[0] video[0] to[0] the[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before that time , rumors online had been made that the video would be trimmed , like the uk video , so that it would get a g rating , and that they would add in songs . 	before that time , rumors online had been made that the video would be trimmed , like the uk video , so that it would get a grin� rating , and that they would add in songs .	2	-1	 before[0] that[0] time[0] rumors[0] online[0] had[0] been[0] made[0] that[0] the[0] video[0] would[0] be[0] trimmed[0] like[1] the[0] uk[0] video[0] so[0] that[0] it[0] would[0] get[0] a[0] g[0] rating[0] and[0] that[0] they[0] would[0] add[0] in[0] songs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those rumors were put to rest when the walt disney company announced that the black cauldron * would * be released in its pg rated version . 	those rumors were put to rest when the walt disney company announced that the black cauldron * would * be released in its pg rated version .	1	-1	 those[0] rumors[0] were[0] put[0] to[0] rest[0] when[0] the[0] walt[0] disney[0] company[0] announced[0] that[0] the[0] black[0] cauldron[0] would[0] be[0] released[0] in[0] its[0] pg[0] rated[0] version[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even still , when it was finally released to the us , some reaction was mixed . 	even still , when it was finally released to the us , some reaction was mixed .	1	-1	 even[0] still[0] when[0] it[0] was[0] finally[0] released[0] to[0] the[0] us[0] some[0] reaction[0] was[0] mixed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some felt that it was indeed cut , but some felt that it wasn't . 	some felt that it was indeed cut , but some felt that it wasn't .	1	-1	 some[0] felt[0] that[0] it[0] was[0] indeed[0] cut[0] but[0] some[0] felt[0] that[0] it[0] wasn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but these where only minor criticisms which seemed laughable , since a film that was absent for thirteen years was finally available . 	but these where only minor criticisms which seemed laughable , since a film that was absent for thirteen years was finally available .	1	-2	 but[0] these[0] where[0] only[0] minor[0] criticisms[-1] which[0] seemed[0] laughable[-1] since[0] a[0] film[0] that[0] was[0] absent[-1] for[0] thirteen[0] years[0] was[0] finally[0] available[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for myself , when i saw the movie for the first time ( on converted ntsc video ) , i didn't expect much at all . 	as for myself , when i saw the movie for the first time ( on converted ntsc video ) , i didn't expect much at all .	1	-1	 as[0] for[0] myself[0] when[0] i[0] saw[0] the[0] movie[0] for[0] the[0] first[0] time[0] on[0] converted[0] ntsc[0] video[0] i[0] didn't[0] expect[0] much[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , i had heard so many mediocre things about it , that i didn't think the film would ever be such a good film . 	in fact , i had heard so many mediocre things about it , that i didn't think the film would ever be such a good film .	2	-2	 in[0] fact[0] i[0] had[0] heard[0] so[0] many[0] mediocre[-1] things[0] about[0] it[0] that[0] i[0] didn't[0] think[0] the[0] film[0] would[0] ever[0] be[0] such[0] a[0] good[1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
much to my surprise , when i saw the first few minutes of the film , i was asking myself , " this is the same film everyone saw ? 	much to my surprise , when i saw the first few minutes of the film , i was asking myself , " this is the same film everyone saw ?	1	-1	 much[0] to[0] my[0] surprise[0] when[0] i[0] saw[0] the[0] first[0] few[0] minutes[0] of[0] the[0] film[0] i[0] was[0] asking[0] myself[0] this[0] is[0] the[0] same[0] film[0] everyone[0] saw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one that flopped at the box office ? 	the one that flopped at the box office ?	1	-1	 the[0] one[0] that[0] flopped[0] at[0] the[0] box[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one that critics and filmgoers alike called " a bad movie " ? 	the one that critics and filmgoers alike called " a bad movie " ?	1	-2	 the[0] one[0] that[0] critics[0] and[0] filmgoers[0] alike[0] called[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this doesn't seem like all of the above . 	this doesn't seem like all of the above .	2	-1	 this[0] doesn't[0] seem[0] like[1] all[0] of[0] the[0] above[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , it's a classic in its own right . 	instead , it's a classic in its own right .	1	-1	 instead[0] it's[0] a[0] classic[0] in[0] its[0] own[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has a wonderful cast of characters . 	the film has a wonderful cast of characters .	3	-1	 the[0] film[0] has[0] a[0] wonderful[2] cast[0] of[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's taran ( grant bardsley ) , an assistant pig keeper who would rather be a warrior than a pig-keeper , the story's hero . 	there's taran ( grant bardsley ) , an assistant pig keeper who would rather be a warrior than a pig-keeper , the story's hero .	3	-1	 there's[0] taran[0] grant[0] bardsley[0] an[0] assistant[0] pig[0] keeper[0] who[0] would[0] rather[0] be[0] a[0] warrior[0] than[0] a[0] pig[0] keeper[0] the[0] story's[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the critics have said that taran is not likeable at all , but the opposite is true . 	the critics have said that taran is not likeable at all , but the opposite is true .	2	-3	 the[0] critics[0] have[0] said[0] that[0] taran[0] is[0] not[0] likeable[2][NegatedDueToPreviousWord] at[0] all[0] but[0] the[0] opposite[0] is[0] true[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is brave , loyal , and eventually learns a lesson about friendship later on . 	he is brave , loyal , and eventually learns a lesson about friendship later on .	3	-1	 he[0] is[0] brave[2] loyal[1] and[0] eventually[0] learns[0] a[0] lesson[0] about[0] friendship[1] later[0] on[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a likeable character here ! 	there's a likeable character here !	3	-1	 there's[0] a[0] likeable[2] character[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not that he's the only likeable character in the film . 	not that he's the only likeable character in the film .	3	-1	 not[0] that[0] he's[0] the[0] only[0] likeable[2] character[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's gurgi ( john biner ) , a lovable little , uh , thing who remains loyal to taran , even though they don't quite hit it off at first . 	there's gurgi ( john biner ) , a lovable little , uh , thing who remains loyal to taran , even though they don't quite hit it off at first .	2	-1	 there's[0] gurgi[0] john[0] biner[0] a[0] lovable[0] little[0] uh[0] thing[0] who[0] remains[0] loyal[1] to[0] taran[0] even[0] though[0] they[0] don't[0] quite[0] hit[0] it[0] off[0] at[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but another likeable character is the bad guy comic henchman , a dwarf named creeper ( phil fondacairo ) , who is loyal to the film's imaginative and sinister villain , the horned king ( voiced gruesomely by john hurt ) , yet he also fears his neck . 	but another likeable character is the bad guy comic henchman , a dwarf named creeper ( phil fondacairo ) , who is loyal to the film's imaginative and sinister villain , the horned king ( voiced gruesomely by john hurt ) , yet he also fears his neck .	3	-4	 but[0] another[0] likeable[2] character[0] is[0] the[0] bad[-1] guy[0] comic[0] henchman[0] a[0] dwarf[0] named[0] creeper[0] phil[0] fondacairo[0] who[0] is[0] loyal[1] to[0] the[0] film's[0] imaginative[1] and[0] sinister[-3] villain[-2][-1 MultiplePositiveWords] the[0] horned[0] king[0] voiced[0] gruesomely[0] by[0] john[0] hurt[-2] yet[0] he[0] also[0] fears[-2] his[0] neck[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the other characters , including the sidekicks , a spunky , but sweet princess named eilonwy and the comic bard fflewdurr flamm , and three comically wicked witches who hide a dark secret , although pleasant and likeable , aren't quite as well rounded as they should be . 	the other characters , including the sidekicks , a spunky , but sweet princess named eilonwy and the comic bard fflewdur flam , and three comically wicked witches who hide a dark secret , although pleasant and likeable , aren't quite as well rounded as they should be .	3	-1	 the[0] other[0] characters[0] including[0] the[0] sidekicks[0] a[0] spunky[0] but[0] sweet[1] princess[0] named[0] eilonwy[0] and[0] the[0] comic[0] bard[0] fflewdurr/fflewdur[0] flamm/flam[0] and[0] three[0] comically[0] wicked[2] witches[0] who[0] hide[0] a[0] dark[0] secret[0] although[0] pleasant[2] and[0] likeable[2] aren't[0] quite[0] as[0] well[0] rounded[0] as[0] they[0] should[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story itself is an adventurous one , a quest involving the mystical pig , hen wen , the black cauldron itself , and an army of deathless ones with everything : a hooking opening to a spectacular finale . 	the story itself is an adventurous one , a quest involving the mystical pig , hen wen , the black cauldron itself , and an army of deathless ones with everything : a hooking opening to a spectacular finale .	1	-3	 the[0] story[0] itself[0] is[0] an[0] adventurous[0] one[0] a[0] quest[0] involving[0] the[0] mystical[0] pig[0] hen[0] wen[0] the[0] black[0] cauldron[0] itself[0] and[0] an[0] army[0] of[0] deathless[-2] ones[0] with[0] everything[0] a[0] hooking[0] opening[0] to[0] a[0] spectacular[0] finale[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
elmer bernstein's music also tells the story perfectly , in a dark , yet calming manner . 	elmer bernstein's music also tells the story perfectly , in a dark , yet calming manner .	2	-1	 elmer[0] bernstein's[0] music[0] also[0] tells[0] the[0] story[0] perfectly[1] in[0] a[0] dark[0] yet[0] calming[1] manner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the animation itself is surprisingly good considering that this film was created in the darkest time of the studios . 	the animation itself is surprisingly good considering that this film was created in the darkest time of the studios .	2	-1	 the[0] animation[0] itself[0] is[0] surprisingly[0] good[1] considering[0] that[0] this[0] film[0] was[0] created[0] in[0] the[0] darkest[0] time[0] of[0] the[0] studios[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even though there are some occasional effects that are not quite good , like the ground opening when the black cauldron rises out of the earth , the animation overall is top notch . 	even though there are some occasional effects that are not quite good , like the ground opening when the black cauldron rises out of the earth , the animation overall is top notch .	2	-2	 even[0] though[0] there[0] are[0] some[0] occasional[0] effects[0] that[0] are[0] not[0] quite[0] good[1][NegatedDueToPreviousWord] like[1] the[0] ground[0] opening[0] when[0] the[0] black[0] cauldron[0] rises[0] out[0] of[0] the[0] earth[0] the[0] animation[0] overall[0] is[0] top[0] notch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
overall ? this film is an entertaining endeavor . 	overall ?<br> this film is an entertaining endeavor .	1	-1	 overall[0] [[Sentence=-1,1=word max, 1-5]] this[0] film[0] is[0] an[0] entertaining[0] endeavor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fans unfamiliar to the lloyd alexander chronicles of prydain will get a kick out of this one , except young kids . 	fans unfamiliar to the lloyd alexander chronicles of prydain will get a kick out of this one , except young kids .	1	-2	 fans[0] unfamiliar[-1] to[0] the[0] lloyd[0] alexander[0] chronicles[0] of[0] prydain[-1] will[0] get[0] a[0] kick[-1] out[0] of[0] this[0] one[0] except[0] young[0] kids[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are some extremely scary scenes which are more darker than disney's other films ( although some consider the stampede sequence from the lion king and frollo observing esmeralda in the fires of hell in the hunchback of notre dame are just as scary ) , which is the main reason why this film is rated pg . 	there are some extremely scary scenes which are more darker than disney's other films ( although some consider the stampede sequence from the lion king and frollo observing esmeralda in the fires of hell in the hunchback of notre dame are just as scary ) , which is the main reason why this film is rated pg .	1	-5	 there[0] are[0] some[0] extremely[0] scary[-3][-2 LastWordBoosterStrength] scenes[0] which[0] are[0] more[0] darker[0] than[0] disney's[0] other[0] films[0] although[0] some[0] consider[0] the[0] stampede[0] sequence[0] from[0] the[0] lion[0] king[0] and[0] frollo[0] observing[0] esmeralda[0] in[0] the[0] fires[0] of[0] hell[-1] in[0] the[0] hunchback[0] of[0] notre[0] dame[0] are[0] just[0] as[0] scary[-3] which[0] is[0] the[0] main[0] reason[0] why[0] this[0] film[0] is[0] rated[0] pg[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
fans familiar to the lloyd alexander series will recognize the differences between the novel and the movie . 	fans familiar to the lloyd alexander series will recognize the differences between the novel and the movie .	1	-1	 fans[0] familiar[0] to[0] the[0] lloyd[0] alexander[0] series[0] will[0] recognize[0] the[0] differences[0] between[0] the[0] novel[0] and[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though it doesn't have all of the ingredients of a true disney film , this film is a classic in its own right , and deserves a far better chance than what it has been given . 	even though it doesn't have all of the ingredients of a true disney film , this film is a classic in its own right , and deserves a far better chance than what it has been given .	2	-1	 even[0] though[0] it[0] doesn't[0] have[0] all[0] of[0] the[0] ingredients[0] of[0] a[0] true[1] disney[0] film[0] this[0] film[0] is[0] a[0] classic[0] in[0] its[0] own[0] right[0] and[0] deserves[0] a[0] far[0] better[0] chance[0] than[0] what[0] it[0] has[0] been[0] given[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that better chance has finally come . 	that better chance has finally come .	1	-1	 that[0] better[0] chance[0] has[0] finally[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever reason about why the black cauldron was such a big failure seems to have disappeared , and the film has finally achieved its place among disney's most proudest achievements . 	whatever reason about why the black cauldron was such a big failure seems to have disappeared , and the film has finally achieved its place among disney's most proudest achievements .	2	-3	 whatever[0] reason[0] about[0] why[0] the[0] black[0] cauldron[0] was[0] such[0] a[0] big[0] failure[-2] seems[0] to[0] have[0] disappeared[0] and[0] the[0] film[0] has[0] finally[0] achieved[0] its[0] place[0] among[0] disney's[0] most[0] proudest[1] achievements[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i can't help but think though , whatever would have happened if the black cauldron * was * a box office success ? 	i can't help but think though , whatever would have happened if the black cauldron * was * a box office success ?	3	-1	 i[0] can't[0] help[0] but[0] think[0] though[0] whatever[0] would[0] have[0] happened[0] if[0] the[0] black[0] cauldron[0] was[0] a[0] box[0] office[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
