alien 3 is the only alien film i have seen in theaters . 	Translation	Positive	Negative	EmotionRationale
again , the technical side of this film is remarkable , and better than the two previous versions . 	again , the technical side of this film is remarkable , and better than the two previous versions .	1	-1	 again[0] the[0] technical[0] side[0] of[0] this[0] film[0] is[0] remarkable[0] and[0] better[0] than[0] the[0] two[0] previous[0] versions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while cameron's version was a pumped up action film with massive artillary , fincher uses brilliant camera angles , terrific lighting , and moody sets . 	while cameron's version was a pumped up action film with massive artillary , fincher uses brilliant camera angles , terrific lighting , and moody sets .	4	-3	 while[0] cameron's[0] version[0] was[0] a[0] pumped[0] up[0] action[0] film[0] with[0] massive[0] artillary[0] fincher[0] uses[0] brilliant[1] camera[0] angles[0] terrific[3] lighting[0] and[0] moody[-2] sets[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the cinematography , by alex thomson , is very well done , with a terrific chase sequence towards the end of the movie . 	the cinematography , by alex thomson , is very well done , with a terrific chase sequence towards the end of the movie .	4	-2	 the[0] cinematography[0] by[0] alex[0] thomson[0] is[0] very[0] well[0] done[0] with[0] a[0] terrific[3] chase[-1] sequence[0] towards[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the confusion of the ending draws the viewer in , as we are just as confused as the actors who are being chased around . 	the confusion of the ending draws the viewer in , as we are just as confused as the actors who are being chased around .	1	-2	 the[0] confusion[-1] of[0] the[0] ending[0] draws[0] the[0] viewer[0] in[0] as[0] we[0] are[0] just[0] as[0] confused[-1] as[0] the[0] actors[0] who[0] are[0] being[0] chased[-1] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the yellows , reds , and oranges of the lights create a dark mood , and by themselves create a lot of suspense . 	the yellows , reds , and oranges of the lights create a dark mood , and by themselves create a lot of suspense .	1	-1	 the[0] yellows[0] reds[0] and[0] oranges[0] of[0] the[0] lights[0] create[0] a[0] dark[0] mood[0] and[0] by[0] themselves[0] create[0] a[0] lot[0] of[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shadows dance on the walls , and yet those shadows could easily be the alien . 	shadows dance on the walls , and yet those shadows could easily be the alien .	1	-2	 shadows[0] dance[0] on[0] the[0] walls[0] and[0] yet[0] those[0] shadows[0] could[0] easily[0] be[0] the[0] alien[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the alien is different from its predecessors this time around , and the swiftness of this alien is quite intense . 	the alien is different from its predecessors this time around , and the swiftness of this alien is quite intense .	1	-2	 the[0] alien[-1] is[0] different[0] from[0] its[0] predecessors[0] this[0] time[0] around[0] and[0] the[0] swiftness[0] of[0] this[0] alien[-1] is[0] quite[0] intense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the camera likes to take up the perspective of the alien , racing after the characters . 	the camera likes to take up the perspective of the alien , racing after the characters .	3	-2	 the[0] camera[0] likes[2] to[0] take[0] up[0] the[0] perspective[0] of[0] the[0] alien[-1] racing[0] after[0] the[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sets are quite incredible , which are reminiscient of the nostromo from alien . 	the sets are quite incredible , which are reminiscient of the nostromo from alien .	1	-2	 the[0] sets[0] are[0] quite[0] incredible[0] which[0] are[0] reminiscient[0] of[0] the[0] nostromo[0] from[0] alien[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the narrow corridors and labrynthine hallways is well constructed . 	the narrow corridors and labrynthine hallways is well constructed .	1	-1	 the[0] narrow[0] corridors[0] and[0] labrynthine[0] hallways[0] is[0] well[0] constructed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sets appear to be in the future , but not too far in the future . 	the sets appear to be in the future , but not too far in the future .	1	-1	 the[0] sets[0] appear[0] to[0] be[0] in[0] the[0] future[0] but[0] not[0] too[0] far[0] in[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the set pieces even aids in the destruction of the alien ( nothing surprising there ) . 	one of the set pieces even aids in the destruction of the alien ( nothing surprising there ) .	1	-2	 one[0] of[0] the[0] set[0] pieces[0] even[0] aids[0] in[0] the[0] destruction[-1] of[0] the[0] alien[-1] nothing[0] surprising[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sigourney weaver turns out yet another good performance , equaling her portrayal of ripley in aliens . 	sigourney weaver turns out yet another good performance , equaling her portrayal of ripley in aliens .	2	-1	 sigourney[0] weaver[0] turns[0] out[0] yet[0] another[0] good[1] performance[0] equaling[0] her[0] portrayal[0] of[0] ripley[0] in[0] aliens[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she was snubbed at the oscars for this one , mainly because the film was a critical bomb . 	she was snubbed at the oscars for this one , mainly because the film was a critical bomb .	1	-2	 she[0] was[0] snubbed[0] at[0] the[0] oscars[0] for[0] this[0] one[0] mainly[0] because[0] the[0] film[0] was[0] a[0] critical[-1] bomb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her reactions are far more realistic in this film , with her crying over the loss of the little child she risked her life saving in her previous encounter . 	her reactions are far more realistic in this film , with her crying over the loss of the little child she risked her life saving in her previous encounter .	1	-4	 her[0] reactions[0] are[0] far[0] more[0] realistic[0] in[0] this[0] film[0] with[0] her[0] crying[-3] over[0] the[0] loss[-2] of[0] the[0] little[0] child[0] she[0] risked[-1] her[0] life[0] saving[0] in[0] her[0] previous[0] encounter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's quite touching really . 	it's quite touching really .	1	-1	 it's[0] quite[0] touching[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charles s . dutton is very strong in his performance as one of the inmates , and i was on the brink of actually caring for him . 	charles s .<br> dutton is very strong in his performance as one of the inmates , and i was on the brink of actually caring for him .	3	-1	 charles[0] s[0] [[Sentence=-1,1=word max, 1-5]] dutton[0] is[0] very[0] strong[0] in[0] his[0] performance[0] as[0] one[0] of[0] the[0] inmates[0] and[0] i[0] was[0] on[0] the[0] brink[0] of[0] actually[0] caring[2] for[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
charles dance turns in a nice low-key performance , and as a result , i cared for him immediately . 	charles dance turns in a nice low-key performance , and as a result , i cared for him immediately .	2	-2	 charles[0] dance[0] turns[0] in[0] a[0] nice[1] low[-1] key[0] performance[0] and[0] as[0] a[0] result[0] i[0] cared[1] for[0] him[0] immediately[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lance henriksen makes a brief appearance as bishop ii , but he was more entertaining in aliens . 	lance henriksen makes a brief appearance as bishop i , but he was more entertaining in aliens .	1	-1	 lance[0] henriksen[0] makes[0] a[0] brief[0] appearance[0] as[0] bishop[0] ii/i[0] but[0] he[0] was[0] more[0] entertaining[0] in[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the cast is pretty stale , though pete postlethwaite sticks out due to his recent turns in the usual suspects and the lost world . 	the rest of the cast is pretty stale , though pete postlethwaite sticks out due to his recent turns in the usual suspects and the lost world .	3	-2	 the[0] rest[0] of[0] the[0] cast[0] is[0] pretty[2] stale[-1] though[0] pete[0] postlethwaite[0] sticks[0] out[0] due[0] to[0] his[0] recent[0] turns[0] in[0] the[0] usual[0] suspects[0] and[0] the[0] lost[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
alien 3 is rated r for strong violence and language , and sex . 	alien 3 is rated are for strong violence and language , and sex .	1	-4	 alien[-1] 3[0] is[0] rated[0] r[0] for[0] strong[0] violence[-3] and[0] language[0] and[0] sex[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although it has its flaws , alien 3 is highly entertaining with rich symbolism . 	although it has its flaws , alien 3 is highly entertaining with rich symbolism .	1	-2	 although[0] it[0] has[0] its[0] flaws[0] alien[-1] 3[0] is[0] highly[0] entertaining[0] with[0] rich[0] symbolism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film reminds you how much fun it is to spot metaphorical images throughout a movie . 	this film reminds you how much fun it is to spot metaphorical images throughout a movie .	2	-1	 this[0] film[0] reminds[0] you[0] how[0] much[0] fun[1] it[0] is[0] to[0] spot[0] metaphorical[0] images[0] throughout[0] a[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while kubrick may have a moral message throughout his films , fincher relies on cinematic devices to bring his meanings out . 	while kubrick may have a moral message throughout his films , fincher relies on cinematic devices to bring his meanings out .	1	-1	 while[0] kubrick[0] may[0] have[0] a[0] moral[0] message[0] throughout[0] his[0] films[0] fincher[0] relies[0] on[0] cinematic[0] devices[0] to[0] bring[0] his[0] meanings[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a film like fincher's which reminds us that it is okay for a film to sacrifice quality for quantity ( the final scene ) . 	it's a film like fincher's which reminds us that it is okay for a film to sacrifice quality for quantity ( the final scene ) .	2	-1	 it's[0] a[0] film[0] like[1] fincher's[0] which[0] reminds[0] us[0] that[0] it[0] is[0] okay[0] for[0] a[0] film[0] to[0] sacrifice[0] quality[0] for[0] quantity[0] the[0] final[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , it tells us that we , as a society , have become too critical of things which may happen to look a little " fake . " 	in fact , it tells us that we , as a society , have become too critical of things which may happen to look a little " fake .<br> "	1	-2	 in[0] fact[0] it[0] tells[0] us[0] that[0] we[0] as[0] a[0] society[0] have[0] become[0] too[0] critical[-1] of[0] things[0] which[0] may[0] happen[0] to[0] look[0] a[0] little[0] fake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whenever something looks fake on screen , we immediately point it out as a mistake . 	whenever something looks fake on screen , we immediately point it out as a mistake .	1	-2	 whenever[0] something[0] looks[0] fake[-1] on[0] screen[0] we[0] immediately[0] point[0] it[0] out[0] as[0] a[0] mistake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but perhaps it isn't a mistake . 	but perhaps it isn't a mistake .	2	-1	 but[0] perhaps[0] it[0] isn't[0] a[0] mistake[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
