i rented " brokedown palace " last night blind , having heard nothing about it beforehand , and i enjoyed it immensely despite some flaws . 	Translation	Positive	Negative	EmotionRationale
their prison ( in stark contrast to the probable reality ) was no hellhole , being relatively clean and sunlit . 	their prison ( in stark contrast to the probable reality ) was no hellhole , being relatively clean and sunlit .	1	-2	 their[0] prison[-1] in[0] stark[-1] contrast[0] to[0] the[0] probable[0] reality[0] was[0] no[0] hellhole[0] being[0] relatively[0] clean[0] and[0] sunlit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prison authorities demanded good hygiene , provided medical care when needed , and " hard manual labor " consisted of picking grass ! 	the prison authorities demanded good hygiene , provided medical care when needed , and " hard manual labor " consisted of picking grass !	2	-2	 the[0] prison[-1] authorities[0] demanded[0] good[1] hygiene[0] provided[0] medical[0] care[1] when[0] needed[0] and[0] hard[0] manual[0] labor[0] consisted[0] of[0] picking[0] grass[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the thai guards were authoritarian ( what else ? ) but certainly not routinely sadistic . 	the thai guards were authoritarian ( what else ?<br> ) but certainly not routinely sadistic .	1	-1	 the[0] thai[0] guards[0] were[0] authoritarian[0] what[0] else[0] [[Sentence=-1,1=word max, 1-5]] but[0] certainly[0] not[0] routinely[0] sadistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for the thai justice system , the reasoning of the thai judges , during both an appeal hearing and in the film's penultimate scene was devastating in its logic and morality . 	as for the thai justice system , the reasoning of the thai judges , during both an appeal hearing and in the film's penultimate scene was devastating in its logic and morality .	1	-5	 as[0] for[0] the[0] thai[0] justice[0] system[0] the[0] reasoning[0] of[0] the[0] thai[0] judges[0] during[0] both[0] an[0] appeal[0] hearing[0] and[0] in[0] the[0] film's[0] penultimate[0] scene[0] was[0] devastating[-4] in[0] its[0] logic[0] and[0] morality[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
'freedom' has many faces and " brokedown palace " explores many of them . 	'freedom' has many faces and " brokedown palace " explores many of them .	1	-2	 'freedom'[0] has[0] many[0] faces[0] and[0] brokedown[-1] palace[0] explores[0] many[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the extreme , we have freedom of the body and freedom of the spirit . 	in the extreme , we have freedom of the body and freedom of the spirit .	1	-1	 in[0] the[0] extreme[0] we[0] have[0] freedom[0] of[0] the[0] body[0] and[0] freedom[0] of[0] the[0] spirit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some settle for the former alone while others remain imprisoned with an entire nation to roam without the latter . 	some settle for the former alone while others remain imprisoned with an entire nation to roam without the latter .	1	-2	 some[0] settle[0] for[0] the[0] former[0] alone[0] while[0] others[0] remain[0] imprisoned[-1] with[0] an[0] entire[0] nation[0] to[0] roam[0] without[0] the[0] latter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but freedom seldom comes without a price . 	but freedom seldom comes without a price .	1	-1	 but[0] freedom[0] seldom[0] comes[0] without[0] a[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is why the movie's other tag lines are : " what is your dream ? " 	which is why the movie's other tag lines are : " what is your dream ?<br> "	1	-1	 which[0] is[0] why[0] the[0] movie's[0] other[0] tag[0] lines[0] are[0] what[0] is[0] your[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and " how far would you go ? " 	and " how far would you go ?<br> "	1	-1	 and[0] how[0] far[0] would[0] you[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i believe i could make a good case for the interpretation that the person who attains freedom , incarcerated or not , by film's end is alice . 	i believe i could make a good case for the interpretation that the person who attains freedom , incarcerated or not , by film's end is alice .	2	-1	 i[0] believe[0] i[0] could[0] make[0] a[0] good[1] case[0] for[0] the[0] interpretation[0] that[0] the[0] person[0] who[0] attains[0] freedom[0] incarcerated[0] or[0] not[0] by[0] film's[0] end[0] is[0] alice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she finds redemption and salvation through the acceptance of personal responsibility . 	she finds redemption and salvation through the acceptance of personal responsibility .	1	-1	 she[0] finds[0] redemption[0] and[0] salvation[0] through[0] the[0] acceptance[0] of[0] personal[0] responsibility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think the light bathing only her figure among the assembled prisoners in the final scene visually signals that fact . 	i think the light bathing only her figure among the assembled prisoners in the final scene visually signals that fact .	1	-2	 i[0] think[0] the[0] light[0] bathing[0] only[0] her[0] figure[0] among[0] the[0] assembled[0] prisoners[-1] in[0] the[0] final[0] scene[0] visually[0] signals[0] that[0] fact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kate beckinsale's character might more properly be likened to the " released " temple bird referred to twice during the film , " trained to fly back to its cage . " 	kate beckinsale's character might more properly be likened to the " released " temple bird referred to twice during the film , " trained to fly back to its cage .<br> "	1	-1	 kate[0] beckinsale's[0] character[0] might[0] more[0] properly[0] be[0] likened[0] to[0] the[0] released[0] temple[0] bird[0] referred[0] to[0] twice[0] during[0] the[0] film[0] trained[0] to[0] fly[0] back[0] to[0] its[0] cage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the thai magistrate observed in the film's climactic scene , the issue was always one of " character ; " and the jamaican prisoner made it clear that " freedom " is achieved within oneself . 	as the thai magistrate observed in the film's climactic scene , the issue was always one of " character ; " and the jamaican prisoner made it clear that " freedom " is achieved within oneself .	1	-2	 as[0] the[0] thai[0] magistrate[0] observed[0] in[0] the[0] film's[0] climactic[0] scene[0] the[0] issue[0] was[0] always[0] one[0] of[0] character[0] and[0] the[0] jamaican[0] prisoner[-1] made[0] it[0] clear[0] that[0] freedom[0] is[0] achieved[0] within[0] oneself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if one thinks back over the movie , which character was transformed by their experiences ? 	if one thinks back over the movie , which character was transformed by their experiences ?	1	-1	 if[0] one[0] thinks[0] back[0] over[0] the[0] movie[0] which[0] character[0] was[0] transformed[0] by[0] their[0] experiences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
increasingly , the cinema landscape seems to have become littered with endless permutations of 'kung fu woman'--female characters virtually indistinguishable from male action figures . 	increasingly , the cinema landscape seems to have become littered with endless permutations of 'kung fu woman'-female characters virtually indistinguishable from male action figures .	1	-2	 increasingly[0] the[0] cinema[0] landscape[0] seems[0] to[0] have[0] become[0] littered[-1] with[0] endless[0] permutations[0] of[0] 'kung[0] fu[0] woman'[0] female[0] characters[0] virtually[0] indistinguishable[0] from[0] male[0] action[0] figures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , at last , is the story of a modern heroine . 	here , at last , is the story of a modern heroine .	3	-1	 here[0] at[0] last[0] is[0] the[0] story[0] of[0] a[0] modern[0] heroine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in reading the many user's comments , i was struck by what seems an unusual phenomenon : whether or not a person liked the movie , almost everyone praised the actors . 	in reading the many user's comments , i was struck by what seems an unusual phenomenon : whether or not a person liked the movie , almost everyone praised the actors .	3	-2	 in[0] reading[0] the[0] many[0] user's[0] comments[0] i[0] was[0] struck[-1] by[0] what[0] seems[0] an[0] unusual[0] phenomenon[0] whether[0] or[0] not[0] a[0] person[0] liked[2] the[0] movie[0] almost[0] everyone[0] praised[2] the[0] actors[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
think about that . 	think about that .	1	-1	 think[0] about[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when was the last time you came away from a motion picture possibly hating it , but raving about all the performances in it ? 	when was the last time you came away from a motion picture possibly hating it , but raving about all the performances in it ?	1	-4	 when[0] was[0] the[0] last[0] time[0] you[0] came[0] away[0] from[0] a[0] motion[0] picture[0] possibly[0] hating[-3] it[0] but[0] raving[0] about[0] all[0] the[0] performances[0] in[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
do yourself a favor : rent " brokedown palace " and watch it with a open mind . 	do yourself a favor : rent " brokedown palace " and watch it with a open mind .	2	-2	 do[0] yourself[0] a[0] favor[1] rent[0] brokedown[-1] palace[0] and[0] watch[0] it[0] with[0] a[0] open[0] mind[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's more there than meets the eye . 	there's more there than meets the eye .	1	-1	 there's[0] more[0] there[0] than[0] meets[0] the[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
