in 1987 the stock market crashed , and oliver stone's wall street was released to critical acclaim and packed movie houses . 	Translation	Positive	Negative	EmotionRationale
it's a terrible line but ribisi delivers it in such an innocuous child-like way , it becomes sweetly endearing . 	it's a terrible line but ribisi delivers it in such an innocuous child-like way , it becomes sweetly endearing .	2	-4	 it's[0] a[0] terrible[-3] line[0] but[0] ribisi[0] delivers[0] it[0] in[0] such[0] an[0] innocuous[0] child[0] like[1] way[0] it[0] becomes[0] sweetly[1] endearing[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , towards the end , the boiler room turns a tad schmaltzy . 	unfortunately , towards the end , the boiler room turns a tad schmaltzy .	1	-2	 unfortunately[-1] towards[0] the[0] end[0] the[0] boiler[0] room[0] turns[0] a[0] tad[0] schmaltzy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is much crying , hugging , and sorrowful stares . 	there is much crying , hugging , and sorrowful stares .	3	-4	 there[0] is[0] much[0] crying[-3] hugging[2] and[0] sorrowful[-2] stares[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is okay when taken in small doses , but younger's conclusion is constructed as a series of these boo-hoo moments , one following the other . 	this is okay when taken in small doses , but younger's conclusion is constructed as a series of these boo-ho moments , one following the other .	1	-1	 this[0] is[0] okay[0] when[0] taken[0] in[0] small[0] doses[0] but[0] younger's[0] conclusion[0] is[0] constructed[0] as[0] a[0] series[0] of[0] these[0] boo[0] hoo/ho[0] moments[0] one[0] following[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a particular misstep is his attempt to show the effect that seth's manipulations have on one of his poor victims . 	a particular misstep is his attempt to show the effect that seth's manipulations have on one of his poor victims .	1	-3	 a[0] particular[0] misstep[0] is[0] his[0] attempt[0] to[0] show[0] the[0] effect[0] that[0] seth's[0] manipulations[-1] have[0] on[0] one[0] of[0] his[0] poor[-1] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not a bad idea but the execution is lacking , with those scenes feeling tacked on to further spell out the message . 	it's not a bad idea but the execution is lacking , with those scenes feeling tacked on to further spell out the message .	2	-1	 it's[0] not[0] a[0] bad[-1][NegatedDueToPreviousWord] idea[0] but[0] the[0] execution[0] is[0] lacking[0] with[0] those[0] scenes[0] feeling[0] tacked[0] on[0] to[0] further[0] spell[0] out[0] the[0] message[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that message being , " greed is bad " . 	that message being , " greed is bad " .	1	-3	 that[0] message[0] being[0] greed[-2] is[0] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yes it's patently obvious , but boiler room conveys it by introducing us to a culture that i haven't seen much of in the movies : the disenfranchised twenty something entrepreneur . 	yes it's patently obvious , but boiler room conveys it by introducing us to a culture that i haven't seen much of in the movies : the disenfranchised twenty something entrepreneur .	1	-1	 yes[0] it's[0] patently[0] obvious[0] but[0] boiler[0] room[0] conveys[0] it[0] by[0] introducing[0] us[0] to[0] a[0] culture[0] that[0] i[0] haven't[0] seen[0] much[0] of[0] in[0] the[0] movies[0] the[0] disenfranchised[0] twenty[0] something[0] entrepreneur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and all wall street did was introduce us to a simplistic fantasy world of saints and sinners . 	and all wall street did was introduce us to a simplistic fantasy world of saints and sinners .	1	-2	 and[0] all[0] wall[0] street[0] did[0] was[0] introduce[0] us[0] to[0] a[0] simplistic[-1] fantasy[0] world[0] of[0] saints[0] and[0] sinners[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
boiler room offers neither extreme . 	boiler room offers neither extreme .	1	-1	 boiler[0] room[0] offers[0] neither[0] extreme[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gives us what is in between , and for that i am thankful . 	it gives us what is in between , and for that i am thankful .	2	-1	 it[0] gives[0] us[0] what[0] is[0] in[0] between[0] and[0] for[0] that[0] i[0] am[0] thankful[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
