natural born killers is really a very simple story that , in essence , has already been told in bonnie & clyde with some major variations in emphasis , mood and degree . 	Translation	Positive	Negative	EmotionRationale
let me just say that its editing has the opposite effect of a western with shots that linger forever on a salon entrance or the like suggesting the expansiveness , barreness and boredom of the frontier lifestyle . 	let me just say that its editing has the opposite effect of a western with shots that linger forever on a salon entrance or the like suggesting the expansiveness , bareness and boredom of the frontier lifestyle .	2	-2	 let[0] me[0] just[0] say[0] that[0] its[0] editing[0] has[0] the[0] opposite[0] effect[0] of[0] a[0] western[0] with[0] shots[0] that[0] linger[0] forever[0] on[0] a[0] salon[0] entrance[0] or[0] the[0] like[1] suggesting[0] the[0] expansiveness[0] barreness/bareness[0] and[0] boredom[-1] of[0] the[0] frontier[0] lifestyle[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rapid succession of all those 8mm , 16mm , 35mm images from various perspectives with a soundtrack sometimes in sync and sometimes out of sink instills a skittish , frenetic mood . 	the rapid succession of all those 8m , 16m , 35m images from various perspectives with a soundtrack sometimes in sync and sometimes out of sink instills a skittish , frenetic mood .	3	-1	 the[0] rapid[0] succession[2] of[0] all[0] those[0] 8mm/8m[0] 16mm/16m[0] 35mm/35m[0] images[0] from[0] various[0] perspectives[0] with[0] a[0] soundtrack[0] sometimes[0] in[0] sync[0] and[0] sometimes[0] out[0] of[0] sink[0] instills[0] a[0] skittish[0] frenetic[0] mood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also , jungian archetypes abound . 	also , jungian archetypes abound .	1	-1	 also[0] jungian[0] archetypes[0] abound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these can't help but trigger deep psychological responses we can barely understand especially when they flash across the screen for barely a few frames . 	these can't help but trigger deep psychological responses we can barely understand especially when they flash across the screen for barely a few frames .	1	-1	 these[0] can't[0] help[0] but[0] trigger[0] deep[0] psychological[0] responses[0] we[0] can[0] barely[0] understand[0] especially[0] when[0] they[0] flash[0] across[0] the[0] screen[0] for[0] barely[0] a[0] few[0] frames[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the best scenes and lines that come to mind . ( quotes are paraphrased only ) : 	some of the best scenes and lines that come to mind .<br> ( quotes are paraphrased only ) :	2	-1	 some[0] of[0] the[0] best[1] scenes[0] and[0] lines[0] that[0] come[0] to[0] mind[0] [[Sentence=-1,2=word max, 1-5]] quotes[0] are[0] paraphrased[0] only[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
mickey to mallory : " one of these days i'm gonna be cummin' for you , " in prison , while mallory jacks mickey off . 	mickey to mallory : " one of these days i'm gonna be cummin' for you , " in prison , while mallory jacks mickey off .	1	-2	 mickey[0] to[0] mallory[0] one[0] of[0] these[0] days[0] i'm[0] gonna[0] be[0] cummin'[0] for[0] you[0] in[0] prison[-1] while[0] mallory[0] jacks[0] mickey[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
semen is a symbol for great potential and things to come . 	semen is a symbol for great potential and things to come .	3	-1	 semen[0] is[0] a[0] symbol[0] for[0] great[2] potential[0] and[0] things[0] to[0] come[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at the time they haven't yet had sex nor have they killed anyone yet . 	at the time they haven't yet had sex nor have they killed anyone yet .	1	-4	 at[0] the[0] time[0] they[0] haven't[0] yet[0] had[0] sex[0] nor[0] have[0] they[0] killed[-3] anyone[0] yet[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the two of course go hand in hand . 	the two of course go hand in hand .	1	-1	 the[0] two[0] of[0] course[0] go[0] hand[0] in[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for an even more explicit semen scene see silence of the lambs . 	for an even more explicit semen scene see silence of the lambs .	1	-1	 for[0] an[0] even[0] more[0] explicit[0] semen[0] scene[0] see[0] silence[0] of[0] the[0] lambs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mickey during his marriage to mallory : " as creator of my universe , i pronounce us man and wife . " 	mickey during his marriage to mallory : " as creator of my universe , i pronounce us man and wife .<br> "	1	-1	 mickey[0] during[0] his[0] marriage[0] to[0] mallory[0] as[0] creator[0] of[0] my[0] universe[0] i[0] pronounce[0] us[0] man[0] and[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the way woody delivers this line is truly haunting , but telling , too . 	the way woody delivers this line is truly haunting , but telling , too .	2	-1	 the[0] way[0] woody[0] delivers[0] this[0] line[0] is[0] truly[1] haunting[0] but[0] telling[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it reveals m&m are well on their way to expunging all their destructive tendencies and replacing them with positive ones . 	it reveals m&m are well on their way to expunging all their destructive tendencies and replacing them with positive ones .	3	-1	 it[0] reveals[0] m&m[0] are[0] well[0] on[0] their[0] way[0] to[0] expunging[0] all[0] their[0] destructive[0] tendencies[0] and[0] replacing[0] them[0] with[0] positive[2] ones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is what mickey means by " creator of my universe , " he is giving himself or creating for himself healthy attitudes . 	this is what mickey means by " creator of my universe , " he is giving himself or creating for himself healthy attitudes .	1	-1	 this[0] is[0] what[0] mickey[0] means[0] by[0] creator[0] of[0] my[0] universe[0] he[0] is[0] giving[0] himself[0] or[0] creating[0] for[0] himself[0] healthy[0] attitudes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not necessarily a schizophrenic retreat into solipsism as it first appears . 	it is not necessarily a schizophrenic retreat into solipsism as it first appears .	1	-2	 it[0] is[0] not[0] necessarily[0] a[0] schizophrenic[0] retreat[-1] into[0] solipsism[0] as[0] it[0] first[0] appears[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scagnetti's first meeting with mallory is through her pubic hair he plucks from the gas station attendant's mouth . 	scagnetti's first meeting with mallory is through her pubic hair he plucks from the gas station attendant's mouth .	1	-1	 scagnetti's[0] first[0] meeting[0] with[0] mallory[0] is[0] through[0] her[0] pubic[0] hair[0] he[0] plucks[0] from[0] the[0] gas[0] station[0] attendant's[0] mouth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the indian sage releasing mallory's father , who was reincarnated as a snake : " old man , go be a snake , " after telling his " snake story " that ends with " bitch , you knew i was a snake . " 	the indian sage releasing mallory's father , who was reincarnated as a snake : " old man , go be a snake , " after telling his " snake story " that ends with " bitch , you knew i was a snake .<br> "	1	-2	 the[0] indian[0] sage[-1] releasing[0] mallory's[0] father[0] who[0] was[0] reincarnated[0] as[0] a[0] snake[0] old[0] man[0] go[0] be[0] a[0] snake[0] after[0] telling[0] his[0] snake[0] story[0] that[0] ends[0] with[0] bitch[-1] you[0] knew[0] i[0] was[0] a[0] snake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after mickey shoots this sage to death during a bewildering nightmare , mallory says , " you killed life ! ! ! " 	after mickey shoots this sage to death during a bewildering nightmare , mallory says , " you killed life !<br> !<br> !<br> "	1	-4	 after[0] mickey[0] shoots[-1] this[0] sage[-1] to[0] death[-2] during[0] a[0] bewildering[-2] nightmare[-2][-1 MultiplePositiveWords] mallory[0] says[0] you[0] killed[-3] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is another telling quote because it implies they didn't see themselves as killers of life . 	this is another telling quote because it implies they didn't see themselves as killers of life .	1	-1	 this[0] is[0] another[0] telling[0] quote[0] because[0] it[0] implies[0] they[0] didn't[0] see[0] themselves[0] as[0] killers[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then what were they killing up to that time ? 	then what were they killing up to that time ?	1	-2	 then[0] what[0] were[0] they[0] killing[-1] up[0] to[0] that[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in some case just those zombies faking their way through life , the living dead , as it were . 	in some case just those zombies faking their way through life , the living dead , as it were .	1	-3	 in[0] some[0] case[0] just[0] those[0] zombies[0] faking[0] their[0] way[0] through[0] life[0] the[0] living[0] dead[-2] as[0] it[0] were[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in other cases , all the anti-life forces , the cops and their parents . 	in other cases , all the anti-life forces , the cops and their parents .	1	-1	 in[0] other[0] cases[0] all[0] the[0] anti[0] life[0] forces[0] the[0] cops[0] and[0] their[0] parents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the butterfly just before the movie shifts into the prison . 	the butterfly just before the movie shifts into the prison .	1	-2	 the[0] butterfly[0] just[0] before[0] the[0] movie[0] shifts[0] into[0] the[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it of course symbolizes rebirth . 	it of course symbolizes rebirth .	1	-1	 it[0] of[0] course[0] symbolizes[0] rebirth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dr . emil reingold , as portrayed by steven wright , passing judgement on m&m : " mickey and mallory know the difference between right and wrong , they just don't give a damn . " 	dr .<br> emil reingold , as portrayed by steven wright , passing judgement on m&m : " mickey and mallory know the difference between right and wrong , they just don't give a damn .<br> "	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] emil[0] reingold[0] as[0] portrayed[0] by[0] steven[0] wright[0] passing[0] judgement[0] on[0] m&m[0] mickey[0] and[0] mallory[0] know[0] the[0] difference[0] between[0] right[0] and[0] wrong[-1] they[0] just[0] don't[0] give[0] a[0] damn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is reminiscent of nietzsche's whole philosophy , and maybe a direct reference to his beyond good and evil . 	this is reminiscent of nietzsche's whole philosophy , and maybe a direct reference to his beyond good and evil .	2	-3	 this[0] is[0] reminiscent[0] of[0] nietzsche's[0] whole[0] philosophy[0] and[0] maybe[0] a[0] direct[0] reference[0] to[0] his[0] beyond[0] good[1] and[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mickey : " the rabbit says the moment of realization is worth 1000 prayers . " 	mickey : " the rabbit says the moment of realization is worth 100 prayers .<br> "	1	-1	 mickey[0] the[0] rabbit[0] says[0] the[0] moment[0] of[0] realization[0] is[0] worth[0] 1000/100[0] prayers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mickey ( again in his interview ) : " me and you , we are not the same species . " 	mickey ( again in his interview ) : " me and you , we are not the same species .<br> "	1	-1	 mickey[0] again[0] in[0] his[0] interview[0] me[0] and[0] you[0] we[0] are[0] not[0] the[0] same[0] species[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
notice when the escape is in progress we get some role reversals in terms of leadership and control . 	notice when the escape is in progress we get some role reversals in terms of leadership and control .	1	-1	 notice[0] when[0] the[0] escape[0] is[0] in[0] progress[0] we[0] get[0] some[0] role[0] reversals[0] in[0] terms[0] of[0] leadership[0] and[0] control[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mickey the prisoner becomes the leader of his little gang . 	mickey the prisoner becomes the leader of his little gang .	1	-2	 mickey[0] the[0] prisoner[-1] becomes[0] the[0] leader[0] of[0] his[0] little[0] gang[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the wardens become prisoners and the civilians like wayne gayle and his producer follow the leader , no matter who it is . 	the wardens become prisoners and the civilians like wayne gayle and his producer follow the leader , no matter who it is .	2	-2	 the[0] wardens[0] become[0] prisoners[-1] and[0] the[0] civilians[0] like[1] wayne[0] gayle[0] and[0] his[0] producer[0] follow[0] the[0] leader[0] no[0] matter[0] who[0] it[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mickey : how ya feelin' ? 	mickey : how ya feelin' ?	1	-1	 mickey[0] how[0] ya[0] feelin'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wayne : fucking great ! 	wayne : fucking great !	5	-1	 wayne[0] fucking[0] great[2][2 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
mickey : you got the feelin' ? 	mickey : you got the feelin' ?	1	-1	 mickey[0] you[0] got[0] the[0] feelin'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wayne : i'm alive . 	wayne : i'm alive .	1	-1	 wayne[0] i'm[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm alive for the first fuckin' time ! 	i'm alive for the first fuckin' time !	1	-1	 i'm[0] alive[0] for[0] the[0] first[0] fuckin'[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what an incredible transformation this is . 	what an incredible transformation this is .	1	-1	 what[0] an[0] incredible[0] transformation[0] this[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he got the feeling and he couldn't contain himself . 	he got the feeling and he couldn't contain himself .	1	-1	 he[0] got[0] the[0] feeling[0] and[0] he[0] couldn't[0] contain[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what a feeling . 	what a feeling .	1	-1	 what[0] a[0] feeling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that feeling of metaphysical freedom that you can create your own universe . 	that feeling of metaphysical freedom that you can create your own universe .	1	-1	 that[0] feeling[0] of[0] metaphysical[0] freedom[0] that[0] you[0] can[0] create[0] your[0] own[0] universe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mickey when almost caught in a dead end , " think , think , think , think . " 	mickey when almost caught in a dead end , " think , think , think , think .<br> "	1	-3	 mickey[0] when[0] almost[0] caught[0] in[0] a[0] dead[-2] end[0] think[0] think[0] think[0] think[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
go figure it out . 	go figure it out .	1	-1	 go[0] figure[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dwight ( tommy lee jones ) in general , because he may be the sickest fuck in the whole film . 	dwight ( tommy lee jones ) in general , because he may be the sickest fuck in the whole film .	1	-3	 dwight[0] tommy[0] lee[0] jones[0] in[0] general[0] because[0] he[0] may[0] be[0] the[0] sickest[0] fuck[-2] in[0] the[0] whole[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his whole attitude can be summed up with , " destroy them ! ! ! " 	his whole attitude can be summed up with , " destroy them !<br> !<br> !<br> "	1	-3	 his[0] whole[0] attitude[0] can[0] be[0] summed[0] up[0] with[0] destroy[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
