most people fit into two different categories : you either love woody allen , or you hate his guts . 	Translation	Positive	Negative	EmotionRationale
sylvester stallone ( teamed up with stone once again ) is beginning to solidify his statement that he wants to be an actor , not a typecast action star . 	sylvester stallone ( teamed up with stone once again ) is beginning to solidify his statement that he wants to be an actor , not a typecast action star .	1	-1	 sylvester[0] stallone[0] teamed[0] up[0] with[0] stone[0] once[0] again[0] is[0] beginning[0] to[0] solidify[0] his[0] statement[0] that[0] he[0] wants[0] to[0] be[0] an[0] actor[0] not[0] a[0] typecast[0] action[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a snub at the oscars last year , stallone is proving himself as the serious ( or comedic , as illustrated here ) actor that he is . 	after a snub at the oscars last year , stallone is proving himself as the serious ( or comedic , as illustrated here ) actor that he is .	1	-2	 after[0] a[0] snub[0] at[0] the[0] oscars[0] last[0] year[0] stallone[0] is[0] proving[0] himself[0] as[0] the[0] serious[-1] or[0] comedic[0] as[0] illustrated[0] here[0] actor[0] that[0] he[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gene hackman is superb as the gruff-talking general , almost doing another take on his crimson tide persona . 	gene hackman is superb as the gruff-talking general , almost doing another take on his crimson tide persona .	1	-2	 gene[0] hackman[0] is[0] superb[0] as[0] the[0] gruff[-1] talking[0] general[0] almost[0] doing[0] another[0] take[0] on[0] his[0] crimson[0] tide[0] persona[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
christopher walkin is probably more noticed by his voice , and so many people will remember him from such hits as batman returns . 	christopher walkin is probably more noticed by his voice , and so many people will remember him from such hits as batman returns .	1	-1	 christopher[0] walkin[0] is[0] probably[0] more[0] noticed[0] by[0] his[0] voice[0] and[0] so[0] many[0] people[0] will[0] remember[0] him[0] from[0] such[0] hits[0] as[0] batman[0] returns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anne bancroft has a minimal role , but she's effective nonetheless . 	anne bancroft has a minimal role , but she's effective nonetheless .	1	-1	 anne[0] bancroft[0] has[0] a[0] minimal[0] role[0] but[0] she's[0] effective[0] nonetheless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
danny glover has a small role , but he does a very , very good job . 	danny glover has a small role , but he does a very , very good job .	3	-1	 danny[0] glover[0] has[0] a[0] small[0] role[0] but[0] he[0] does[0] a[0] very[0] very[0] good[1][1 LastWordBoosterStrength] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dan aykroyd and jane curtin also lend their voices as two lovesick , euro-trash bees--both are very unrecognizable , especially aykroyd . 	dan aykroyd and jane curtin also lend their voices as two lovesick , euro-trash bees-both are very unrecognizable , especially aykroyd .	1	-2	 dan[0] aykroyd[0] and[0] jane[0] curtin[0] also[0] lend[0] their[0] voices[0] as[0] two[0] lovesick[0] euro[0] trash[-1] bees[0] both[0] are[0] very[0] unrecognizable[0] especially[0] aykroyd[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jennifer lopez plays a worker ant who falls in love with weaver , although most people won't recognize her voice either . 	jennifer lopez plays a worker ant who falls in love with weaver , although most people won't recognize her voice either .	3	-1	 jennifer[0] lopez[0] plays[1] a[0] worker[0] ant[0] who[0] falls[0] in[0] love[2] with[0] weaver[0] although[0] most[0] people[0] won't[0] recognize[0] her[0] voice[0] either[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
many people will recognize grant shaud's voice as the foreman . 	many people will recognize grant shaud's voice as the foreman .	1	-1	 many[0] people[0] will[0] recognize[0] grant[0] shaud's[0] voice[0] as[0] the[0] foreman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he played miles on the tv show murphy brown . 	he played miles on the tv show murphy brown .	1	-1	 he[0] played[0] miles[0] on[0] the[0] tv[0] show[0] murphy[0] brown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is definitely a huge cast with some high-profile names , and it will definitely help it's grosses . 	this is definitely a huge cast with some high-profile names , and it will definitely help it's grosses .	1	-2	 this[0] is[0] definitely[0] a[0] huge[0] cast[0] with[0] some[0] high[0] profile[0] names[0] and[0] it[0] will[0] definitely[0] help[0] it's[0] grosses[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , you can probably tell where a lot of the  60 million budget went to , also . 	of course , you can probably tell where a lot of the  60 million budget went to , also .	1	-1	 of[0] course[0] you[0] can[0] probably[0] tell[0] where[0] a[0] lot[0] of[0] the[0] 60[0] million[0] budget[0] went[0] to[0] also[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directors eric darnell and lawrence guterman are relative newcomers ( though guterman did direct a 1994 feature , headless ! ) . 	directors eric darnell and lawrence guterman are relative newcomers ( though guterman did direct a 1994 feature , headless !<br> ) .	1	-1	 directors[0] eric[0] darnell[0] and[0] lawrence[0] guterman[0] are[0] relative[0] newcomers[0] though[0] guterman[0] did[0] direct[0] a[0] 1994[0] feature[0] headless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but both show an incredible talent for this type of a picture . 	but both show an incredible talent for this type of a picture .	2	-1	 but[0] both[0] show[0] an[0] incredible[0] talent[1] for[0] this[0] type[0] of[0] a[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tense at times , and very funny throughout , the two hold this film together like professionals . 	tense at times , and very funny throughout , the two hold this film together like professionals .	3	-3	 tense[-2] at[0] times[0] and[0] very[0] funny[1][1 LastWordBoosterStrength] throughout[0] the[0] two[0] hold[0] this[0] film[0] together[0] like[1] professionals[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the screenplay by todd alcott and chris weitz is quite simple in plot , but it contains a lot of subtlety that makes the film more suitable for adults . 	the screenplay by todd alcott and chris weitz is quite simple in plot , but it contains a lot of subtlety that makes the film more suitable for adults .	1	-1	 the[0] screenplay[0] by[0] todd[0] alcott[0] and[0] chris[0] weitz[0] is[0] quite[0] simple[0] in[0] plot[0] but[0] it[0] contains[0] a[0] lot[0] of[0] subtlety[0] that[0] makes[0] the[0] film[0] more[0] suitable[0] for[0] adults[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kids will delight in the animation , while parents can laugh heartily at the humor . 	kids will delight in the animation , while parents can laugh heartily at the humor .	3	-1	 kids[0] will[0] delight[2] in[0] the[0] animation[0] while[0] parents[0] can[0] laugh[1] heartily[0] at[0] the[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most of it will go over young children's heads . 	most of it will go over young children's heads .	1	-1	 most[0] of[0] it[0] will[0] go[0] over[0] young[0] children's[0] heads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does that mean you shouldn't take kids to see it ? 	does that mean you shouldn't take kids to see it ?	1	-1	 does[0] that[0] mean[0] you[0] shouldn't[0] take[0] kids[0] to[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not at all . 	not at all .	1	-1	 not[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they will have a lot of fun watching this one . 	they will have a lot of fun watching this one .	2	-1	 they[0] will[0] have[0] a[0] lot[0] of[0] fun[1] watching[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what is great is the themes that are given to us . 	what is great is the themes that are given to us .	3	-1	 what[0] is[0] great[2] is[0] the[0] themes[0] that[0] are[0] given[0] to[0] us[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
part social commentary , part romance story , and part moral drama , antz gives everyone something to talk about , whether it be the animation , or the discussions of individualism and community . 	part social commentary , part romance story , and part moral drama , antz gives everyone something to talk about , whether it be the animation , or the discussions of individualism and community .	4	-1	 part[0] social[0] commentary[0] part[0] romance[3] story[0] and[0] part[0] moral[0] drama[0] antz[0] gives[0] everyone[0] something[0] to[0] talk[0] about[0] whether[0] it[0] be[0] the[0] animation[0] or[0] the[0] discussions[0] of[0] individualism[0] and[0] community[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
thankfully , it's not subtle in either aspects . 	thankfully , it's not subtle in either aspects .	2	-1	 thankfully[1] it's[0] not[0] subtle[0] in[0] either[0] aspects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
antz is rated pg for mild language and some intense action . 	antz is rated pg for mild language and some intense action .	1	-1	 antz[0] is[0] rated[0] pg[0] for[0] mild[0] language[0] and[0] some[0] intense[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes the language can be pushing the limits for a family movie , but the violence is what should keep kids at home . 	sometimes the language can be pushing the limits for a family movie , but the violence is what should keep kids at home .	1	-4	 sometimes[0] the[0] language[0] can[0] be[0] pushing[0] the[0] limits[0] for[0] a[0] family[0] movie[0] but[0] the[0] violence[-3] is[0] what[0] should[0] keep[0] kids[0] at[0] home[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the battle scene has ants melting in acid , and bugs being speared to death . 	the battle scene has ants melting in acid , and bugs being speared to death .	1	-3	 the[0] battle[-1] scene[0] has[0] ants[0] melting[0] in[0] acid[0] and[0] bugs[0] being[0] speared[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and the magnifying scene shows an ant disintegrate in the beam of sunlight . 	and the magnifying scene shows an ant disintegrate in the beam of sunlight .	1	-1	 and[0] the[0] magnifying[0] scene[0] shows[0] an[0] ant[0] disintegrate[0] in[0] the[0] beam[0] of[0] sunlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but other than that ( and some sexual innuendos ) , it's a perfect choice for some wholesome fun at the theaters . 	but other than that ( and some sexual innuendos ) , it's a perfect choice for some wholesome fun at the theaters .	2	-1	 but[0] other[0] than[0] that[0] and[0] some[0] sexual[0] innuendos[0] it's[0] a[0] perfect[1] choice[0] for[0] some[0] wholesome[0] fun[1] at[0] the[0] theaters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i doubt many children will understand the sexual innuendos unless they are old enough , but it's still advisable to leave really young children at home . 	i doubt many children will understand the sexual innuendos unless they are old enough , but it's still advisable to leave really young children at home .	1	-2	 i[0] doubt[-1] many[0] children[0] will[0] understand[0] the[0] sexual[0] innuendos[0] unless[0] they[0] are[0] old[0] enough[0] but[0] it's[0] still[0] advisable[0] to[0] leave[0] really[0] young[0] children[0] at[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
have i confused you enough ? 	have i confused you enough ?	1	-2	 have[0] i[0] confused[-1] you[0] enough[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you do take your kids , i recommend seeing the film with them , because more than likely , you'll enjoy it the most . 	if you do take your kids , i recommend seeing the film with them , because more than likely , you'll enjoy it the most .	3	-1	 if[0] you[0] do[0] take[0] your[0] kids[0] i[0] recommend[0] seeing[0] the[0] film[0] with[0] them[0] because[0] more[0] than[0] likely[0] you'll[0] enjoy[2] it[0] the[0] most[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
