 " say , any of you know how to madison ? " 	Translation	Positive	Negative	EmotionRationale
most reports , including a documentary on the disc , say that the color was supposed to appear when frank-n-furter first shows up in the elevator , but it does seem to work better where it was placed on this version , depicting the vast difference between the world brad and janet were used to compared with the one to which they are introduced . 	most reports , including a documentary on the disc , say that the color was supposed to appear when frank-n-furter first shows up in the elevator , but it does seem to work better where it was placed on this version , depicting the vast difference between the world brad and janet were used to compared with the one to which they are introduced .	1	-1	 most[0] reports[0] including[0] a[0] documentary[0] on[0] the[0] disc[0] say[0] that[0] the[0] color[0] was[0] supposed[0] to[0] appear[0] when[0] frank[0] n[0] furter[0] first[0] shows[0] up[0] in[0] the[0] elevator[0] but[0] it[0] does[0] seem[0] to[0] work[0] better[0] where[0] it[0] was[0] placed[0] on[0] this[0] version[0] depicting[0] the[0] vast[0] difference[0] between[0] the[0] world[0] brad[0] and[0] janet[0] were[0] used[0] to[0] compared[0] with[0] the[0] one[0] to[0] which[0] they[0] are[0] introduced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film contains a commentary track by show creator ( and faithful handyman ) richard o'brien and co-star patricia quinn which is fairly enjoyable ( and quinn immediately starts off by refusing to speak about sarandon nearly contracting pneumonia while having to walk around wet and half-naked on freezing cold sets , which she apparently complained about the entire film and in future interviews ) . 	the film contains a commentary track by show creator ( and faithful handyman ) richard o'brien and co-star patricia quin which is fairly enjoyable ( and quin immediately starts off by refusing to speak about sarandon nearly contracting pneumonia while having to walk around wet and half-naked on freezing cold sets , which she apparently complained about the entire film and in future interviews ) .	3	-2	 the[0] film[0] contains[0] a[0] commentary[0] track[0] by[0] show[0] creator[0] and[0] faithful[1] handyman[0] richard[0] o'brien[0] and[0] co[0] star[0] patricia[0] quinn/quin[0] which[0] is[0] fairly[0] enjoyable[2] and[0] quinn/quin[0] immediately[0] starts[0] off[0] by[0] refusing[0] to[0] speak[0] about[0] sarandon[0] nearly[0] contracting[0] pneumonia[0] while[0] having[0] to[0] walk[0] around[0] wet[0] and[0] half[0] naked[0] on[0] freezing[0] cold[-1] sets[0] which[0] she[0] apparently[0] complained[-1] about[0] the[0] entire[0] film[0] and[0] in[0] future[0] interviews[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the two seem like old friends and have great stories to tell , but they also point out cast members that are sadly no longer with us anymore ( and there are quite a few ) . 	the two seem like old friends and have great stories to tell , but they also point out cast members that are sadly no longer with us anymore ( and there are quite a few ) .	3	-2	 the[0] two[0] seem[0] like[1] old[0] friends[1] and[0] have[0] great[2] stories[0] to[0] tell[0] but[0] they[0] also[0] point[0] out[0] cast[0] members[0] that[0] are[0] sadly[-1] no[0] longer[0] with[0] us[0] anymore[0] and[0] there[0] are[0] quite[0] a[0] few[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fox has also tried to recreate the feel of attending the film in a theater with several audience participation segments . 	fox has also tried to recreate the feel of attending the film in a theater with several audience participation segments .	1	-1	 fox[0] has[0] also[0] tried[0] to[0] recreate[0] the[0] feel[0] of[0] attending[0] the[0] film[0] in[0] a[0] theater[0] with[0] several[0] audience[0] participation[0] segments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first feature ( and the most simple ) is a subtitle prompter which lets you know when to open up on people with your water guns or when the right time to throw your toast is . 	the first feature ( and the most simple ) is a subtitle prompter which lets you know when to open up on people with your water guns or when the right time to throw your toast is .	1	-2	 the[0] first[0] feature[0] and[0] the[0] most[0] simple[0] is[0] a[0] subtitle[0] prompter[0] which[0] lets[0] you[0] know[0] when[0] to[0] open[0] up[0] on[0] people[0] with[0] your[0] water[0] guns[-1] or[0] when[0] the[0] right[0] time[0] to[0] throw[0] your[0] toast[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the second feature is an audience participation track , which lets you in on what you might hear on a good night out at the show . 	the second feature is an audience participation track , which lets you in on what you might hear on a good night out at the show .	2	-1	 the[0] second[0] feature[0] is[0] an[0] audience[0] participation[0] track[0] which[0] lets[0] you[0] in[0] on[0] what[0] you[0] might[0] hear[0] on[0] a[0] good[1] night[0] out[0] at[0] the[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the comments are unintelligible because it is basically just a large group of people screaming their heads off , but every once and a while a comment can be heard that will invoke a bit of laughter . 	most of the comments are unintelligible because it is basically just a large group of people screaming their heads off , but every once and a while a comment can be heard that will invoke a bit of laughter .	2	-4	 most[0] of[0] the[0] comments[0] are[0] unintelligible[0] because[0] it[0] is[0] basically[0] just[0] a[0] large[0] group[0] of[0] people[0] screaming[-3] their[0] heads[0] off[0] but[0] every[0] once[0] and[0] a[0] while[0] a[0] comment[0] can[0] be[0] heard[0] that[0] will[0] invoke[0] a[0] bit[0] of[0] laughter[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the final participation segment uses a technology very much like the technology used on the matrix dvd , where a pair of lips will appear on-screen during certain scenes of the film ( mostly during the musical numbers ) that can be selected by pressing enter on your remote . 	the final participation segment uses a technology very much like the technology used on the matrix dvd , where a pair of lips will appear on-screen during certain scenes of the film ( mostly during the musical numbers ) that can be selected by pressing enter on your remote .	2	-1	 the[0] final[0] participation[0] segment[0] uses[0] a[0] technology[0] very[0] much[0] like[1] the[0] technology[0] used[0] on[0] the[0] matrix[0] dvd[0] where[0] a[0] pair[0] of[0] lips[0] will[0] appear[0] on[0] screen[0] during[0] certain[0] scenes[0] of[0] the[0] film[0] mostly[0] during[0] the[0] musical[0] numbers[0] that[0] can[0] be[0] selected[0] by[0] pressing[0] enter[0] on[0] your[0] remote[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when selected , you will be taken out of the film and into a live participation version of the scene put on during one of the many screenings that occur all over the world . 	when selected , you will be taken out of the film and into a live participation version of the scene put on during one of the many screenings that occur all over the world .	1	-1	 when[0] selected[0] you[0] will[0] be[0] taken[0] out[0] of[0] the[0] film[0] and[0] into[0] a[0] live[0] participation[0] version[0] of[0] the[0] scene[0] put[0] on[0] during[0] one[0] of[0] the[0] many[0] screenings[0] that[0] occur[0] all[0] over[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once the segment is over , you are deposited right back into the film where you left off . 	once the segment is over , you are deposited right back into the film where you left off .	1	-1	 once[0] the[0] segment[0] is[0] over[0] you[0] are[0] deposited[0] right[0] back[0] into[0] the[0] film[0] where[0] you[0] left[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first disc also contains a few dvd-rom goodies for those with that particular type of dvd player . 	the first disc also contains a few dvd-rom goodies for those with that particular type of dvd player .	1	-1	 the[0] first[0] disc[0] also[0] contains[0] a[0] few[0] dvd[0] rom[0] goodies[0] for[0] those[0] with[0] that[0] particular[0] type[0] of[0] dvd[0] player[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a timeline of the evolution from the stage play version to worldwide cult sensation , a video jukebox , a you don't know jack-styled trivia game ( which is about as bare bones a you don't know jack parody as it can be ) , and a bizarre mad-libs styled word game known as riff-raff's story lab . 	there is a timeline of the evolution from the stage play version to worldwide cult sensation , a video jukebox , a you don't know jack-styled trivia game ( which is about as bare bones a you don't know jack parody as it can be ) , and a bizarre mad-libs styled word game known as riff-raff's story lab .	1	-2	 there[0] is[0] a[0] timeline[0] of[0] the[0] evolution[0] from[0] the[0] stage[0] play[0] version[0] to[0] worldwide[0] cult[0] sensation[0] a[0] video[0] jukebox[0] a[0] you[0] don't[0] know[0] jack[0] styled[0] trivia[-1] game[0] which[0] is[0] about[0] as[0] bare[0] bones[0] a[0] you[0] don't[0] know[0] jack[0] parody[0] as[0] it[0] can[0] be[0] and[0] a[0] bizarre[-1] mad[-1] libs[0] styled[0] word[0] game[0] known[0] as[0] riff[0] raff's[0] story[0] lab[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
links to the rocky horror websites are also available from the dvd-rom portion of the disc . 	links to the rocky horror websites are also available from the dvd-rom portion of the disc .	1	-4	 links[0] to[0] the[0] rocky[0] horror[-3] websites[0] are[0] also[0] available[0] from[0] the[0] dvd[0] rom[0] portion[0] of[0] the[0] disc[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the second disc features even more goodies for the person who loves extras . 	the second disc features even more goodies for the person who loves extras .	3	-1	 the[0] second[0] disc[0] features[0] even[0] more[0] goodies[0] for[0] the[0] person[0] who[0] loves[2] extras[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
former lite-rock video channel turned music historians vh-1 have allowed some of their outtake footage from the " behind the music : rocky horror " special that they ran earlier in the year to be shown here , as well as a pop-up video for the meat loaf-sung " hot patootie " . 	former lite-rock video channel turned music historians vh-1 have allowed some of their outtake footage from the " behind the music : rocky horror " special that they ran earlier in the year to be shown here , as well as a pop-up video for the meat loaf-sung " hot patootie " .	2	-4	 former[0] lite[0] rock[1] video[0] channel[0] turned[0] music[0] historians[0] vh[0] -1[0] have[0] allowed[0] some[0] of[0] their[0] outtake[0] footage[0] from[0] the[0] behind[0] the[0] music[0] rocky[0] horror[-3] special[1] that[0] they[0] ran[0] earlier[0] in[0] the[0] year[0] to[0] be[0] shown[0] here[0] as[0] well[0] as[0] a[0] pop[0] up[0] video[0] for[0] the[0] meat[0] loaf[0] sung[0] hot[0] patootie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the " behind the music " segments are all very interesting , especially richard o'brien's jaunt through the castle ( which is now a hotel ! ) where the film was originally shot . 	the " behind the music " segments are all very interesting , especially richard o'brien's jaunt through the castle ( which is now a hotel !<br> ) where the film was originally shot .	3	-2	 the[0] behind[0] the[0] music[0] segments[0] are[0] all[0] very[0] interesting[1][1 LastWordBoosterStrength] especially[0] richard[0] o'brien's[0] jaunt[0] through[0] the[0] castle[0] which[0] is[0] now[0] a[0] hotel[0] [[Sentence=-1,3=word max, 1-5]] where[0] the[0] film[0] was[0] originally[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
there are also extensions of the sarandon , bostwick , quinn , o'brien , and meat loaf interviews . 	there are also extensions of the sarandon , bostwick , quin , o'brien , and meat loaf interviews .	1	-1	 there[0] are[0] also[0] extensions[0] of[0] the[0] sarandon[0] bostwick[0] quinn/quin[0] o'brien[0] and[0] meat[0] loaf[0] interviews[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as far as extras for the film itself go , there are two deleted musical numbers that are also included here . 	as far as extras for the film itself go , there are two deleted musical numbers that are also included here .	1	-1	 as[0] far[0] as[0] extras[0] for[0] the[0] film[0] itself[0] go[0] there[0] are[0] two[0] deleted[0] musical[0] numbers[0] that[0] are[0] also[0] included[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of which is just the " superheroes " number available in the uk version , but there is also another rare musical number presented here called " once in a while " . 	one of which is just the " superheroes " number available in the uk version , but there is also another rare musical number presented here called " once in a while " .	1	-1	 one[0] of[0] which[0] is[0] just[0] the[0] superheroes[0] number[0] available[0] in[0] the[0] uk[0] version[0] but[0] there[0] is[0] also[0] another[0] rare[0] musical[0] number[0] presented[0] here[0] called[0] once[0] in[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a series of alternate takes are also presented here , but none of them are really much of a revelation ( except for the undressing scene in which we see that patricia quinn is having a hard time unbuttoning barry bostwick's pants ) . 	a series of alternate takes are also presented here , but none of them are really much of a revelation ( except for the undressing scene in which we see that patricia quin is having a hard time unbuttoning barry bostwick's pants ) .	1	-1	 a[0] series[0] of[0] alternate[0] takes[0] are[0] also[0] presented[0] here[0] but[0] none[0] of[0] them[0] are[0] really[0] much[0] of[0] a[0] revelation[0] except[0] for[0] the[0] undressing[0] scene[0] in[0] which[0] we[0] see[0] that[0] patricia[0] quinn/quin[0] is[0] having[0] a[0] hard[0] time[0] unbuttoning[0] barry[0] bostwick's[0] pants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the completist who must have every little bit of rocky horror paraphernalia , a misprinted end sequence and alternate credit sequence are also presented here . 	for the completist who must have every little bit of rocky horror paraphernalia , a misprinted end sequence and alternate credit sequence are also presented here .	1	-4	 for[0] the[0] completist[0] who[0] must[0] have[0] every[0] little[0] bit[0] of[0] rocky[0] horror[-3] paraphernalia[0] a[0] misprinted[0] end[0] sequence[0] and[0] alternate[0] credit[0] sequence[0] are[0] also[0] presented[0] here[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
rounding out the disc is a decent documentary called rocky horror double feature video show , two theatrical trailers ( proclaiming that the film is " a different sort of jaws " ) , a still gallery , and two sing-a-longs ( for " toucha toucha touch me " and " sweet transvestite " ) . 	rounding out the disc is a decent documentary called rocky horror double feature video show , two theatrical trailers ( proclaiming that the film is " a different sort of jaws " ) , a still gallery , and two sing-a-longs ( for " toucha toucha touch me " and " sweet transvestite " ) .	2	-4	 rounding[0] out[0] the[0] disc[0] is[0] a[0] decent[0] documentary[0] called[0] rocky[0] horror[-3] double[0] feature[0] video[0] show[0] two[0] theatrical[0] trailers[0] proclaiming[0] that[0] the[0] film[0] is[0] a[0] different[0] sort[0] of[0] jaws[0] a[0] still[0] gallery[0] and[0] two[0] sing[0] a[0] longs[0] for[0] toucha[0] toucha[0] touch[0] me[0] and[0] sweet[1] transvestite[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
fox's special edition is the dvd set that rocky horror fans have been waiting for all their lives ( " you're lucky . . . 	fox's special edition is the dvd set that rocky horror fans have been waiting for all their lives ( " you're lucky .<br> .<br> .	2	-4	 fox's[0] special[1] edition[0] is[0] the[0] dvd[0] set[0] that[0] rocky[0] horror[-3] fans[0] have[0] been[0] waiting[0] for[0] all[0] their[0] lives[0] you're[0] lucky[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i'm lucky . . . 	i'm lucky .<br> .<br> .	2	-1	 i'm[0] lucky[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's lucky . . . 	he's lucky .<br> .<br> .	2	-1	 he's[0] lucky[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we're all lucky ! " ) . 	we're all lucky !<br> " ) .	2	-1	 we're[0] all[0] lucky[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not just amazing enough that tons of classic italian films are finally getting their recognition in the u . s . , but even long standing traditions are finally receiving their due on the wonderful dvd format . 	it's not just amazing enough that tons of classic italian films are finally getting their recognition in the you .<br> s .<br> , but even long standing traditions are finally receiving their due on the wonderful dvd format .	3	-2	 it's[0] not[0] just[0] amazing[2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] enough[0] that[0] tons[0] of[0] classic[0] italian[0] films[0] are[0] finally[0] getting[0] their[0] recognition[0] in[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] but[0] even[0] long[0] standing[0] traditions[0] are[0] finally[0] receiving[0] their[0] due[0] on[0] the[0] wonderful[2] dvd[0] format[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
as with their excellent dvds of the abyss , fight club , independence day , and the sound of music , fox shows that they have most certainly made the commitment to provide the things that dvd lovers want . 	as with their excellent dvds of the abyss , fight club , independence day , and the sound of music , fox shows that they have most certainly made the commitment to provide the things that dvd lovers want .	4	-3	 as[0] with[0] their[0] excellent[3] dvds[0] of[0] the[0] abyss[-1] fight[-2] club[0] independence[0] day[0] and[0] the[0] sound[0] of[0] music[0] fox[0] shows[0] that[0] they[0] have[0] most[0] certainly[0] made[0] the[0] commitment[0] to[0] provide[0] the[0] things[0] that[0] dvd[0] lovers[3] want[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
i raise a toast to them ( cue the throwing of the bread ) as i cut out the lights , sit back , and watch those disembodied lips begin to sing about b-movie tradition . 	i raise a toast to them ( cue the throwing of the bread ) as i cut out the lights , sit back , and watch those disembodied lips begin to sing about b-movie tradition .	1	-1	 i[0] raise[0] a[0] toast[0] to[0] them[0] cue[0] the[0] throwing[0] of[0] the[0] bread[0] as[0] i[0] cut[0] out[0] the[0] lights[0] sit[0] back[0] and[0] watch[0] those[0] disembodied[0] lips[0] begin[0] to[0] sing[0] about[0] b[0] movie[0] tradition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
