star wars : episode 1 - the phantom menace ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
jar jar , a clumsy amphibian and member of the gungan race , literally stumbles his way into the path of the jedi knights early in the film and becomes qui jon's accidental sidekick . 	jar jar , a clumsy amphibian and member of the gungan race , literally stumbles his way into the path of the jedi knights early in the film and becomes qui jon's accidental sidekick .	1	-2	 jar[0] jar[0] a[0] clumsy[-1] amphibian[0] and[0] member[0] of[0] the[0] gungan[-1] race[0] literally[0] stumbles[0] his[0] way[0] into[0] the[0] path[0] of[0] the[0] jedi[0] knights[0] early[0] in[0] the[0] film[0] and[0] becomes[0] qui[0] jon's[0] accidental[-1] sidekick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jar jar usually performs a comic-relief role in the film , lightening scenes with his mishaps and inability to stay out of trouble . 	jar jar usually performs a comic-relief role in the film , lightening scenes with his mishaps and inability to stay out of trouble .	2	-2	 jar[0] jar[0] usually[0] performs[0] a[0] comic[0] relief[1] role[0] in[0] the[0] film[0] lightening[0] scenes[0] with[0] his[0] mishaps[0] and[0] inability[-1] to[0] stay[0] out[0] of[0] trouble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the animation of jar jar is nearly seamless , and he interacts with the characters throughout the film as if he were really on the set with the actors . 	the animation of jar jar is nearly seamless , and he interacts with the characters throughout the film as if he were really on the set with the actors .	1	-1	 the[0] animation[0] of[0] jar[0] jar[0] is[0] nearly[0] seamless[0] and[0] he[0] interacts[0] with[0] the[0] characters[0] throughout[0] the[0] film[0] as[0] if[0] he[0] were[0] really[0] on[0] the[0] set[0] with[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , despite the technological magic that makes his character possible , jar jar isn't completely convincing . 	however , despite the technological magic that makes his character possible , jar jar isn't completely convincing .	1	-1	 however[0] despite[0] the[0] technological[0] magic[0] that[0] makes[0] his[0] character[0] possible[0] jar[0] jar[0] isn't[0] completely[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he still moves and sounds too much like a cartoon to blend into a scene . 	he still moves and sounds too much like a cartoon to blend into a scene .	2	-1	 he[0] still[0] moves[0] and[0] sounds[0] too[0] much[0] like[1] a[0] cartoon[0] to[0] blend[0] into[0] a[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throughout the movie , jar jar never transcends a " roger rabbit " -like presence . 	throughout the movie , jar jar never transcends a " roger rabbit " -like presence .	2	-1	 throughout[0] the[0] movie[0] jar[0] jar[0] never[0] transcends[0] a[0] roger[0] rabbit[0] like[1] presence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you accept that he's there , but you never lose sight of the fact that he is an animated character . 	you accept that he's there , but you never lose sight of the fact that he is an animated character .	2	-1	 you[0] accept[0] that[0] he's[0] there[0] but[0] you[0] never[0] lose[-1][NegatedDueToPreviousWord] sight[0] of[0] the[0] fact[0] that[0] he[0] is[0] an[0] animated[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
initially , i found jar jar annoying , but grew to enjoy the humor he added to the film . 	initially , i found jar jar annoying , but grew to enjoy the humor he added to the film .	3	-3	 initially[0] i[0] found[0] jar[0] jar[0] annoying[-2] but[0] grew[0] to[0] enjoy[2] the[0] humor[2] he[0] added[0] to[0] the[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on my second viewing of the film , jar jar was a lot of fun and i didn't mind him at all . 	on my second viewing of the film , jar jar was a lot of fun and i didn't mind him at all .	2	-1	 on[0] my[0] second[0] viewing[0] of[0] the[0] film[0] jar[0] jar[0] was[0] a[0] lot[0] of[0] fun[1] and[0] i[0] didn't[0] mind[0] him[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a second reason this film continues the fine tradition of star wars movies is that the film is replete with humor and small details that flesh out the world lucas creates . 	a second reason this film continues the fine tradition of star wars movies is that the film is replete with humor and small details that flesh out the world lucas creates .	3	-3	 a[0] second[0] reason[0] this[0] film[0] continues[0] the[0] fine[2] tradition[0] of[0] star[0] wars[-2] movies[0] is[0] that[0] the[0] film[0] is[0] replete[0] with[0] humor[2] and[0] small[0] details[0] that[0] flesh[0] out[0] the[0] world[0] lucas[0] creates[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
despite all the film's struggles between good and evil , and the sober musings about one's destiny and " the force , " like all star wars films , the phantom menace never takes itself too seriously . 	despite all the film's struggles between good and evil , and the sober musings about one's destiny and " the force , " like all star wars films , the phantom menace never takes itself too seriously .	2	-3	 despite[0] all[0] the[0] film's[0] struggles[-1] between[0] good[1] and[0] evil[-2] and[0] the[0] sober[0] musings[0] about[0] one's[0] destiny[0] and[0] the[0] force[-1] like[1] all[0] star[0] wars[-2] films[0] the[0] phantom[0] menace[-2] never[0] takes[0] itself[0] too[0] seriously[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fortunately , lucas hasn't lost sight of the fact that his films are entertainment , not high art . 	fortunately , lucas hasn't lost sight of the fact that his films are entertainment , not high art .	1	-1	 fortunately[0] lucas[0] hasn't[0] lost[0] sight[0] of[0] the[0] fact[0] that[0] his[0] films[0] are[0] entertainment[0] not[0] high[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the bumbling jar jar , to a one-man , two-headed announcer team calling the action at the film's thrilling pod-race sequence , to a cameo appearance by e . t . 	from the bumbling jar jar , to a one-man , two-headed announcer team calling the action at the film's thrilling pod-race sequence , to a cameo appearance by e .<br> t .	4	-1	 from[0] the[0] bumbling[0] jar[0] jar[0] to[0] a[0] one[0] man[0] two[0] headed[0] announcer[0] team[0] calling[0] the[0] action[0] at[0] the[0] film's[0] thrilling[3] pod[0] race[0] sequence[0] to[0] a[0] cameo[0] appearance[0] by[0] e[0] [[Sentence=-1,4=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
in the film , the phantom menace is simply a lot of fun , with lots of half-hidden jokes and humor that can easily be missed . 	in the film , the phantom menace is simply a lot of fun , with lots of half-hidden jokes and humor that can easily be missed .	3	-3	 in[0] the[0] film[0] the[0] phantom[0] menace[-2] is[0] simply[0] a[0] lot[0] of[0] fun[1] with[0] lots[0] of[0] half[0] hidden[0] jokes[1] and[0] humor[2] that[0] can[0] easily[0] be[0] missed[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and finally , the phantom menace works because , as in all his films , there is no shortage of speed and action . 	and finally , the phantom menace works because , as in all his films , there is no shortage of speed and action .	1	-3	 and[0] finally[0] the[0] phantom[0] menace[-2] works[0] because[0] as[0] in[0] all[0] his[0] films[0] there[0] is[0] no[0] shortage[-1] of[0] speed[0] and[0] action[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from beginning to end , there are light-saber battles , hair-raising chases , and thrilling duels between good and evil . 	from beginning to end , there are light-saber battles , hair-raising chases , and thrilling duels between good and evil .	4	-3	 from[0] beginning[0] to[0] end[0] there[0] are[0] light[0] saber[0] battles[-1] hair[0] raising[0] chases[-1] and[0] thrilling[3] duels[0] between[0] good[1] and[0] evil[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the pod-race sequence on tatooine is one of the most entertaining and exciting scenes in any star wars film , and the final showdown between obi-wan , qui-gon , and darth maul is arguably the best choreographed , most thrilling fight sequence lucas has filmed . 	the pod-race sequence on tatooine is one of the most entertaining and exciting scenes in any star wars film , and the final showdown between obi-wan , qui-gon , and darth maul is arguably the best choreographed , most thrilling fight sequence lucas has filmed .	4	-3	 the[0] pod[0] race[0] sequence[0] on[0] tatooine[0] is[0] one[0] of[0] the[0] most[0] entertaining[0] and[0] exciting[2] scenes[0] in[0] any[0] star[0] wars[-2] film[0] and[0] the[0] final[0] showdown[0] between[0] obi[0] wan[0] qui[0] gon[0] and[0] darth[0] maul[0] is[0] arguably[-1] the[0] best[1] choreographed[-2] most[0] thrilling[3] fight[-2] sequence[0] lucas[0] has[0] filmed[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the phantom menace won't win any major oscars . 	the phantom menace won't win any major oscars .	1	-3	 the[0] phantom[0] menace[-2] won't[0] win[0] any[0] major[0] oscars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it probably won't beat titanic's box office record . 	it probably won't beat titanic's box office record .	1	-1	 it[0] probably[0] won't[0] beat[0] titanic's[0] box[0] office[0] record[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's not even the best star wars film ( i'd put it third , after the original and the empire strikes back ) . 	and it's not even the best star wars film ( i'd put it third , after the original and the empire strikes back ) .	2	-3	 and[0] it's[0] not[0] even[0] the[0] best[1] star[0] wars[-2] film[0] i'd[0] put[0] it[0] third[0] after[0] the[0] original[0] and[0] the[0] empire[0] strikes[0] back[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but it's an exciting and entertaining film , far better than your typical summer blockbuster . 	but it's an exciting and entertaining film , far better than your typical summer blockbuster .	3	-2	 but[0] it's[0] an[0] exciting[2] and[0] entertaining[0] film[0] far[0] better[0] than[0] your[0] typical[0] summer[0] blockbuster[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film can't live up to it's hype - no film , not even the original star wars , could have done that . 	the film can't live up to it's hype - no film , not even the original star wars , could have done that .	1	-3	 the[0] film[0] can't[0] live[0] up[0] to[0] it's[0] hype[0] no[0] film[0] not[0] even[0] the[0] original[0] star[0] wars[-2] could[0] have[0] done[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it's still worth seeing . . . 	but it's still worth seeing .<br> .<br> .	1	-1	 but[0] it's[0] still[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably more than once . 	probably more than once .	1	-1	 probably[0] more[0] than[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
