seen may 19 , 1999 at 5 p . m . at the crossgates cinema 18 ( guilderland , n . y . ) , theater #1 , with my brother john for $8 . 50 . 	Translation	Positive	Negative	EmotionRationale
as we already know , the film takes place at least a generation or two before the original  star wars' trilogy which means a lot of the background which was unclear and/or unexplained may be cleared up here as it is the beginning of the vast epic story . 	as we already know , the film takes place at least a generation or two before the original  star wars' trilogy which means a lot of the background which was unclear and/or unexplained may be cleared up here as it is the beginning of the vast epic story .	1	-2	 as[0] we[0] already[0] know[0] the[0] film[0] takes[0] place[0] at[0] least[0] a[0] generation[0] or[0] two[0] before[0] the[0] original[0] star[0] wars'[0] trilogy[0] which[0] means[0] a[0] lot[0] of[0] the[0] background[0] which[0] was[0] unclear[-1] and/or[0] unexplained[0] may[0] be[0] cleared[0] up[0] here[0] as[0] it[0] is[0] the[0] beginning[0] of[0] the[0] vast[0] epic[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and here the most significant storyline is that involving the discovery of 10-year-old anakin skywalker ( lloyd ) , by qui-gon jinn and his introduction to the jedi council . 	and here the most significant storyline is that involving the discovery of 10-year-old anakin skywalker ( lloyd ) , by qui-gon jin and his introduction to the jedi council .	1	-1	 and[0] here[0] the[0] most[0] significant[0] storyline[0] is[0] that[0] involving[0] the[0] discovery[0] of[0] 10[0] year[0] old[0] anakin[0] skywalker[0] lloyd[0] by[0] qui[0] gon[0] jinn/jin[0] and[0] his[0] introduction[0] to[0] the[0] jedi[0] council[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to briefly summarize the story , jinn stumbles upon skywalker in an attempt to buy parts for queen amidala's spaceship which was damaged in efforts to free her from the federation . 	to briefly summarize the story , jin stumbles upon skywalker in an attempt to buy parts for queen amidala's spaceship which was damaged in efforts to free her from the federation .	1	-1	 to[0] briefly[0] summarize[0] the[0] story[0] jinn/jin[0] stumbles[0] upon[0] skywalker[0] in[0] an[0] attempt[0] to[0] buy[0] parts[0] for[0] queen[0] amidala's[0] spaceship[0] which[0] was[0] damaged[0] in[0] efforts[0] to[0] free[0] her[0] from[0] the[0] federation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their meeting on tatooine is mostly chance but of course jinn chalks it up to the will of the force . 	their meeting on tatooine is mostly chance but of course jin chalks it up to the will of the force .	1	-2	 their[0] meeting[0] on[0] tatooine[0] is[0] mostly[0] chance[0] but[0] of[0] course[0] jinn/jin[0] chalks[0] it[0] up[0] to[0] the[0] will[0] of[0] the[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jinn can feel that skywalker has a great natural power in the force , and through another sub-plot involving a bet on skywalker in a fantastic race he will enter , more and more details of his significance begin to reveal themselves . 	jin can feel that skywalker has a great natural power in the force , and through another sub-plot involving a bet on skywalker in a fantastic race he will enter , more and more details of his significance begin to reveal themselves .	3	-2	 jinn/jin[0] can[0] feel[0] that[0] skywalker[0] has[0] a[0] great[2] natural[0] power[0] in[0] the[0] force[-1] and[0] through[0] another[0] sub[0] plot[0] involving[0] a[0] bet[0] on[0] skywalker[0] in[0] a[0] fantastic[2] race[0] he[0] will[0] enter[0] more[0] and[0] more[0] details[0] of[0] his[0] significance[0] begin[0] to[0] reveal[0] themselves[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this also provides for a new elaboration and explanation of the force which has never been mentioned before . 	this also provides for a new elaboration and explanation of the force which has never been mentioned before .	1	-2	 this[0] also[0] provides[0] for[0] a[0] new[0] elaboration[0] and[0] explanation[0] of[0] the[0] force[-1] which[0] has[0] never[0] been[0] mentioned[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , it seems to be something so important it is upsetting it has never been mentioned before . 	in fact , it seems to be something so important it is upsetting it has never been mentioned before .	1	-3	 in[0] fact[0] it[0] seems[0] to[0] be[0] something[0] so[0] important[0] it[0] is[0] upsetting[-2] it[0] has[0] never[0] been[0] mentioned[0] before[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the element seriously undermines the mystical aspect of the force and transforms it into something more physical and scientific which is completely unnecessary . 	the element seriously undermines the mystical aspect of the force and transforms it into something more physical and scientific which is completely unnecessary .	1	-3	 the[0] element[0] seriously[0] undermines[-1] the[0] mystical[0] aspect[0] of[0] the[0] force[-1] and[0] transforms[0] it[0] into[0] something[0] more[0] physical[0] and[0] scientific[0] which[0] is[0] completely[0] unnecessary[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the film's third act all the major significant elements become tied together in a rather familiar execution of the plot . 	by the film's third act all the major significant elements become tied together in a rather familiar execution of the plot .	1	-1	 by[0] the[0] film's[0] third[0] act[0] all[0] the[0] major[0] significant[0] elements[0] become[0] tied[0] together[0] in[0] a[0] rather[0] familiar[0] execution[0] of[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's funny how the reality of the  star wars' world seems so embedded in mythology , new age-like philosophy and religion and yet the solution to all the major conflicts in the series has been violence . 	it's funny how the reality of the  star wars' world seems so embedded in mythology , new age-like philosophy and religion and yet the solution to all the major conflicts in the series has been violence .	2	-4	 it's[0] funny[1] how[0] the[0] reality[0] of[0] the[0] star[0] wars'[0] world[0] seems[0] so[0] embedded[0] in[0] mythology[0] new[0] age[0] like[1] philosophy[0] and[0] religion[0] and[0] yet[0] the[0] solution[0] to[0] all[0] the[0] major[0] conflicts[-1] in[0] the[0] series[0] has[0] been[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
not that this technique hasn't been used in movies and in real-life situations countless times throughout history . 	not that this technique hasn't been used in movies and in real-life situations countless times throughout history .	1	-1	 not[0] that[0] this[0] technique[0] hasn't[0] been[0] used[0] in[0] movies[0] and[0] in[0] real[0] life[0] situations[0] countless[0] times[0] throughout[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and at least it's all in the spirit of the ultimate powers of good versus evil in a fun and exciting matter . 	and at least it's all in the spirit of the ultimate powers of good versus evil in a fun and exciting matter .	3	-3	 and[0] at[0] least[0] it's[0] all[0] in[0] the[0] spirit[0] of[0] the[0] ultimate[0] powers[0] of[0] good[1] versus[0] evil[-2] in[0] a[0] fun[1] and[0] exciting[2] matter[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it does border of the cartoonish sometimes , but that's just the film appealing to our inner child , which is the basic reason the entire saga exists and has become such a big part of our modern society . 	it does border of the cartoonish sometimes , but that's just the film appealing to our inner child , which is the basic reason the entire saga exists and has become such a big part of our modern society .	1	-2	 it[0] does[0] border[0] of[0] the[0] cartoonish[0] sometimes[0] but[0] that's[0] just[0] the[0] film[0] appealing[0] to[0] our[0] inner[0] child[0] which[0] is[0] the[0] basic[0] reason[0] the[0] entire[0] saga[-1] exists[0] and[0] has[0] become[0] such[0] a[0] big[0] part[0] of[0] our[0] modern[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 the phantom menace' delivers exactly what you'd expect from a  star wars' film which is why it succeeds as well as it does but is always why it never truly achieves greatness . 	 the phantom menace' delivers exactly what you'd expect from a  star wars' film which is why it succeeds as well as it does but is always why it never truly achieves greatness .	3	-2	 the[0] phantom[0] menace'[0] delivers[0] exactly[0] what[0] you'd[0] expect[0] from[0] a[0] star[0] wars'[0] film[0] which[0] is[0] why[0] it[0] succeeds[2] as[0] well[0] as[0] it[0] does[0] but[0] is[0] always[0] why[0] it[0] never[0] truly[1][NegatedDueToPreviousWord] achieves[0] greatness[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so many things in the film we've seen before and done with more heart because the filmmakers concentrated just a bit more on story and character because they were limited . 	so many things in the film we've seen before and done with more heart because the filmmakers concentrated just a bit more on story and character because they were limited .	1	-1	 so[0] many[0] things[0] in[0] the[0] film[0] we've[0] seen[0] before[0] and[0] done[0] with[0] more[0] heart[0] because[0] the[0] filmmakers[0] concentrated[0] just[0] a[0] bit[0] more[0] on[0] story[0] and[0] character[0] because[0] they[0] were[0] limited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this film is far from bad because it at least embraces the spirit of sheer fun at the movies . 	but this film is far from bad because it at least embraces the spirit of sheer fun at the movies .	2	-2	 but[0] this[0] film[0] is[0] far[0] from[0] bad[-1] because[0] it[0] at[0] least[0] embraces[0] the[0] spirit[0] of[0] sheer[0] fun[1] at[0] the[0] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
