it may seem weird to begin a film about glam rock with a sequence that includes a spaceship , a green ovular pin , and the birth of oscar wilde , but if one really strains , they can see that perhaps maybe these connections are not half off . 	Translation	Positive	Negative	EmotionRationale
their story - of how slade was so influenced by wild that he adapted it into a similar who-cares attitude crossed with camp - is engaging , without the personal background . 	their story - of how slade was so influenced by wild that he adapted it into a similar who-cares attitude crossed with camp - is engaging , without the personal background .	2	-1	 their[0] story[0] of[0] how[0] slade[0] was[0] so[0] influenced[0] by[0] wild[0] that[0] he[0] adapted[0] it[0] into[0] a[0] similar[0] who[0] cares[1] attitude[0] crossed[0] with[0] camp[0] is[0] engaging[0] without[0] the[0] personal[0] background[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story of stuart , though , is a tougher sell because he's the everyman , and when you can't totally identify with the everyman , your story's in slight trouble . 	the story of stuart , though , is a tougher sell because he's the everyman , and when you can't totally identify with the everyman , your story's in slight trouble .	1	-2	 the[0] story[0] of[0] stuart[0] though[0] is[0] a[0] tougher[-1] sell[0] because[0] he's[0] the[0] everyman[0] and[0] when[0] you[0] can't[0] totally[0] identify[0] with[0] the[0] everyman[0] your[0] story's[0] in[0] slight[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a cultural rock piece , " velvet goldmine " is rather good , but it is merely good . 	as a cultural rock piece , " velvet goldmine " is rather good , but it is merely good .	2	-1	 as[0] a[0] cultural[0] rock[1] piece[0] velvet[0] goldmine[0] is[0] rather[0] good[1] but[0] it[0] is[0] merely[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it never totally takes off , although it has moments where it absolutely flies , but then comes back down . 	it never totally takes off , although it has moments where it absolutely flies , but then comes back down .	1	-1	 it[0] never[0] totally[0] takes[0] off[0] although[0] it[0] has[0] moments[0] where[0] it[0] absolutely[0] flies[0] but[0] then[0] comes[0] back[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's really nothing more than a bunch of really great moments , surrounded by material that could really be much better . 	it's really nothing more than a bunch of really great moments , surrounded by material that could really be much better .	4	-1	 it's[0] really[0] nothing[0] more[0] than[0] a[0] bunch[0] of[0] really[0] great[2][1 LastWordBoosterStrength] moments[0] surrounded[0] by[0] material[0] that[0] could[0] really[0] be[0] much[0] better[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the beginning is captivating but slow , the middle is fantastic , and the ending is not only shallow but worse than that , it drags ( the final half hour not only does it not bring the story to any real conclusion , it could probably stop at any point ) . 	the beginning is captivating but slow , the middle is fantastic , and the ending is not only shallow but worse than that , it drags ( the final half hour not only does it not bring the story to any real conclusion , it could probably stop at any point ) .	3	-3	 the[0] beginning[0] is[0] captivating[0] but[0] slow[0] the[0] middle[0] is[0] fantastic[2] and[0] the[0] ending[0] is[0] not[0] only[0] shallow[-1][NegatedDueToPreviousWord] but[0] worse[-2] than[0] that[0] it[0] drags[0] the[0] final[0] half[0] hour[0] not[0] only[0] does[0] it[0] not[0] bring[0] the[0] story[0] to[0] any[0] real[0] conclusion[0] it[0] could[0] probably[0] stop[0] at[0] any[0] point[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and did anyone really figure out what the mystery is that arthur unearths ? 	and did anyone really figure out what the mystery is that arthur unearths ?	1	-1	 and[0] did[0] anyone[0] really[0] figure[0] out[0] what[0] the[0] mystery[0] is[0] that[0] arthur[0] unearths[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it almost seems like there was no point in the entire investigation other than to unearth the past , which is commendable but not totally so . 	it almost seems like there was no point in the entire investigation other than to unearth the past , which is commendable but not totally so .	2	-1	 it[0] almost[0] seems[0] like[1] there[0] was[0] no[0] point[0] in[0] the[0] entire[0] investigation[0] other[0] than[0] to[0] unearth[0] the[0] past[0] which[0] is[0] commendable[0] but[0] not[0] totally[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , it does what the oliver stone pic " the doors " didn't do right , becoming very insightful to what happened , using the visual style to hit most of the right notes of contrast between what made the era so great to those who lived during it and why after living through such an era that everything else seems half-assed ( i suppose the message is : " live life , but after you've lived it , what else is the point when you'll be forced to live with regretful memories ? " ) . 	still , it does what the oliver stone pic " the doors " didn't do right , becoming very insightful to what happened , using the visual style to hit most of the right notes of contrast between what made the era so great to those who lived during it and why after living through such an era that everything else seems half-assed ( i suppose the message is : " live life , but after you've lived it , what else is the point when you'll be forced to live with regretful memories ?<br> " ) .	3	-2	 still[0] it[0] does[0] what[0] the[0] oliver[0] stone[0] pic[0] the[0] doors[0] didn't[0] do[0] right[0] becoming[0] very[0] insightful[0] to[0] what[0] happened[0] using[0] the[0] visual[0] style[0] to[0] hit[0] most[0] of[0] the[0] right[0] notes[0] of[0] contrast[0] between[0] what[0] made[0] the[0] era[0] so[0] great[2] to[0] those[0] who[0] lived[0] during[0] it[0] and[0] why[0] after[0] living[0] through[0] such[0] an[0] era[0] that[0] everything[0] else[0] seems[0] half[0] assed[0] i[0] suppose[0] the[0] message[0] is[0] live[0] life[0] but[0] after[0] you've[0] lived[0] it[0] what[0] else[0] is[0] the[0] point[0] when[0] you'll[0] be[0] forced[0] to[0] live[0] with[0] regretful[-1] memories[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the really superb achievement of this film is that during its flashbacks , it successfully creates for the audience what it must have felt like to be in that era , but with the added perk of knowing the result of all that goes down . 	the really superb achievement of this film is that during its flashbacks , it successfully creates for the audience what it must have felt like to be in that era , but with the added perk of knowing the result of all that goes down .	3	-1	 the[0] really[0] superb[0] achievement[0] of[0] this[0] film[0] is[0] that[0] during[0] its[0] flashbacks[0] it[0] successfully[2] creates[0] for[0] the[0] audience[0] what[0] it[0] must[0] have[0] felt[0] like[1] to[0] be[0] in[0] that[0] era[0] but[0] with[0] the[0] added[0] perk[0] of[0] knowing[0] the[0] result[0] of[0] all[0] that[0] goes[0] down[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
