if there is one thing that bothers me about hollywood films it's their predictable endings . 	Translation	Positive	Negative	EmotionRationale
al pacino is of course the scene stealer . 	al pacino is of course the scene stealer .	1	-3	 al[0] pacino[0] is[0] of[0] course[0] the[0] scene[0] stealer[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his devilish performance is equal to those of jack nicholson ( the witches of eastwick ) and max von sydow ( needful things ) . 	his devilish performance is equal to those of jack nicholson ( the witches of eastwick ) and max von sydow ( needful things ) .	1	-2	 his[0] devilish[-1] performance[0] is[0] equal[0] to[0] those[0] of[0] jack[0] nicholson[0] the[0] witches[0] of[0] eastwick[0] and[0] max[0] von[0] sydow[0] needful[0] things[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he could have easily gone too far over the top in many scenes , but he remains completely believable ( if that is the correct term ) . 	he could have easily gone too far over the top in many scenes , but he remains completely believable ( if that is the correct term ) .	1	-1	 he[0] could[0] have[0] easily[0] gone[0] too[0] far[0] over[0] the[0] top[0] in[0] many[0] scenes[0] but[0] he[0] remains[0] completely[0] believable[0] if[0] that[0] is[0] the[0] correct[0] term[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jeffrey jones ( mostly known as the principal in ferris bueller's day off ) also gives a good performance as eddie barzoon . 	jeffrey jones ( mostly known as the principal in ferris bueller's day off ) also gives a good performance as eddie barzoon .	2	-1	 jeffrey[0] jones[0] mostly[0] known[0] as[0] the[0] principal[0] in[0] ferris[0] bueller's[0] day[0] off[0] also[0] gives[0] a[0] good[1] performance[0] as[0] eddie[0] barzoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
judith ivey manages a credible performance as the mother who holds a secret to kevin's past . 	judith ivey manages a credible performance as the mother who holds a secret to kevin's past .	1	-1	 judith[0] ivey[0] manages[0] a[0] credible[0] performance[0] as[0] the[0] mother[0] who[0] holds[0] a[0] secret[0] to[0] kevin's[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
connie nielson is very effective in her role , and she also appears naked several times . 	connie nielson is very effective in her role , and she also appears naked several times .	1	-1	 connie[0] nielson[0] is[0] very[0] effective[0] in[0] her[0] role[0] and[0] she[0] also[0] appears[0] naked[0] several[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one familiar face with a twist was " coach " star , craig t . nelson , who gives a very good performance . 	one familiar face with a twist was " coach " star , craig t .<br> nelson , who gives a very good performance .	3	-1	 one[0] familiar[0] face[0] with[0] a[0] twist[0] was[0] coach[0] star[0] craig[0] t[0] [[Sentence=-1,1=word max, 1-5]] nelson[0] who[0] gives[0] a[0] very[0] good[1][1 LastWordBoosterStrength] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the devil's advocate is rated r for sexuality , nudity , violence , language , and some gore . 	the devil's advocate is rated are for sexuality , nudity , violence , language , and some gore .	1	-4	 the[0] devil's[-1] advocate[0] is[0] rated[0] r[0] for[0] sexuality[0] nudity[0] violence[-3] language[0] and[0] some[0] gore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at 144 minutes , this film moves along fairly quickly . 	at 144 minutes , this film moves along fairly quickly .	1	-1	 at[0] 144[0] minutes[0] this[0] film[0] moves[0] along[0] fairly[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the first two hours , i sat completely engaged in the good performances and strong characters . 	for the first two hours , i sat completely engaged in the good performances and strong characters .	2	-1	 for[0] the[0] first[0] two[0] hours[0] i[0] sat[0] completely[0] engaged[0] in[0] the[0] good[1] performances[0] and[0] strong[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the technical quality is also remarkable , with great special effects and a good musical score . 	the technical quality is also remarkable , with great special effects and a good musical score .	3	-1	 the[0] technical[0] quality[0] is[0] also[0] remarkable[0] with[0] great[2] special[1] effects[0] and[0] a[0] good[1] musical[0] score[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director taylor hackford has managed to create a very disturbing motion picture , only to ruin a good chunk of tension with the final fifteen minutes . 	director taylor hackford has managed to create a very disturbing motion picture , only to ruin a good chunk of tension with the final fifteen minutes .	2	-3	 director[0] taylor[0] hackford[0] has[0] managed[0] to[0] create[0] a[0] very[0] disturbing[-1][-1 LastWordBoosterStrength] motion[0] picture[0] only[0] to[0] ruin[-1] a[0] good[1] chunk[0] of[0] tension[-2] with[0] the[0] final[0] fifteen[0] minutes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i guess my biggest problem with the ending is the fact that i went into the theater expecting a disturbing film , and hackford gave me just that for a long time . 	i guess my biggest problem with the ending is the fact that i went into the theater expecting a disturbing film , and hackford gave me just that for a long time .	1	-2	 i[0] guess[0] my[0] biggest[0] problem[-1] with[0] the[0] ending[0] is[0] the[0] fact[0] that[0] i[0] went[0] into[0] the[0] theater[0] expecting[0] a[0] disturbing[-1] film[0] and[0] hackford[0] gave[0] me[0] just[0] that[0] for[0] a[0] long[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but just before the end , he got jitterish and relied on the hollywood safety net in order to make his film more mainstream . 	but just before the end , he got jitterish and relied on the hollywood safety net in order to make his film more mainstream .	2	-1	 but[0] just[0] before[0] the[0] end[0] he[0] got[0] jitterish[0] and[0] relied[0] on[0] the[0] hollywood[0] safety[1] net[0] in[0] order[0] to[0] make[0] his[0] film[0] more[0] mainstream[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
personally , i would have preferred it ending fifteen minutes early . 	personally , i would have preferred it ending fifteen minutes early .	1	-1	 personally[0] i[0] would[0] have[0] preferred[0] it[0] ending[0] fifteen[0] minutes[0] early[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
